date,open,high,low,close,volume
2024-01-01 00:00:00+05:30,400.9,406.45,400.15,404.8,10806194
2024-01-02 00:00:00+05:30,406.5,407.65,400.95,406.8,12162991
2024-01-03 00:00:00+05:30,406.7,415.75,405.95,412.75,27790509
2024-01-04 00:00:00+05:30,415.15,416.4,410.15,412.05,13628117
2024-01-05 00:00:00+05:30,414.65,414.65,408.25,409.9,10647942
2024-01-08 00:00:00+05:30,410.85,411.25,401.8,402.6,9253297
2024-01-09 00:00:00+05:30,404.35,406.45,401.0,401.8,6586634
2024-01-10 00:00:00+05:30,401.8,403.7,397.9,400.7,6817115
2024-01-11 00:00:00+05:30,401.4,403.5,398.8,400.15,7555526
2024-01-12 00:00:00+05:30,400.65,404.5,398.15,403.65,10815500
2024-01-15 00:00:00+05:30,406.5,406.95,403.15,404.45,7980293
2024-01-16 00:00:00+05:30,404.6,410.85,401.55,408.5,13951147
2024-01-17 00:00:00+05:30,407.7,412.55,402.35,403.55,12843910
2024-01-18 00:00:00+05:30,402.4,404.65,393.15,402.6,10572070
2024-01-19 00:00:00+05:30,405.25,409.1,403.4,407.8,14109518
2024-01-20 00:00:00+05:30,409.45,410.85,404.75,405.1,3811316
2024-01-23 00:00:00+05:30,409.75,409.75,394.75,397.25,9717323
2024-01-24 00:00:00+05:30,397.95,404.25,396.2,400.95,25004258
2024-01-25 00:00:00+05:30,400.9,402.15,391.0,394.1,22751416
2024-01-29 00:00:00+05:30,394.3,395.5,387.05,389.05,20660367
2024-01-30 00:00:00+05:30,386.6,392.4,378.3,378.85,50311535
2024-01-31 00:00:00+05:30,380.55,382.7,379.45,381.9,22988720
2024-02-01 00:00:00+05:30,382.3,387.25,379.95,383.05,22159103
2024-02-02 00:00:00+05:30,384.9,386.8,380.1,380.65,19835843
2024-02-05 00:00:00+05:30,382.3,383.7,377.55,378.85,13922877
2024-02-06 00:00:00+05:30,380.55,381.35,371.45,373.1,21695422
2024-02-07 00:00:00+05:30,376.25,376.25,372.6,373.45,14892847
2024-02-08 00:00:00+05:30,371.05,371.15,353.4,358.55,55710349
2024-02-09 00:00:00+05:30,354.7,366.9,353.4,359.35,37326817
2024-02-12 00:00:00+05:30,361.15,361.55,351.2,351.9,12610607
2024-02-13 00:00:00+05:30,351.95,355.3,348.8,351.8,18044519
2024-02-14 00:00:00+05:30,351.15,356.55,349.75,355.95,14047955
2024-02-15 00:00:00+05:30,357.2,358.55,348.7,349.35,23568022
2024-02-16 00:00:00+05:30,350.3,354.2,345.45,349.95,43379403
2024-02-19 00:00:00+05:30,350.3,357.0,349.95,353.95,19597402
2024-02-20 00:00:00+05:30,355.0,355.0,349.7,351.25,16284215
2024-02-21 00:00:00+05:30,352.0,354.7,347.1,348.85,22447280
2024-02-22 00:00:00+05:30,351.95,359.05,348.95,358.45,21510763
2024-02-23 00:00:00+05:30,359.7,359.7,355.05,355.8,12888930
2024-02-26 00:00:00+05:30,355.55,357.25,352.25,353.9,9228980
2024-02-27 00:00:00+05:30,354.6,357.0,353.35,355.6,8999587
2024-02-28 00:00:00+05:30,355.6,356.65,351.85,353.15,9963889
2024-02-29 00:00:00+05:30,353.75,355.5,349.85,351.4,17221810
