date,open,high,low,close,volume
2024-01-01 00:00:00+05:30,133.29,134.22,132.36,133.14,21186105
2024-01-02 00:00:00+05:30,133.78,133.88,130.41,132.9,27764060
2024-01-03 00:00:00+05:30,132.8,132.9,127.77,128.75,45176618
2024-01-04 00:00:00+05:30,129.38,129.72,127.43,127.67,43913498
2024-01-05 00:00:00+05:30,128.41,129.33,126.3,127.09,71330190
2024-01-08 00:00:00+05:30,128.7,129.33,125.23,125.47,39559717
2024-01-09 00:00:00+05:30,126.94,128.21,125.96,127.09,30736868
2024-01-10 00:00:00+05:30,127.23,128.11,125.57,127.53,27213624
2024-01-11 00:00:00+05:30,128.26,129.04,127.62,128.31,23113349
2024-01-12 00:00:00+05:30,129.19,129.63,128.06,128.7,32883921
2024-01-15 00:00:00+05:30,129.38,129.63,127.38,128.31,34158775
2024-01-16 00:00:00+05:30,128.11,131.83,127.43,130.6,56361287
2024-01-17 00:00:00+05:30,128.85,129.14,124.89,125.13,58982971
2024-01-18 00:00:00+05:30,125.13,125.72,121.76,124.5,45273496
2024-01-19 00:00:00+05:30,126.06,128.11,125.08,127.67,32653013
2024-01-20 00:00:00+05:30,127.67,128.6,126.74,127.38,16578179
2024-01-23 00:00:00+05:30,128.21,128.6,122.84,123.62,35373970
2024-01-24 00:00:00+05:30,123.71,128.94,123.62,128.55,39340119
2024-01-25 00:00:00+05:30,129.87,129.87,125.47,127.18,61358839
2024-01-29 00:00:00+05:30,128.11,128.8,126.94,128.41,29745400
2024-01-30 00:00:00+05:30,128.99,131.04,127.92,128.11,35704185
2024-01-31 00:00:00+05:30,128.41,130.07,127.92,129.33,36079354
2024-02-01 00:00:00+05:30,129.77,130.12,127.92,128.21,31701793
2024-02-02 00:00:00+05:30,128.7,132.9,128.21,132.02,69296192
2024-02-05 00:00:00+05:30,133.29,136.57,132.66,134.81,80737626
2024-02-06 00:00:00+05:30,136.22,138.28,133.73,137.84,53192936
2024-02-07 00:00:00+05:30,139.99,140.52,137.25,137.59,61517064
2024-02-08 00:00:00+05:30,138.47,138.81,136.27,136.86,38997666
2024-02-09 00:00:00+05:30,137.4,137.64,132.46,134.56,35961925
2024-02-12 00:00:00+05:30,135.25,136.17,130.02,130.75,36477544
2024-02-13 00:00:00+05:30,131.09,131.58,127.53,131.19,39155909
2024-02-14 00:00:00+05:30,130.36,134.76,129.14,134.46,29141690
2024-02-15 00:00:00+05:30,134.76,136.66,134.27,134.46,31587387
2024-02-16 00:00:00+05:30,135.29,136.66,134.76,135.54,22316127
2024-02-19 00:00:00+05:30,136.17,136.57,134.61,135.2,16973568
2024-02-20 00:00:00+05:30,135.2,135.49,133.34,134.32,24291123
2024-02-21 00:00:00+05:30,134.81,139.35,134.71,137.1,88000833
2024-02-22 00:00:00+05:30,138.18,139.3,136.71,139.06,46728176
2024-02-23 00:00:00+05:30,139.55,140.23,138.18,138.62,28414697
2024-02-26 00:00:00+05:30,139.01,139.11,135.49,135.88,22570277
2024-02-27 00:00:00+05:30,135.88,137.69,135.25,137.4,24119469
2024-02-28 00:00:00+05:30,137.25,138.13,133.34,134.02,20721926
2024-02-29 00:00:00+05:30,134.07,135.1,132.71,134.12,32248156
2024-03-01 00:00:00+05:30,136.22,143.7,136.22,143.01,123709943
2024-03-02 00:00:00+05:30,145.02,149.12,144.04,148.19,21643047
2024-03-04 00:00:00+05:30,147.85,147.85,144.09,146.09,67577785
2024-03-05 00:00:00+05:30,146.19,146.97,143.8,144.87,37165490
2024-03-06 00:00:00+05:30,144.82,145.65,141.01,144.63,51782444
2024-03-07 00:00:00+05:30,145.41,152.01,145.26,150.15,124847699
2024-03-11 00:00:00+05:30,151.76,151.76,146.0,146.43,54155385
2024-03-12 00:00:00+05:30,147.17,147.51,143.94,145.51,34947937
2024-03-13 00:00:00+05:30,145.8,145.9,135.73,136.86,70937597
2024-03-14 00:00:00+05:30,136.81,137.15,131.68,135.69,91956952
2024-03-15 00:00:00+05:30,136.13,136.91,133.14,134.95,68482621
2024-03-18 00:00:00+05:30,135.78,143.31,135.44,142.77,166913078
2024-03-19 00:00:00+05:30,142.09,145.46,140.72,141.84,105004268
2024-03-20 00:00:00+05:30,142.67,143.7,137.05,138.81,77550319
2024-03-21 00:00:00+05:30,141.11,144.24,140.91,143.16,84225737
2024-03-22 00:00:00+05:30,142.09,145.75,141.45,144.82,68241556
2024-03-26 00:00:00+05:30,144.19,146.39,143.55,145.41,52965508
2024-03-27 00:00:00+05:30,145.46,147.07,145.02,145.7,35328794
2024-03-28 00:00:00+05:30,145.7,149.9,145.7,148.78,62575327
2024-04-01 00:00:00+05:30,149.71,156.65,149.42,155.91,84583929
2024-04-02 00:00:00+05:30,155.72,158.21,154.59,157.38,69533405
2024-04-03 00:00:00+05:30,157.38,158.94,155.87,156.4,50938559
2024-04-04 00:00:00+05:30,158.26,158.65,153.81,156.16,61094750
2024-04-05 00:00:00+05:30,156.65,156.89,153.62,156.11,44668121
2024-04-08 00:00:00+05:30,159.63,159.63,156.94,157.92,48255703
2024-04-09 00:00:00+05:30,158.7,162.41,157.92,158.7,63884687
2024-04-10 00:00:00+05:30,159.97,161.83,157.23,157.77,64134758
2024-04-12 00:00:00+05:30,158.7,158.7,155.77,156.26,55317636
2024-04-15 00:00:00+05:30,154.59,157.43,151.47,153.67,66426404
2024-04-16 00:00:00+05:30,153.67,155.23,151.86,152.88,41391261
2024-04-18 00:00:00+05:30,153.72,156.74,152.01,152.88,68093672
2024-04-19 00:00:00+05:30,152.84,155.28,150.2,154.89,60078229
2024-04-22 00:00:00+05:30,156.55,157.43,154.3,154.64,39304790
2024-04-23 00:00:00+05:30,156.26,156.26,153.62,153.96,30295177
2024-04-24 00:00:00+05:30,155.23,159.58,154.25,158.26,59894921
2024-04-25 00:00:00+05:30,158.11,160.65,156.89,160.36,50128523
2024-04-26 00:00:00+05:30,160.65,163.29,157.97,158.5,65355111
2024-04-29 00:00:00+05:30,160.85,162.22,159.58,160.07,44906151
2024-04-30 00:00:00+05:30,161.04,161.04,157.23,157.72,55043389
2024-05-02 00:00:00+05:30,157.72,161.53,157.72,160.02,69320283
2024-05-03 00:00:00+05:30,161.58,163.34,157.87,159.19,62573586
2024-05-06 00:00:00+05:30,160.6,161.29,157.43,160.26,37621296
2024-05-07 00:00:00+05:30,160.6,160.6,155.08,156.99,43611824
2024-05-08 00:00:00+05:30,156.94,159.77,156.26,158.75,30128705
2024-05-09 00:00:00+05:30,158.65,159.38,154.3,154.69,30223088
2024-05-10 00:00:00+05:30,155.96,157.09,154.64,155.03,31472419
2024-05-13 00:00:00+05:30,155.23,157.23,150.93,156.6,36561003
2024-05-14 00:00:00+05:30,156.84,159.24,156.26,157.67,46261468
2024-05-15 00:00:00+05:30,157.67,160.21,157.67,158.31,29601304
2024-05-16 00:00:00+05:30,159.92,160.65,155.08,158.6,41126570
2024-05-17 00:00:00+05:30,159.29,161.09,158.16,160.02,39181277
2024-05-18 00:00:00+05:30,160.65,160.95,159.97,160.56,3601856
2024-05-21 00:00:00+05:30,161.14,167.69,160.6,166.86,84833644
2024-05-22 00:00:00+05:30,167.93,167.98,164.07,165.83,42919832
2024-05-23 00:00:00+05:30,165.59,168.28,163.1,167.98,49377680
2024-05-24 00:00:00+05:30,167.45,169.99,166.66,167.35,38674485
2024-05-27 00:00:00+05:30,170.13,170.13,167.35,167.98,30410585
2024-05-28 00:00:00+05:30,168.37,169.94,165.98,167.4,39208456
2024-05-29 00:00:00+05:30,167.25,168.47,166.03,166.76,36575550
2024-05-30 00:00:00+05:30,164.56,164.56,156.11,156.89,108813875
2024-05-31 00:00:00+05:30,158.75,160.6,156.74,159.87,83713848
2024-06-03 00:00:00+05:30,165.78,167.49,161.48,166.76,86397540
2024-06-04 00:00:00+05:30,167.01,167.15,141.26,151.81,125042158
2024-06-05 00:00:00+05:30,154.94,162.22,151.86,161.83,60098501
2024-06-06 00:00:00+05:30,162.61,167.2,162.02,164.61,57920819
