date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,198.0,198.9,195.45,196.7,60760
2024-12-17 00:00:00+05:30,196.7,196.8,191.2,192.25,169874
2024-12-18 00:00:00+05:30,193.8,193.8,189.95,190.8,131774
2024-12-19 00:00:00+05:30,188.5,191.2,186.25,190.6,41133
2024-12-20 00:00:00+05:30,190.4,191.95,185.25,186.2,76606
2024-12-23 00:00:00+05:30,189.95,189.95,185.15,186.4,41428
2024-12-24 00:00:00+05:30,188.15,188.35,184.65,186.3,77981
2024-12-26 00:00:00+05:30,189.35,189.35,183.85,184.35,168893
2024-12-27 00:00:00+05:30,185.8,187.0,182.85,183.15,108315
2024-12-30 00:00:00+05:30,184.85,185.0,179.5,180.15,106894
2024-12-31 00:00:00+05:30,180.0,180.35,177.05,177.9,153125
2025-01-01 00:00:00+05:30,178.85,179.5,176.85,178.95,115051
2025-01-02 00:00:00+05:30,181.45,184.8,180.0,184.0,82016
2025-01-03 00:00:00+05:30,184.2,186.4,183.8,184.45,111694
2025-01-06 00:00:00+05:30,184.5,185.5,175.3,176.25,277309
2025-01-07 00:00:00+05:30,176.65,180.25,176.25,179.5,44873
2025-01-08 00:00:00+05:30,180.4,180.4,175.65,178.85,43364
2025-01-09 00:00:00+05:30,178.5,179.0,173.05,173.5,47096
2025-01-10 00:00:00+05:30,174.2,174.2,167.1,167.6,76872
2025-01-13 00:00:00+05:30,170.55,173.45,168.5,169.7,1388186
2025-01-14 00:00:00+05:30,171.25,176.0,170.25,174.25,1024589
2025-01-15 00:00:00+05:30,175.95,175.95,172.2,174.0,331923
2025-01-16 00:00:00+05:30,176.85,179.95,176.55,177.65,1642645
2025-01-17 00:00:00+05:30,177.65,177.9,175.8,177.1,964178
2025-01-20 00:00:00+05:30,178.05,179.15,176.45,178.0,1151946
2025-01-21 00:00:00+05:30,178.55,179.05,174.0,174.15,31982
2025-01-22 00:00:00+05:30,174.7,175.05,168.65,173.25,41264
2025-01-23 00:00:00+05:30,173.35,176.0,172.0,174.15,58446
2025-01-24 00:00:00+05:30,175.1,175.1,169.2,170.55,43300
2025-01-27 00:00:00+05:30,168.65,169.2,163.85,165.25,385674
2025-01-28 00:00:00+05:30,167.5,172.05,162.85,169.05,1543341
2025-01-29 00:00:00+05:30,168.45,176.95,167.9,176.65,192292
2025-01-30 00:00:00+05:30,176.95,178.0,175.25,177.05,128321
2025-01-31 00:00:00+05:30,177.05,181.5,175.5,179.35,106895
2025-02-01 00:00:00+05:30,180.05,180.1,172.75,176.65,57487
2025-02-03 00:00:00+05:30,176.3,178.5,169.5,172.1,312919
2025-02-04 00:00:00+05:30,171.05,172.35,165.65,167.7,204447
2025-02-05 00:00:00+05:30,170.8,172.75,168.5,171.8,185275
2025-02-06 00:00:00+05:30,172.9,173.6,168.55,169.15,147075
2025-02-07 00:00:00+05:30,169.2,172.5,167.9,169.45,75419
2025-02-10 00:00:00+05:30,171.95,171.95,166.55,167.15,119888
2025-02-11 00:00:00+05:30,167.95,167.95,160.0,160.5,101902
2025-02-12 00:00:00+05:30,160.05,160.95,153.35,158.8,85783
2025-02-13 00:00:00+05:30,159.0,162.95,157.95,159.25,151233
2025-02-14 00:00:00+05:30,159.5,160.8,151.15,152.95,332681
2025-02-17 00:00:00+05:30,154.0,154.9,148.75,154.1,370953
2025-02-18 00:00:00+05:30,153.0,154.75,149.65,153.8,196106
2025-02-19 00:00:00+05:30,152.4,156.8,152.1,155.4,69330
2025-02-20 00:00:00+05:30,154.95,158.65,154.1,158.1,47712
2025-02-21 00:00:00+05:30,159.75,161.15,155.85,157.3,121697
2025-02-24 00:00:00+05:30,156.05,156.1,152.35,154.65,133483
2025-02-25 00:00:00+05:30,153.2,155.25,152.0,152.45,70725
2025-02-27 00:00:00+05:30,155.1,159.95,154.1,157.6,282772
2025-02-28 00:00:00+05:30,155.0,158.7,155.0,156.25,206537
2025-03-03 00:00:00+05:30,157.85,157.9,151.05,152.95,71105
2025-03-04 00:00:00+05:30,150.05,155.45,150.0,154.95,48787
2025-03-05 00:00:00+05:30,155.7,157.4,150.9,156.7,260950
2025-03-06 00:00:00+05:30,160.55,161.0,157.0,159.6,249086
2025-03-07 00:00:00+05:30,160.75,163.5,158.8,160.85,207175
2025-03-10 00:00:00+05:30,163.3,163.3,156.9,157.7,150565
2025-03-11 00:00:00+05:30,157.5,158.8,154.85,157.95,101758
2025-03-12 00:00:00+05:30,159.8,163.55,158.7,162.7,286338
2025-03-13 00:00:00+05:30,163.8,164.65,161.1,162.1,101833
2025-03-17 00:00:00+05:30,162.0,163.35,160.7,161.9,79663
2025-03-18 00:00:00+05:30,161.9,166.8,161.7,166.45,235365
2025-03-19 00:00:00+05:30,167.15,171.45,166.3,170.6,104142
2025-03-20 00:00:00+05:30,172.3,177.4,171.3,176.45,119748
2025-03-21 00:00:00+05:30,178.5,186.4,177.6,185.65,223873
2025-03-24 00:00:00+05:30,186.15,188.2,183.25,184.55,248640
2025-03-25 00:00:00+05:30,186.8,186.8,181.0,181.8,159784
2025-03-26 00:00:00+05:30,181.25,185.25,180.65,181.45,165464
2025-03-27 00:00:00+05:30,181.15,186.45,178.0,185.25,323889
2025-03-28 00:00:00+05:30,184.5,187.7,182.95,184.9,287937
2025-04-01 00:00:00+05:30,184.8,185.7,180.75,183.95,93240
2025-04-02 00:00:00+05:30,184.9,190.8,182.4,190.2,98378
2025-04-03 00:00:00+05:30,190.0,193.7,187.55,193.3,236391
2025-04-04 00:00:00+05:30,193.1,193.1,186.75,188.35,132499
2025-04-07 00:00:00+05:30,169.55,181.45,169.55,179.25,491577
2025-04-08 00:00:00+05:30,183.5,187.6,181.25,184.1,78466
2025-04-09 00:00:00+05:30,184.1,185.4,180.5,181.95,238703
2025-04-11 00:00:00+05:30,184.0,188.0,183.6,185.2,178540
2025-04-15 00:00:00+05:30,188.95,191.0,186.6,190.75,70094
2025-04-16 00:00:00+05:30,188.3,196.25,188.3,195.85,259063
2025-04-17 00:00:00+05:30,196.0,199.0,195.5,197.65,407208
2025-04-21 00:00:00+05:30,200.8,205.0,197.8,202.45,240829
2025-04-22 00:00:00+05:30,202.75,206.95,202.65,203.75,78137
2025-04-23 00:00:00+05:30,204.7,208.6,200.8,208.05,279935
2025-04-24 00:00:00+05:30,207.3,208.05,202.15,202.95,206171
2025-04-25 00:00:00+05:30,202.95,204.1,194.0,195.9,175874
2025-04-28 00:00:00+05:30,195.75,200.95,195.75,199.45,79575
2025-04-29 00:00:00+05:30,200.2,203.0,199.0,199.65,110877
2025-04-30 00:00:00+05:30,198.6,199.4,195.25,196.3,63745
2025-05-02 00:00:00+05:30,195.05,202.0,195.05,198.05,62633
2025-05-05 00:00:00+05:30,198.8,200.95,197.95,199.45,39211
2025-05-06 00:00:00+05:30,197.5,200.75,191.3,191.8,175907
2025-05-07 00:00:00+05:30,186.0,201.75,186.0,200.8,184383
2025-05-08 00:00:00+05:30,200.8,204.35,193.0,194.35,263133
2025-05-09 00:00:00+05:30,189.55,194.7,189.55,193.0,139238
2025-05-12 00:00:00+05:30,199.8,205.95,199.8,205.55,214375
2025-05-13 00:00:00+05:30,204.55,210.0,201.45,204.35,466285
2025-05-14 00:00:00+05:30,206.25,220.0,206.25,218.35,900690
2025-05-15 00:00:00+05:30,218.35,218.35,212.5,215.4,311059
2025-05-16 00:00:00+05:30,216.5,218.9,214.45,217.95,299714
2025-05-19 00:00:00+05:30,218.45,218.8,213.9,215.15,101099
2025-05-20 00:00:00+05:30,215.45,218.2,213.45,213.8,79726
2025-05-21 00:00:00+05:30,215.0,222.0,213.2,221.35,201381
2025-05-22 00:00:00+05:30,221.4,223.45,218.0,221.3,145798
2025-05-23 00:00:00+05:30,221.5,224.0,220.75,222.3,101736
2025-05-26 00:00:00+05:30,219.15,223.4,219.0,221.75,210983
