date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,1042.15,1081.4,1042.15,1054.6,2784
2024-12-17 00:00:00+05:30,1050.0,1059.15,1032.05,1035.75,1560
2024-12-18 00:00:00+05:30,1036.4,1071.75,1036.4,1056.0,5501
2024-12-19 00:00:00+05:30,1069.95,1069.95,1044.0,1050.15,3234
2024-12-20 00:00:00+05:30,1047.0,1081.1,1047.0,1055.0,7304
2024-12-23 00:00:00+05:30,1076.25,1076.25,1027.95,1044.6,2272
2024-12-24 00:00:00+05:30,1047.0,1051.1,1033.05,1036.3,1808
2024-12-26 00:00:00+05:30,1015.05,1042.9,1015.05,1037.0,3012
2024-12-27 00:00:00+05:30,1035.0,1053.7,1032.05,1048.05,4206
2024-12-30 00:00:00+05:30,1054.95,1055.0,1031.6,1045.5,4711
2024-12-31 00:00:00+05:30,1040.0,1071.0,1029.2,1064.2,2594
2025-01-01 00:00:00+05:30,1059.95,1065.35,1042.5,1048.35,4848
2025-01-02 00:00:00+05:30,1031.05,1057.8,1031.05,1050.55,4804
2025-01-03 00:00:00+05:30,1051.6,1066.0,1043.75,1052.15,2452
2025-01-06 00:00:00+05:30,1053.25,1122.4,1049.2,1062.65,26421
2025-01-07 00:00:00+05:30,1042.2,1093.25,1042.2,1091.05,5957
2025-01-08 00:00:00+05:30,1109.95,1109.95,1059.0,1064.85,3107
2025-01-09 00:00:00+05:30,1070.0,1070.05,1044.05,1054.9,2565
2025-01-10 00:00:00+05:30,1060.9,1060.9,1003.95,1008.95,14411
2025-01-13 00:00:00+05:30,1009.65,1020.5,996.95,1003.05,3893
2025-01-14 00:00:00+05:30,1005.0,1017.7,981.0,1009.15,10793
2025-01-15 00:00:00+05:30,1000.05,1010.25,988.05,1004.15,5605
2025-01-16 00:00:00+05:30,1003.05,1028.4,989.6,1000.75,4254
2025-01-17 00:00:00+05:30,1000.75,1060.0,1000.75,1053.4,12175
2025-01-20 00:00:00+05:30,1031.65,1062.6,1030.95,1057.9,2833
2025-01-21 00:00:00+05:30,1037.1,1065.45,1024.55,1030.85,3892
2025-01-22 00:00:00+05:30,1052.0,1052.25,1013.85,1019.6,6274
