date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,547.3,550.25,539.25,540.1,20596
2024-12-17 00:00:00+05:30,540.85,540.85,530.25,532.5,79700
2024-12-18 00:00:00+05:30,533.0,535.0,529.55,530.5,47644
2024-12-19 00:00:00+05:30,521.0,530.7,521.0,530.3,18071
2024-12-20 00:00:00+05:30,525.4,536.15,525.4,532.1,51431
2024-12-23 00:00:00+05:30,533.35,536.1,527.7,532.0,37824
2024-12-24 00:00:00+05:30,532.0,540.0,531.0,535.1,34913
2024-12-26 00:00:00+05:30,535.05,544.0,534.35,542.45,74031
2024-12-27 00:00:00+05:30,541.05,545.95,534.45,538.5,71331
2024-12-30 00:00:00+05:30,538.5,540.5,530.85,537.05,34907
2024-12-31 00:00:00+05:30,531.45,540.3,528.5,529.55,31595
2025-01-01 00:00:00+05:30,529.05,530.25,521.6,527.35,29224
2025-01-02 00:00:00+05:30,527.5,531.05,517.0,526.2,28596
2025-01-03 00:00:00+05:30,525.65,529.15,510.15,511.9,41580
2025-01-06 00:00:00+05:30,511.9,513.15,497.2,500.5,21269
2025-01-07 00:00:00+05:30,498.5,505.45,496.8,498.1,13688
2025-01-08 00:00:00+05:30,497.25,498.0,479.55,483.05,45406
2025-01-09 00:00:00+05:30,486.55,486.55,473.5,475.9,28758
2025-01-10 00:00:00+05:30,476.5,477.45,458.5,461.9,72060
2025-01-13 00:00:00+05:30,453.3,459.0,441.05,443.25,24423
2025-01-14 00:00:00+05:30,448.2,456.8,447.3,452.9,49942
2025-01-15 00:00:00+05:30,459.95,459.95,452.65,454.75,37879
2025-01-16 00:00:00+05:30,461.55,465.2,454.1,455.75,36855
2025-01-17 00:00:00+05:30,457.0,457.0,449.05,453.05,55688
2025-01-20 00:00:00+05:30,453.05,454.95,447.7,451.55,53832
2025-01-21 00:00:00+05:30,451.6,458.25,446.5,447.7,34420
2025-01-22 00:00:00+05:30,454.85,454.85,433.0,439.35,71898
2025-01-23 00:00:00+05:30,439.2,442.1,432.5,438.9,26631
2025-01-24 00:00:00+05:30,435.05,440.7,422.9,423.6,56804
2025-01-27 00:00:00+05:30,422.4,422.4,407.05,419.4,102332
2025-01-28 00:00:00+05:30,420.05,429.8,418.5,422.7,17816
2025-01-29 00:00:00+05:30,422.35,429.2,422.35,423.95,15301
2025-01-30 00:00:00+05:30,428.95,434.55,420.1,432.7,45589
2025-01-31 00:00:00+05:30,438.3,439.15,431.0,437.05,22851
2025-02-01 00:00:00+05:30,445.65,445.65,421.3,426.7,20519
2025-02-03 00:00:00+05:30,425.0,428.9,411.4,414.45,45845
2025-02-04 00:00:00+05:30,416.2,423.45,416.2,421.7,48254
2025-02-05 00:00:00+05:30,423.0,426.4,419.15,420.15,35475
2025-02-06 00:00:00+05:30,422.05,423.0,413.6,416.3,55837
2025-02-07 00:00:00+05:30,412.75,430.5,412.75,426.2,141051
2025-02-10 00:00:00+05:30,429.95,436.95,420.5,422.55,125412
2025-02-11 00:00:00+05:30,428.95,428.95,413.6,417.45,19849
2025-02-12 00:00:00+05:30,415.95,418.75,408.2,412.85,30272
2025-02-13 00:00:00+05:30,412.0,425.2,412.0,420.65,49355
2025-02-14 00:00:00+05:30,425.0,425.0,410.05,413.2,36382
2025-02-17 00:00:00+05:30,414.45,417.8,403.9,416.35,34482
2025-02-18 00:00:00+05:30,418.95,418.95,406.8,412.65,28793
2025-02-19 00:00:00+05:30,414.95,415.55,408.0,413.4,24005
2025-02-20 00:00:00+05:30,412.9,419.4,409.5,418.4,30323
2025-02-21 00:00:00+05:30,418.9,423.45,407.25,408.9,40480
