date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,308.0,312.25,307.0,310.3,59397
2024-12-17 00:00:00+05:30,314.2,314.2,306.0,310.2,43790
2024-12-18 00:00:00+05:30,310.0,311.95,306.9,307.95,21138
2024-12-19 00:00:00+05:30,304.35,310.1,301.55,308.5,48232
2024-12-20 00:00:00+05:30,310.05,311.35,301.35,303.2,50259
2024-12-23 00:00:00+05:30,309.35,312.9,307.8,311.8,22180
2024-12-24 00:00:00+05:30,312.65,312.65,303.45,304.6,2726699
2024-12-26 00:00:00+05:30,309.2,309.2,301.4,302.55,37495
2024-12-27 00:00:00+05:30,302.6,305.75,301.2,301.95,50918
2024-12-30 00:00:00+05:30,301.75,303.5,289.8,291.5,77113
2024-12-31 00:00:00+05:30,290.45,295.2,288.2,289.45,54501
2025-01-01 00:00:00+05:30,292.95,293.8,288.85,291.55,29882
2025-01-02 00:00:00+05:30,291.55,301.0,291.55,299.6,1069362
2025-01-03 00:00:00+05:30,299.15,300.75,296.25,296.9,24309
2025-01-06 00:00:00+05:30,296.9,298.3,286.3,287.15,57061
2025-01-07 00:00:00+05:30,289.05,294.95,288.45,293.95,13159
2025-01-08 00:00:00+05:30,294.05,295.55,287.05,290.9,45704
2025-01-09 00:00:00+05:30,290.1,290.15,287.5,288.25,6696
2025-01-10 00:00:00+05:30,289.95,289.95,279.05,281.5,46787
2025-01-13 00:00:00+05:30,278.6,280.7,269.0,270.8,20438
2025-01-14 00:00:00+05:30,270.05,278.5,270.05,274.9,9006
2025-01-15 00:00:00+05:30,277.25,283.7,270.45,277.0,60111
2025-01-16 00:00:00+05:30,282.2,293.25,280.1,291.85,39625
2025-01-17 00:00:00+05:30,295.9,297.55,289.65,291.45,10379
2025-01-20 00:00:00+05:30,291.45,293.9,289.15,292.35,29274
2025-01-21 00:00:00+05:30,296.25,296.25,287.85,288.7,29406
2025-01-22 00:00:00+05:30,289.0,289.0,275.65,278.4,13954
2025-01-23 00:00:00+05:30,278.1,287.65,275.55,286.9,22429
