date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,480.95,485.35,472.4,480.5,16448
2024-12-17 00:00:00+05:30,480.0,491.25,478.55,488.0,40577
2024-12-18 00:00:00+05:30,487.0,498.0,487.0,494.95,19499
2024-12-19 00:00:00+05:30,475.55,493.75,475.55,491.9,18160
2024-12-20 00:00:00+05:30,492.35,507.5,483.05,486.85,98363
2024-12-23 00:00:00+05:30,492.4,519.15,490.0,503.45,215866
2024-12-24 00:00:00+05:30,505.65,505.65,493.95,501.9,23434
2024-12-26 00:00:00+05:30,502.0,507.25,499.35,504.5,15090
2024-12-27 00:00:00+05:30,506.0,515.0,504.2,511.7,41169
2024-12-30 00:00:00+05:30,509.2,522.0,506.6,519.0,39706
2024-12-31 00:00:00+05:30,516.7,519.9,506.75,513.7,19616
2025-01-01 00:00:00+05:30,512.4,524.0,512.4,520.75,17994
2025-01-02 00:00:00+05:30,520.7,526.0,516.0,521.85,57653
2025-01-03 00:00:00+05:30,524.3,528.0,520.0,521.45,17966
2025-01-06 00:00:00+05:30,522.3,531.5,517.7,520.7,160208
2025-01-07 00:00:00+05:30,522.45,534.0,522.45,524.6,79951
2025-01-08 00:00:00+05:30,520.7,530.45,518.5,521.6,55966
2025-01-09 00:00:00+05:30,518.05,525.1,511.25,515.25,112704
2025-01-10 00:00:00+05:30,510.05,517.0,499.45,503.8,108214
2025-01-13 00:00:00+05:30,503.8,505.0,483.3,490.75,43030
2025-01-14 00:00:00+05:30,490.95,502.2,490.0,500.15,9431
2025-01-15 00:00:00+05:30,500.2,507.15,485.0,489.85,36594
2025-01-16 00:00:00+05:30,490.05,503.0,490.05,495.65,17631
2025-01-17 00:00:00+05:30,497.7,501.95,491.8,498.2,22009
2025-01-20 00:00:00+05:30,493.1,504.0,493.1,496.25,18713
2025-01-21 00:00:00+05:30,497.0,500.2,493.15,498.15,416417
2025-01-22 00:00:00+05:30,498.95,500.7,491.35,497.95,13310
2025-01-23 00:00:00+05:30,504.9,504.9,494.0,499.65,17857
2025-01-24 00:00:00+05:30,500.0,500.5,492.7,494.65,15025
2025-01-27 00:00:00+05:30,497.95,498.4,475.0,489.05,20727
2025-01-28 00:00:00+05:30,480.05,491.4,470.45,474.4,34329
2025-01-29 00:00:00+05:30,475.0,480.5,466.7,477.7,21044
2025-01-30 00:00:00+05:30,477.75,486.75,475.9,485.3,22486
2025-01-31 00:00:00+05:30,484.95,494.75,484.95,490.95,26387
2025-02-01 00:00:00+05:30,474.95,478.75,462.5,476.35,71900
2025-02-03 00:00:00+05:30,475.0,496.65,466.7,469.05,59598
2025-02-04 00:00:00+05:30,478.35,488.0,470.0,473.85,37162
2025-02-05 00:00:00+05:30,479.95,489.35,474.15,480.5,23008
2025-02-06 00:00:00+05:30,483.1,484.5,476.0,480.1,138853
2025-02-07 00:00:00+05:30,477.55,485.9,470.6,473.25,29008
2025-02-10 00:00:00+05:30,470.0,471.1,459.55,462.0,26817
2025-02-11 00:00:00+05:30,458.05,459.55,432.65,434.05,32159
2025-02-12 00:00:00+05:30,430.05,435.55,412.95,430.75,43758
2025-02-13 00:00:00+05:30,425.05,445.75,425.05,430.4,134370
2025-02-14 00:00:00+05:30,437.95,437.95,414.25,415.6,35840
2025-02-17 00:00:00+05:30,416.95,416.95,395.0,406.55,73474
2025-02-18 00:00:00+05:30,403.1,412.75,400.05,404.1,32879
2025-02-19 00:00:00+05:30,401.95,423.05,401.95,420.35,45469
2025-02-20 00:00:00+05:30,422.95,422.95,414.85,418.0,18945
2025-02-21 00:00:00+05:30,416.1,427.85,412.7,414.8,34202
2025-02-24 00:00:00+05:30,412.4,412.4,397.7,404.6,21021
2025-02-25 00:00:00+05:30,407.0,415.85,400.55,410.45,17165
2025-02-27 00:00:00+05:30,414.9,414.9,401.5,403.55,3974
2025-02-28 00:00:00+05:30,403.15,405.9,392.0,402.6,39646
2025-03-03 00:00:00+05:30,397.7,403.95,387.75,394.05,25387
2025-03-04 00:00:00+05:30,386.15,402.3,386.15,395.5,24444
2025-03-05 00:00:00+05:30,404.9,423.85,403.35,414.65,50907
2025-03-06 00:00:00+05:30,418.45,422.7,410.8,420.45,20331
2025-03-07 00:00:00+05:30,418.05,424.1,416.2,417.8,10068
2025-03-10 00:00:00+05:30,421.9,436.7,416.05,422.75,33093
2025-03-11 00:00:00+05:30,416.7,440.95,416.0,434.0,51041
2025-03-12 00:00:00+05:30,435.15,438.75,429.05,432.55,21308
2025-03-13 00:00:00+05:30,437.0,437.0,429.0,434.2,13958
2025-03-17 00:00:00+05:30,439.45,439.45,423.2,425.8,17654
2025-03-18 00:00:00+05:30,429.0,433.55,425.6,429.65,23754
2025-03-19 00:00:00+05:30,419.45,432.1,419.45,431.15,34143
2025-03-20 00:00:00+05:30,435.0,436.65,429.75,433.25,18847
2025-03-21 00:00:00+05:30,436.6,436.7,429.6,433.55,12790
2025-03-24 00:00:00+05:30,433.25,439.0,428.4,435.85,39910
2025-03-25 00:00:00+05:30,436.05,446.3,435.5,443.7,17828
2025-03-26 00:00:00+05:30,450.0,450.0,435.0,439.5,19477
