date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,308.5,309.35,305.0,305.6,125880
2024-12-17 00:00:00+05:30,305.65,306.2,302.2,302.85,64227
2024-12-18 00:00:00+05:30,302.15,303.9,298.0,299.1,45117
2024-12-19 00:00:00+05:30,295.1,298.85,293.55,297.05,131101
2024-12-20 00:00:00+05:30,295.2,300.55,290.0,291.0,192251
2024-12-23 00:00:00+05:30,295.0,318.5,290.15,315.55,739269
2024-12-24 00:00:00+05:30,316.1,320.2,310.55,319.6,334763
2024-12-26 00:00:00+05:30,319.55,321.8,312.9,320.65,217449
2024-12-27 00:00:00+05:30,320.15,330.35,317.45,330.05,346450
2024-12-30 00:00:00+05:30,327.9,337.0,321.65,329.5,310786
2024-12-31 00:00:00+05:30,305.65,314.45,303.3,308.25,656322
2025-01-01 00:00:00+05:30,307.65,329.45,306.9,329.0,616230
2025-01-02 00:00:00+05:30,326.5,331.9,324.65,330.4,206371
2025-01-03 00:00:00+05:30,329.55,332.05,326.45,328.55,54414
2025-01-06 00:00:00+05:30,330.55,332.6,322.0,324.95,79621
2025-01-07 00:00:00+05:30,325.65,329.75,319.3,329.65,158588
2025-01-08 00:00:00+05:30,325.0,328.95,323.5,326.05,90013
2025-01-09 00:00:00+05:30,323.5,328.85,321.0,323.95,148068
2025-01-10 00:00:00+05:30,294.85,301.45,291.6,291.6,1162026
2025-01-13 00:00:00+05:30,271.05,274.35,262.45,262.45,1076152
2025-01-14 00:00:00+05:30,263.95,270.5,257.95,266.95,675630
2025-01-15 00:00:00+05:30,267.15,274.15,263.55,273.5,444591
2025-01-16 00:00:00+05:30,275.0,275.0,269.05,270.25,190537
2025-01-17 00:00:00+05:30,270.3,271.05,263.5,267.75,271054
2025-01-20 00:00:00+05:30,268.6,270.0,262.45,263.8,111256
2025-01-21 00:00:00+05:30,266.2,270.55,264.45,268.15,263642
2025-01-22 00:00:00+05:30,268.3,269.35,262.05,267.2,190921
2025-01-23 00:00:00+05:30,267.8,267.8,260.6,261.55,72223
2025-01-24 00:00:00+05:30,262.55,267.4,251.0,251.85,307738
2025-01-27 00:00:00+05:30,252.0,270.0,241.05,261.95,1076421
2025-01-28 00:00:00+05:30,258.3,265.0,252.7,260.75,386409
2025-01-29 00:00:00+05:30,261.9,266.5,258.05,263.75,287108
2025-01-30 00:00:00+05:30,264.9,265.0,257.7,258.7,68181
2025-01-31 00:00:00+05:30,262.3,268.1,258.0,266.45,87067
2025-02-01 00:00:00+05:30,268.85,272.25,261.05,266.65,105989
2025-02-03 00:00:00+05:30,267.0,267.5,261.65,264.65,54046
2025-02-04 00:00:00+05:30,266.05,273.15,265.2,272.45,81766
2025-02-05 00:00:00+05:30,272.7,273.6,268.5,271.75,73981
2025-02-06 00:00:00+05:30,272.05,274.95,268.7,269.45,112113
2025-02-07 00:00:00+05:30,271.5,271.5,263.55,266.8,95710
