date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,295.4,295.4,289.9,292.05,316803
2024-12-17 00:00:00+05:30,293.95,293.95,286.3,287.1,238069
2024-12-18 00:00:00+05:30,286.7,286.7,281.85,282.5,297927
2024-12-19 00:00:00+05:30,278.0,289.85,277.25,288.6,681469
2024-12-20 00:00:00+05:30,288.45,293.05,281.65,283.05,475223
2024-12-23 00:00:00+05:30,287.8,288.95,282.1,283.2,763933
2024-12-24 00:00:00+05:30,283.65,289.45,281.55,285.9,294389
2024-12-26 00:00:00+05:30,289.75,293.1,286.65,289.55,666450
2024-12-27 00:00:00+05:30,289.35,291.2,286.55,287.45,175980
2024-12-30 00:00:00+05:30,287.85,289.15,283.8,287.25,141264
2024-12-31 00:00:00+05:30,286.95,288.3,285.05,286.4,69666
2025-01-01 00:00:00+05:30,287.05,289.75,284.45,289.25,83149
2025-01-02 00:00:00+05:30,289.0,291.45,285.9,290.85,122760
2025-01-03 00:00:00+05:30,290.3,293.1,288.45,290.3,205278
2025-01-06 00:00:00+05:30,290.35,290.95,278.25,278.9,222253
2025-01-07 00:00:00+05:30,281.75,284.65,275.05,277.0,230110
2025-01-08 00:00:00+05:30,276.3,282.05,274.95,280.95,146508
2025-01-09 00:00:00+05:30,282.25,282.25,273.55,274.45,208601
2025-01-10 00:00:00+05:30,274.45,277.6,270.2,271.95,304995
2025-01-13 00:00:00+05:30,268.35,268.95,258.85,259.9,257887
2025-01-14 00:00:00+05:30,260.1,266.05,260.1,265.0,303852
2025-01-15 00:00:00+05:30,269.35,270.0,260.05,261.7,308480
2025-01-16 00:00:00+05:30,263.45,263.45,258.25,261.6,322539
2025-01-17 00:00:00+05:30,263.9,269.55,261.95,268.05,356354
2025-01-20 00:00:00+05:30,269.75,272.75,263.3,271.55,362213
2025-01-21 00:00:00+05:30,273.0,281.15,272.65,274.5,526390
2025-01-22 00:00:00+05:30,277.8,277.8,268.5,272.05,269725
2025-01-23 00:00:00+05:30,278.9,278.9,264.9,265.6,723295
2025-01-24 00:00:00+05:30,268.7,273.55,257.5,258.4,525540
2025-01-27 00:00:00+05:30,258.6,259.55,253.15,255.95,589575
2025-01-28 00:00:00+05:30,256.75,258.55,249.05,252.95,735139
2025-01-29 00:00:00+05:30,252.65,252.75,246.45,251.75,421492
2025-01-30 00:00:00+05:30,254.25,255.45,251.35,251.85,324725
2025-01-31 00:00:00+05:30,253.3,256.4,249.2,255.9,358220
2025-02-01 00:00:00+05:30,257.35,257.35,243.1,250.4,878801
2025-02-03 00:00:00+05:30,246.85,246.85,237.35,244.45,598146
2025-02-04 00:00:00+05:30,245.45,251.35,245.45,250.85,265868
2025-02-05 00:00:00+05:30,254.7,260.25,254.7,255.9,516555
2025-02-06 00:00:00+05:30,257.65,261.75,256.4,257.05,565871
2025-02-07 00:00:00+05:30,257.65,259.5,254.7,258.8,171985
2025-02-10 00:00:00+05:30,258.85,260.5,252.3,254.55,301296
2025-02-11 00:00:00+05:30,254.45,254.45,248.65,250.1,711456
2025-02-12 00:00:00+05:30,250.1,251.5,243.9,250.5,530491
2025-02-13 00:00:00+05:30,250.55,254.8,249.75,250.25,634315
2025-02-14 00:00:00+05:30,250.8,253.15,242.35,245.7,257489
2025-02-17 00:00:00+05:30,245.7,248.05,241.5,246.7,132630
2025-02-18 00:00:00+05:30,248.8,248.8,241.85,247.55,374837
2025-02-19 00:00:00+05:30,246.3,251.25,244.75,250.35,99956
2025-02-20 00:00:00+05:30,248.85,254.45,248.35,253.35,97219
2025-02-21 00:00:00+05:30,253.1,254.15,245.8,246.4,238711
2025-02-24 00:00:00+05:30,245.0,248.3,243.7,245.9,235088
2025-02-25 00:00:00+05:30,246.15,247.6,242.7,243.05,206504
2025-02-27 00:00:00+05:30,243.4,244.35,237.1,239.75,260241
2025-02-28 00:00:00+05:30,238.85,238.85,231.35,232.5,546136
2025-03-03 00:00:00+05:30,232.95,238.65,229.4,237.45,350166
