date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,211.5,212.95,208.2,208.4,83426
2024-12-17 00:00:00+05:30,209.0,210.1,206.0,206.5,75303
2024-12-18 00:00:00+05:30,206.05,206.65,201.4,202.0,85465
2024-12-19 00:00:00+05:30,199.3,205.5,198.0,203.45,114653
2024-12-20 00:00:00+05:30,204.6,204.9,199.2,200.55,215919
2024-12-23 00:00:00+05:30,200.3,203.2,195.0,196.0,115555
2024-12-24 00:00:00+05:30,198.15,202.45,197.05,198.25,83082
2024-12-26 00:00:00+05:30,199.45,199.8,196.15,196.95,61628
2024-12-27 00:00:00+05:30,198.0,199.5,195.05,195.75,92393
2024-12-30 00:00:00+05:30,196.85,197.7,191.4,192.9,165164
2024-12-31 00:00:00+05:30,192.6,198.3,191.3,197.3,155996
2025-01-01 00:00:00+05:30,199.85,206.95,197.0,203.65,221268
2025-01-02 00:00:00+05:30,203.85,205.15,200.4,203.15,59001
2025-01-03 00:00:00+05:30,203.55,205.3,201.55,202.25,219919
2025-01-06 00:00:00+05:30,201.05,202.25,193.5,194.95,400274
2025-01-07 00:00:00+05:30,194.95,196.8,194.1,195.9,186038
2025-01-08 00:00:00+05:30,198.9,204.6,196.6,200.85,281786
2025-01-09 00:00:00+05:30,201.05,202.9,197.15,198.25,69737
2025-01-10 00:00:00+05:30,198.15,198.15,188.4,190.35,84966
2025-01-13 00:00:00+05:30,186.4,187.05,178.05,179.75,376900
2025-01-14 00:00:00+05:30,179.9,184.75,179.3,182.75,209598
2025-01-15 00:00:00+05:30,184.9,185.0,180.4,182.6,78150
2025-01-16 00:00:00+05:30,184.65,186.5,183.6,184.0,44420
2025-01-17 00:00:00+05:30,183.55,188.05,182.65,184.9,117628
2025-01-20 00:00:00+05:30,186.05,187.3,184.35,186.25,91659
2025-01-21 00:00:00+05:30,186.3,190.0,182.3,182.65,133399
2025-01-22 00:00:00+05:30,183.05,183.2,175.7,178.55,181556
2025-01-23 00:00:00+05:30,179.15,182.35,178.05,179.25,83104
2025-01-24 00:00:00+05:30,179.45,182.0,174.2,174.95,134293
2025-01-27 00:00:00+05:30,174.0,174.0,167.25,169.6,328251
