date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,758.05,774.05,758.05,766.9,2535
2024-12-17 00:00:00+05:30,773.95,773.95,756.55,759.95,7961
2024-12-18 00:00:00+05:30,784.15,784.15,755.3,766.7,7550
2024-12-19 00:00:00+05:30,755.1,780.0,755.1,763.75,10771
2024-12-20 00:00:00+05:30,776.95,776.95,741.35,746.45,3413
2024-12-23 00:00:00+05:30,753.4,753.85,737.65,741.3,6088
2024-12-24 00:00:00+05:30,732.05,745.15,732.05,739.1,2522
2024-12-26 00:00:00+05:30,725.05,746.55,721.65,736.35,3351
2024-12-27 00:00:00+05:30,734.95,735.0,729.0,732.25,1471
2024-12-30 00:00:00+05:30,742.95,747.95,727.45,735.9,3330
2024-12-31 00:00:00+05:30,760.7,760.7,723.0,742.5,3531
2025-01-01 00:00:00+05:30,730.05,741.2,721.5,728.9,4869
2025-01-02 00:00:00+05:30,728.8,733.95,721.05,731.55,3564
2025-01-03 00:00:00+05:30,730.6,735.0,725.45,726.2,4349
2025-01-06 00:00:00+05:30,739.95,739.95,694.75,699.0,6127
2025-01-07 00:00:00+05:30,703.85,709.35,701.65,707.5,4447
2025-01-08 00:00:00+05:30,702.05,702.05,678.05,687.35,12255
2025-01-09 00:00:00+05:30,692.65,692.85,670.0,673.85,9282
2025-01-10 00:00:00+05:30,677.5,677.5,642.05,659.9,9531
2025-01-13 00:00:00+05:30,650.05,655.65,624.0,651.3,21600
2025-01-14 00:00:00+05:30,650.7,651.3,630.75,642.85,5108
2025-01-15 00:00:00+05:30,659.0,659.0,631.15,634.05,7242
2025-01-16 00:00:00+05:30,650.0,650.0,632.55,639.6,3965
2025-01-17 00:00:00+05:30,633.1,641.6,620.05,634.85,7099
2025-01-20 00:00:00+05:30,644.95,644.95,630.55,633.15,2641
2025-01-21 00:00:00+05:30,659.95,659.95,624.7,637.05,3716
2025-01-22 00:00:00+05:30,659.95,659.95,630.05,639.75,6640
2025-01-23 00:00:00+05:30,635.95,638.1,630.45,632.7,4884
2025-01-24 00:00:00+05:30,654.9,654.9,606.45,610.45,4609
2025-01-27 00:00:00+05:30,598.8,606.0,593.1,600.2,4068
2025-01-28 00:00:00+05:30,595.0,607.1,587.0,599.6,4007
2025-01-29 00:00:00+05:30,603.85,628.7,599.95,623.8,11694
2025-01-30 00:00:00+05:30,611.0,618.7,600.9,610.4,3591
2025-01-31 00:00:00+05:30,610.4,625.75,609.2,623.8,3923
2025-02-01 00:00:00+05:30,626.75,656.0,616.65,646.45,12968
2025-02-03 00:00:00+05:30,650.4,661.9,642.75,658.2,4244
2025-02-04 00:00:00+05:30,665.05,687.9,664.55,679.3,6143
2025-02-05 00:00:00+05:30,685.05,689.5,677.05,681.1,6347
2025-02-06 00:00:00+05:30,662.35,669.55,646.0,648.4,28201
2025-02-07 00:00:00+05:30,659.95,669.2,647.6,653.9,6478
2025-02-10 00:00:00+05:30,648.45,649.45,617.8,639.7,5637
2025-02-11 00:00:00+05:30,642.0,682.0,596.6,610.7,36264
2025-02-12 00:00:00+05:30,597.0,618.25,589.7,608.0,14718
2025-02-13 00:00:00+05:30,596.05,606.35,591.95,597.9,8307
2025-02-14 00:00:00+05:30,597.9,612.55,580.0,600.5,8168
2025-02-17 00:00:00+05:30,590.0,601.85,579.3,593.9,13002
2025-02-18 00:00:00+05:30,593.9,601.15,590.0,594.75,5196
