date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,593.25,602.0,591.5,597.35,17037
2024-12-17 00:00:00+05:30,598.45,600.35,583.1,589.2,17594
2024-12-18 00:00:00+05:30,589.2,590.2,583.0,586.95,7122
2024-12-19 00:00:00+05:30,581.05,602.3,580.0,598.5,34485
2024-12-20 00:00:00+05:30,598.9,607.15,583.5,589.8,20089
2024-12-23 00:00:00+05:30,582.35,586.3,565.6,567.0,17388
2024-12-24 00:00:00+05:30,565.35,601.95,565.35,598.6,37634
2024-12-26 00:00:00+05:30,599.05,601.85,585.5,588.45,16648
2024-12-27 00:00:00+05:30,589.15,593.95,583.0,591.15,5821
2024-12-30 00:00:00+05:30,595.0,603.0,588.1,591.8,17789
2024-12-31 00:00:00+05:30,593.95,606.65,585.0,600.35,18110
2025-01-01 00:00:00+05:30,600.0,612.4,596.2,605.25,13074
2025-01-02 00:00:00+05:30,613.95,613.95,603.7,609.0,4092
2025-01-03 00:00:00+05:30,614.0,618.35,601.85,614.35,21890
2025-01-06 00:00:00+05:30,619.0,619.0,582.35,585.2,17238
2025-01-07 00:00:00+05:30,584.0,598.0,582.15,587.75,14299
2025-01-08 00:00:00+05:30,592.95,592.95,570.85,583.3,16126
2025-01-09 00:00:00+05:30,576.05,617.45,576.05,595.85,19226
2025-01-10 00:00:00+05:30,594.85,594.85,581.15,589.55,13037
2025-01-13 00:00:00+05:30,580.05,589.85,555.3,564.8,32049
2025-01-14 00:00:00+05:30,555.15,573.6,551.0,559.4,13677
2025-01-15 00:00:00+05:30,560.6,572.0,552.45,566.45,10344
2025-01-16 00:00:00+05:30,569.95,572.25,558.0,565.55,17164
2025-01-17 00:00:00+05:30,570.35,571.25,561.0,564.65,9406
2025-01-20 00:00:00+05:30,572.0,572.0,557.0,559.45,5703
2025-01-21 00:00:00+05:30,559.45,564.0,547.65,549.35,4626
2025-01-22 00:00:00+05:30,554.95,561.55,548.45,560.15,9002
2025-01-23 00:00:00+05:30,558.7,564.75,546.5,562.45,10109
2025-01-24 00:00:00+05:30,562.3,563.15,546.75,551.5,5843
2025-01-27 00:00:00+05:30,548.0,548.0,530.0,535.15,12700
2025-01-28 00:00:00+05:30,541.0,561.85,538.65,555.25,45047
2025-01-29 00:00:00+05:30,556.3,574.25,556.3,572.2,16474
2025-01-30 00:00:00+05:30,579.9,579.9,564.75,572.0,5046
2025-01-31 00:00:00+05:30,571.0,592.45,567.05,588.6,26368
2025-02-01 00:00:00+05:30,590.05,629.5,584.65,626.1,27902
2025-02-03 00:00:00+05:30,619.8,624.9,602.2,611.95,36850
2025-02-04 00:00:00+05:30,606.95,608.0,583.0,584.85,20058
2025-02-05 00:00:00+05:30,595.85,595.85,577.15,586.2,15099
2025-02-06 00:00:00+05:30,590.95,590.95,573.9,576.35,29605
2025-02-07 00:00:00+05:30,576.35,579.9,566.05,572.85,9787
2025-02-10 00:00:00+05:30,566.05,580.0,566.05,574.5,19188
2025-02-11 00:00:00+05:30,568.1,568.1,534.65,542.25,24433
2025-02-12 00:00:00+05:30,536.05,562.1,531.75,558.15,21708
2025-02-13 00:00:00+05:30,558.7,560.6,535.9,539.5,15540
2025-02-14 00:00:00+05:30,549.85,549.85,522.0,524.5,9826
2025-02-17 00:00:00+05:30,527.8,531.05,512.75,523.95,28981
2025-02-18 00:00:00+05:30,529.45,553.85,519.7,536.5,33963
2025-02-19 00:00:00+05:30,536.0,550.7,530.0,548.95,9457
2025-02-20 00:00:00+05:30,546.0,561.55,544.0,558.45,18148
2025-02-21 00:00:00+05:30,556.0,561.55,546.0,557.75,13199
2025-02-24 00:00:00+05:30,547.1,559.65,541.4,551.3,14081
2025-02-25 00:00:00+05:30,555.25,555.25,544.85,547.35,4740
2025-02-27 00:00:00+05:30,554.95,556.95,541.45,545.7,3274
2025-02-28 00:00:00+05:30,535.35,545.75,513.1,530.0,14131
2025-03-03 00:00:00+05:30,520.05,530.9,509.4,521.4,18982
2025-03-04 00:00:00+05:30,510.95,532.4,509.25,530.45,10355
2025-03-05 00:00:00+05:30,515.0,532.35,514.55,525.1,12258
2025-03-06 00:00:00+05:30,530.0,540.65,525.1,534.25,9357
2025-03-07 00:00:00+05:30,535.0,559.0,535.0,551.4,28172
2025-03-10 00:00:00+05:30,552.0,575.75,552.0,567.75,15735
2025-03-11 00:00:00+05:30,565.9,565.9,542.9,549.7,10889
2025-03-12 00:00:00+05:30,551.0,570.1,546.2,567.65,18639
2025-03-13 00:00:00+05:30,578.95,578.95,554.3,562.0,7421
2025-03-17 00:00:00+05:30,563.05,564.75,544.95,545.8,10732
2025-03-18 00:00:00+05:30,550.0,560.35,546.6,555.4,5648
2025-03-19 00:00:00+05:30,545.95,565.35,545.95,557.55,12094
2025-03-20 00:00:00+05:30,564.15,577.35,555.0,565.8,10493
2025-03-21 00:00:00+05:30,576.35,585.0,566.3,576.4,22754
2025-03-24 00:00:00+05:30,577.75,587.05,570.0,572.35,20244
2025-03-25 00:00:00+05:30,581.95,581.95,557.05,575.6,12775
2025-03-26 00:00:00+05:30,588.0,588.0,554.6,557.8,11702
2025-03-27 00:00:00+05:30,555.15,589.9,546.8,578.5,27740
2025-03-28 00:00:00+05:30,580.0,588.45,573.25,579.65,39034
2025-04-01 00:00:00+05:30,579.4,582.35,565.9,571.55,7737
2025-04-02 00:00:00+05:30,585.0,603.35,575.9,587.1,21476
2025-04-03 00:00:00+05:30,580.55,582.8,570.6,576.2,19885
2025-04-04 00:00:00+05:30,579.85,597.55,571.05,592.9,60109
2025-04-07 00:00:00+05:30,511.7,597.1,511.7,586.1,75953
2025-04-08 00:00:00+05:30,594.95,594.95,572.65,581.1,16980
2025-04-09 00:00:00+05:30,575.15,610.5,575.15,599.35,44767
2025-04-11 00:00:00+05:30,605.0,611.55,594.4,608.05,7241
2025-04-15 00:00:00+05:30,612.35,612.35,600.0,604.65,9398
2025-04-16 00:00:00+05:30,600.6,627.85,600.6,627.0,13778
2025-04-17 00:00:00+05:30,628.0,628.0,612.8,614.5,18409
2025-04-21 00:00:00+05:30,616.65,620.75,608.85,618.2,8044
