date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,454.65,463.0,451.8,460.15,220538
2024-12-17 00:00:00+05:30,458.3,466.45,448.7,450.85,147089
2024-12-18 00:00:00+05:30,456.75,456.75,443.3,444.7,200524
2024-12-19 00:00:00+05:30,436.2,443.55,433.1,439.95,161800
2024-12-20 00:00:00+05:30,454.0,456.8,417.15,425.9,587089
2024-12-23 00:00:00+05:30,426.75,428.2,414.35,417.4,136752
2024-12-24 00:00:00+05:30,416.85,421.0,411.5,418.15,157128
2024-12-26 00:00:00+05:30,418.2,421.65,414.85,418.25,64855
2024-12-27 00:00:00+05:30,419.0,426.0,417.15,418.45,47876
2024-12-30 00:00:00+05:30,419.3,419.3,410.0,411.6,139558
2024-12-31 00:00:00+05:30,409.55,418.2,408.65,416.75,120879
2025-01-01 00:00:00+05:30,420.05,423.3,415.15,421.45,165439
2025-01-02 00:00:00+05:30,423.0,430.25,418.5,429.1,197568
2025-01-03 00:00:00+05:30,432.15,432.15,424.0,424.85,268084
2025-01-06 00:00:00+05:30,424.05,426.6,406.65,409.1,431296
2025-01-07 00:00:00+05:30,407.5,415.3,404.2,409.05,202517
2025-01-08 00:00:00+05:30,409.3,410.3,402.0,405.25,158580
2025-01-09 00:00:00+05:30,405.2,406.45,396.8,397.6,56519
2025-01-10 00:00:00+05:30,397.6,398.4,386.7,389.25,229012
2025-01-13 00:00:00+05:30,385.05,390.3,371.25,372.55,390780
2025-01-14 00:00:00+05:30,367.85,384.45,367.8,382.45,1678073
2025-01-15 00:00:00+05:30,388.95,388.95,379.3,382.1,165060
2025-01-16 00:00:00+05:30,390.15,393.9,385.65,388.2,143644
2025-01-17 00:00:00+05:30,388.2,391.55,384.6,389.65,107867
2025-01-20 00:00:00+05:30,392.35,392.95,386.35,391.45,145485
2025-01-21 00:00:00+05:30,392.05,394.3,376.5,377.3,75258
2025-01-22 00:00:00+05:30,379.45,379.85,367.5,375.7,139626
2025-01-23 00:00:00+05:30,374.1,386.0,373.15,383.45,124029
2025-01-24 00:00:00+05:30,383.45,385.45,367.75,369.15,81104
2025-01-27 00:00:00+05:30,368.3,368.3,346.35,347.85,346565
2025-01-28 00:00:00+05:30,352.05,352.4,336.6,343.4,313561
2025-01-29 00:00:00+05:30,345.2,361.6,338.7,353.1,443680
2025-01-30 00:00:00+05:30,360.0,365.0,356.35,360.1,284714
2025-01-31 00:00:00+05:30,364.35,376.0,362.0,374.45,245519
2025-02-01 00:00:00+05:30,381.85,391.0,371.75,382.3,488721
2025-02-03 00:00:00+05:30,383.6,383.6,370.0,373.55,284423
2025-02-04 00:00:00+05:30,376.9,383.6,376.05,380.05,205231
2025-02-05 00:00:00+05:30,382.0,387.5,379.4,385.0,239818
2025-02-06 00:00:00+05:30,385.55,386.95,376.3,378.1,420447
2025-02-07 00:00:00+05:30,378.35,380.85,372.25,377.15,212754
