date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,722.3,722.3,691.4,696.2,34318
2024-12-17 00:00:00+05:30,702.0,702.0,685.05,687.2,20784
2024-12-18 00:00:00+05:30,696.65,696.65,671.45,682.45,41398
2024-12-19 00:00:00+05:30,668.75,683.3,665.0,678.0,33524
2024-12-20 00:00:00+05:30,697.6,697.6,669.0,677.2,36985
2024-12-23 00:00:00+05:30,677.9,685.0,667.3,678.8,22649
2024-12-24 00:00:00+05:30,688.7,688.7,673.05,683.2,8711
2024-12-26 00:00:00+05:30,692.95,692.95,670.0,671.95,27158
2024-12-27 00:00:00+05:30,672.15,685.5,659.05,682.2,20760
2024-12-30 00:00:00+05:30,689.35,744.0,682.85,730.85,147365
2024-12-31 00:00:00+05:30,706.0,720.75,694.35,719.6,66112
2025-01-01 00:00:00+05:30,725.95,725.95,701.0,708.25,24468
2025-01-02 00:00:00+05:30,712.95,731.15,707.0,717.7,28685
2025-01-03 00:00:00+05:30,718.7,739.0,718.0,732.65,44075
2025-01-06 00:00:00+05:30,733.05,742.5,711.4,719.8,94072
2025-01-07 00:00:00+05:30,716.45,741.8,714.1,734.6,57652
2025-01-08 00:00:00+05:30,736.6,739.35,719.0,724.7,19857
2025-01-09 00:00:00+05:30,730.2,730.2,702.0,714.0,23853
2025-01-10 00:00:00+05:30,715.8,716.75,685.05,687.3,50367
2025-01-13 00:00:00+05:30,650.65,682.9,650.65,663.45,171809
2025-01-14 00:00:00+05:30,663.5,673.8,654.55,663.65,28345
2025-01-15 00:00:00+05:30,669.65,669.65,648.1,651.15,106769
2025-01-16 00:00:00+05:30,651.75,680.7,651.75,663.1,45786
2025-01-17 00:00:00+05:30,672.6,672.6,642.0,644.6,32900
2025-01-20 00:00:00+05:30,651.35,655.7,635.65,653.4,31398
2025-01-21 00:00:00+05:30,659.2,659.5,637.6,639.8,37462
2025-01-22 00:00:00+05:30,640.05,640.65,624.0,629.0,30190
2025-01-23 00:00:00+05:30,637.55,644.35,625.0,635.75,10338
2025-01-24 00:00:00+05:30,637.0,641.2,614.85,616.2,41236
2025-01-27 00:00:00+05:30,609.65,609.65,585.0,591.7,113590
2025-01-28 00:00:00+05:30,592.0,592.2,577.75,581.0,24652
2025-01-29 00:00:00+05:30,584.45,630.6,579.05,628.25,40083
2025-01-30 00:00:00+05:30,640.2,654.7,627.45,648.4,85551
2025-01-31 00:00:00+05:30,647.4,654.3,629.0,639.8,63311
2025-02-01 00:00:00+05:30,649.5,649.5,622.8,627.3,20712
2025-02-03 00:00:00+05:30,625.05,647.35,614.5,620.7,89527
2025-02-04 00:00:00+05:30,625.15,641.2,616.1,629.0,34406
2025-02-05 00:00:00+05:30,635.65,673.05,631.6,671.4,24805
2025-02-06 00:00:00+05:30,671.2,671.2,640.35,651.05,24776
2025-02-07 00:00:00+05:30,651.05,661.25,645.2,649.7,13583
2025-02-10 00:00:00+05:30,662.0,662.0,622.25,627.4,63461
2025-02-11 00:00:00+05:30,627.55,632.0,610.0,615.45,39499
2025-02-12 00:00:00+05:30,615.0,626.9,601.5,615.1,62497
2025-02-13 00:00:00+05:30,606.15,619.0,605.35,611.65,36085
2025-02-14 00:00:00+05:30,612.05,619.2,589.65,602.95,50259
2025-02-17 00:00:00+05:30,585.15,615.45,585.15,612.95,48971
2025-02-18 00:00:00+05:30,614.05,619.95,598.8,603.3,15859
2025-02-19 00:00:00+05:30,603.95,609.95,598.05,603.8,68976
2025-02-20 00:00:00+05:30,598.45,621.3,598.45,609.55,24316
2025-02-21 00:00:00+05:30,605.9,623.0,602.45,618.75,23412
2025-02-24 00:00:00+05:30,617.65,617.65,583.0,597.8,19123
2025-02-25 00:00:00+05:30,605.65,614.15,590.0,608.35,17084
2025-02-27 00:00:00+05:30,611.95,621.95,604.8,615.8,22874
2025-02-28 00:00:00+05:30,615.75,620.0,602.35,610.15,26994
2025-03-03 00:00:00+05:30,604.95,635.0,602.6,628.3,48801
2025-03-04 00:00:00+05:30,630.0,656.0,620.0,640.4,22616
2025-03-05 00:00:00+05:30,639.25,673.95,630.0,659.95,70725
2025-03-06 00:00:00+05:30,661.55,669.15,642.65,646.95,27427
2025-03-07 00:00:00+05:30,640.05,654.0,627.85,629.45,12729
2025-03-10 00:00:00+05:30,637.5,637.5,611.5,621.1,26323
2025-03-11 00:00:00+05:30,606.0,631.65,606.0,624.55,20372
2025-03-12 00:00:00+05:30,624.05,626.45,606.0,615.0,5017
2025-03-13 00:00:00+05:30,619.55,620.0,599.6,604.85,28956
2025-03-17 00:00:00+05:30,609.25,609.25,595.65,598.2,15769
2025-03-18 00:00:00+05:30,608.95,619.15,600.2,615.1,21924
2025-03-19 00:00:00+05:30,614.0,618.3,604.6,610.5,20584
2025-03-20 00:00:00+05:30,621.5,631.15,613.85,626.9,34279
2025-03-21 00:00:00+05:30,635.25,643.85,614.55,627.65,73326
2025-03-24 00:00:00+05:30,640.85,662.0,633.1,653.15,23038
2025-03-25 00:00:00+05:30,661.95,661.95,639.7,647.9,15152
2025-03-26 00:00:00+05:30,648.35,654.65,638.5,645.35,25435
2025-03-27 00:00:00+05:30,643.0,677.05,630.85,670.8,43727
2025-03-28 00:00:00+05:30,670.2,725.2,665.7,698.5,117797
2025-04-01 00:00:00+05:30,698.55,721.15,680.45,688.4,62177
2025-04-02 00:00:00+05:30,690.2,690.2,653.1,663.0,28131
2025-04-03 00:00:00+05:30,661.1,671.55,652.6,659.95,35350
2025-04-04 00:00:00+05:30,654.25,660.45,640.25,649.15,40821
2025-04-07 00:00:00+05:30,521.05,638.7,521.05,632.35,30517
2025-04-08 00:00:00+05:30,649.55,661.05,641.3,648.95,35320
2025-04-09 00:00:00+05:30,646.45,660.5,642.05,653.85,28980
2025-04-11 00:00:00+05:30,667.5,671.95,635.3,649.8,53022
2025-04-15 00:00:00+05:30,660.2,699.85,658.15,669.3,108486
2025-04-16 00:00:00+05:30,672.0,687.85,645.5,649.45,67819
2025-04-17 00:00:00+05:30,651.0,667.0,645.95,663.95,18204
2025-04-21 00:00:00+05:30,663.8,667.0,654.25,656.75,16733
2025-04-22 00:00:00+05:30,658.45,674.4,655.55,664.15,43875
2025-04-23 00:00:00+05:30,665.0,679.45,657.0,677.05,22304
2025-04-24 00:00:00+05:30,680.0,683.05,664.5,668.3,38888
2025-04-25 00:00:00+05:30,674.95,674.95,638.3,654.2,30704
2025-04-28 00:00:00+05:30,642.05,677.0,642.05,674.9,14685
2025-04-29 00:00:00+05:30,679.0,679.45,663.05,667.6,10483
2025-04-30 00:00:00+05:30,661.6,700.9,661.6,686.65,118152
2025-05-02 00:00:00+05:30,686.0,692.4,676.0,677.95,43374
2025-05-05 00:00:00+05:30,680.0,685.85,670.15,680.2,18393
2025-05-06 00:00:00+05:30,680.25,694.35,666.4,686.85,57596
