date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,373.05,377.75,368.5,370.95,148368
2024-12-17 00:00:00+05:30,373.75,376.0,364.2,366.15,176399
2024-12-18 00:00:00+05:30,363.55,371.1,362.8,370.3,95042
2024-12-19 00:00:00+05:30,363.15,367.35,359.35,366.05,71686
2024-12-20 00:00:00+05:30,366.05,376.1,355.35,357.15,238227
2024-12-23 00:00:00+05:30,359.4,366.25,346.6,353.05,306995
2024-12-24 00:00:00+05:30,353.1,361.0,353.1,358.65,52164
2024-12-26 00:00:00+05:30,360.05,363.4,355.55,362.9,81278
2024-12-27 00:00:00+05:30,363.95,369.8,356.75,368.35,88807
2024-12-30 00:00:00+05:30,369.0,379.45,364.8,376.95,83133
2024-12-31 00:00:00+05:30,377.5,378.65,372.0,376.15,35506
2025-01-01 00:00:00+05:30,375.95,387.35,373.5,383.7,174008
2025-01-02 00:00:00+05:30,382.0,403.65,381.45,394.4,308543
2025-01-03 00:00:00+05:30,396.45,407.0,392.8,401.2,142011
2025-01-06 00:00:00+05:30,401.95,405.75,388.95,391.45,127613
2025-01-07 00:00:00+05:30,390.35,422.8,387.5,406.5,704892
2025-01-08 00:00:00+05:30,406.05,409.45,391.2,395.9,142986
2025-01-09 00:00:00+05:30,394.4,406.0,390.4,394.65,58300
2025-01-10 00:00:00+05:30,390.8,413.9,373.35,378.65,377448
2025-01-13 00:00:00+05:30,371.6,380.35,355.15,361.55,89058
2025-01-14 00:00:00+05:30,359.75,371.8,353.15,370.15,106048
2025-01-15 00:00:00+05:30,368.3,381.5,365.45,379.95,125651
2025-01-16 00:00:00+05:30,384.85,391.05,381.85,383.75,81895
2025-01-17 00:00:00+05:30,381.75,392.5,373.55,390.95,107549
2025-01-20 00:00:00+05:30,395.2,400.6,385.25,388.3,54942
2025-01-21 00:00:00+05:30,388.0,388.55,359.9,361.8,134344
2025-01-22 00:00:00+05:30,366.25,366.25,339.25,350.75,178065
2025-01-23 00:00:00+05:30,351.15,362.0,350.55,355.2,188878
2025-01-24 00:00:00+05:30,357.5,385.0,347.15,368.55,613675
2025-01-27 00:00:00+05:30,362.45,362.95,347.3,350.95,164489
2025-01-28 00:00:00+05:30,351.0,355.45,321.3,325.05,234222
2025-01-29 00:00:00+05:30,322.5,352.4,318.35,346.15,243263
2025-01-30 00:00:00+05:30,347.0,350.7,338.3,341.15,187181
2025-01-31 00:00:00+05:30,340.4,340.4,332.85,335.15,49201
2025-02-01 00:00:00+05:30,335.5,347.7,332.05,343.35,105241
2025-02-03 00:00:00+05:30,336.45,338.7,325.55,331.15,77128
2025-02-04 00:00:00+05:30,336.65,341.0,323.0,334.15,90292
2025-02-05 00:00:00+05:30,337.7,354.75,337.3,351.35,178257
2025-02-06 00:00:00+05:30,351.05,354.0,346.3,352.25,53085
2025-02-07 00:00:00+05:30,354.55,362.55,346.35,354.65,119345
2025-02-10 00:00:00+05:30,364.15,373.6,342.5,351.75,527562
2025-02-11 00:00:00+05:30,349.85,361.35,349.2,357.25,240819
2025-02-12 00:00:00+05:30,355.1,363.55,342.45,356.15,235034
2025-02-13 00:00:00+05:30,356.15,366.15,354.7,361.65,181185
2025-02-14 00:00:00+05:30,357.05,360.9,346.0,352.7,200132
2025-02-17 00:00:00+05:30,352.75,354.95,337.0,344.7,217357
2025-02-18 00:00:00+05:30,341.2,351.45,339.5,349.55,78612
2025-02-19 00:00:00+05:30,349.0,361.0,346.65,353.7,68570
2025-02-20 00:00:00+05:30,355.45,365.7,352.8,364.6,86998
2025-02-21 00:00:00+05:30,360.05,369.95,356.25,368.4,62156
2025-02-24 00:00:00+05:30,364.45,364.45,355.2,360.35,74857
2025-02-25 00:00:00+05:30,360.8,365.35,351.0,353.8,372269
2025-02-27 00:00:00+05:30,358.95,362.25,347.6,356.55,48665
2025-02-28 00:00:00+05:30,354.15,355.05,340.35,346.1,58015
