date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,1081.2,1081.2,1062.25,1069.9,12609
2024-12-17 00:00:00+05:30,1083.95,1083.95,1048.55,1050.65,11586
2024-12-18 00:00:00+05:30,1051.7,1056.45,1016.0,1028.9,48146
2024-12-19 00:00:00+05:30,1019.15,1028.8,1008.0,1024.3,10218
2024-12-20 00:00:00+05:30,1028.05,1028.05,982.3,991.05,14523
2024-12-23 00:00:00+05:30,997.8,997.8,945.6,951.0,27181
2024-12-24 00:00:00+05:30,951.0,1014.65,951.0,968.85,91383
2024-12-26 00:00:00+05:30,979.95,979.95,959.0,964.8,14518
2024-12-27 00:00:00+05:30,960.05,987.4,959.05,983.55,34386
2024-12-30 00:00:00+05:30,980.6,985.0,941.0,947.35,32913
2024-12-31 00:00:00+05:30,949.95,970.0,942.9,963.3,20921
2025-01-01 00:00:00+05:30,972.0,973.55,962.0,970.15,21501
2025-01-02 00:00:00+05:30,975.0,992.75,967.2,977.85,30907
2025-01-03 00:00:00+05:30,980.5,991.9,979.0,986.15,11094
2025-01-06 00:00:00+05:30,984.05,987.0,942.35,945.4,35491
2025-01-07 00:00:00+05:30,942.55,982.45,942.55,980.7,33048
2025-01-08 00:00:00+05:30,991.8,991.8,957.25,964.9,16030
2025-01-09 00:00:00+05:30,960.0,970.9,950.4,952.8,22984
2025-01-10 00:00:00+05:30,946.05,958.9,931.0,937.7,29653
2025-01-13 00:00:00+05:30,931.35,936.35,890.0,895.8,48831
2025-01-14 00:00:00+05:30,912.9,937.7,898.65,934.15,13165
2025-01-15 00:00:00+05:30,935.95,939.95,911.0,914.05,30920
2025-01-16 00:00:00+05:30,931.4,1005.4,930.5,987.7,87063
2025-01-17 00:00:00+05:30,984.2,984.2,948.8,953.4,27189
2025-01-20 00:00:00+05:30,955.35,966.45,948.9,959.25,18564
2025-01-21 00:00:00+05:30,969.95,969.95,928.0,949.45,23363
2025-01-22 00:00:00+05:30,957.95,957.95,926.9,947.6,21251
2025-01-23 00:00:00+05:30,948.3,969.5,936.0,964.55,21521
2025-01-24 00:00:00+05:30,977.6,977.6,936.0,937.7,8936
2025-01-27 00:00:00+05:30,938.15,938.25,901.05,911.45,14766
2025-01-28 00:00:00+05:30,928.65,928.65,880.0,907.85,31706
2025-01-29 00:00:00+05:30,923.9,936.9,905.0,930.4,9566
2025-01-30 00:00:00+05:30,943.8,955.6,930.0,947.55,12476
2025-01-31 00:00:00+05:30,959.6,989.9,948.25,983.2,27575
2025-02-01 00:00:00+05:30,994.85,1007.4,977.15,1001.2,37473
2025-02-03 00:00:00+05:30,989.95,989.95,938.55,954.4,48886
2025-02-04 00:00:00+05:30,955.3,964.4,931.5,937.15,16476
2025-02-05 00:00:00+05:30,944.95,946.45,922.85,924.2,24318
2025-02-06 00:00:00+05:30,940.1,940.1,895.0,899.0,25911
2025-02-07 00:00:00+05:30,900.2,928.3,900.2,909.75,55323
2025-02-10 00:00:00+05:30,917.95,917.95,898.75,913.2,14996
2025-02-11 00:00:00+05:30,911.9,911.9,878.15,883.4,34697
2025-02-12 00:00:00+05:30,883.4,895.5,852.95,892.9,22107
2025-02-13 00:00:00+05:30,910.8,916.25,898.65,910.95,10571
2025-02-14 00:00:00+05:30,906.05,915.9,883.5,902.45,14502
2025-02-17 00:00:00+05:30,899.95,906.3,881.0,902.05,14144
2025-02-18 00:00:00+05:30,920.1,920.1,889.45,893.8,10464
2025-02-19 00:00:00+05:30,890.05,908.0,884.6,902.6,9817
2025-02-20 00:00:00+05:30,900.0,922.3,894.15,911.2,17154
2025-02-21 00:00:00+05:30,902.9,922.95,900.85,903.8,16315
2025-02-24 00:00:00+05:30,898.95,898.95,882.05,892.35,8275
2025-02-25 00:00:00+05:30,885.2,897.8,880.1,883.2,15783
2025-02-27 00:00:00+05:30,883.75,883.75,832.0,837.75,57372
2025-02-28 00:00:00+05:30,835.05,835.9,807.5,810.4,19975
2025-03-03 00:00:00+05:30,818.75,825.95,800.4,822.55,23094
2025-03-04 00:00:00+05:30,829.4,829.4,797.25,821.7,28859
2025-03-05 00:00:00+05:30,821.95,848.95,810.0,846.9,32096
2025-03-06 00:00:00+05:30,859.0,874.9,852.25,870.75,11924
2025-03-07 00:00:00+05:30,876.0,910.35,874.0,906.4,13537
2025-03-10 00:00:00+05:30,910.0,910.0,883.95,892.5,13784
2025-03-11 00:00:00+05:30,892.9,907.85,874.85,905.4,11792
2025-03-12 00:00:00+05:30,905.95,908.3,891.3,895.15,17474
2025-03-13 00:00:00+05:30,906.0,906.0,892.4,898.35,13935
2025-03-17 00:00:00+05:30,901.8,902.3,889.0,892.25,20818
2025-03-18 00:00:00+05:30,905.95,905.95,892.95,898.05,7635
2025-03-19 00:00:00+05:30,900.0,938.0,895.0,930.1,32977
2025-03-20 00:00:00+05:30,946.95,955.95,934.05,953.6,23400
2025-03-21 00:00:00+05:30,957.25,957.25,932.6,942.4,32877
2025-03-24 00:00:00+05:30,959.95,962.95,942.0,945.1,34022
2025-03-25 00:00:00+05:30,959.0,959.2,920.0,923.35,16565
2025-03-26 00:00:00+05:30,934.1,935.25,911.75,914.65,9597
2025-03-27 00:00:00+05:30,916.6,928.0,915.65,920.1,10758
2025-03-28 00:00:00+05:30,907.05,952.75,907.05,931.6,66521
2025-04-01 00:00:00+05:30,931.6,940.15,920.0,923.3,8936
2025-04-02 00:00:00+05:30,919.0,932.95,918.5,927.75,6231
2025-04-03 00:00:00+05:30,927.55,939.2,919.55,935.55,7976
2025-04-04 00:00:00+05:30,933.0,933.65,904.4,906.4,5005
2025-04-07 00:00:00+05:30,850.0,875.0,817.2,872.05,6877
2025-04-08 00:00:00+05:30,880.55,891.15,861.45,864.95,11831
2025-04-09 00:00:00+05:30,867.95,872.3,850.9,860.5,8285
2025-04-11 00:00:00+05:30,898.95,898.95,861.0,863.5,22880
2025-04-15 00:00:00+05:30,879.95,885.0,862.0,880.35,17514
2025-04-16 00:00:00+05:30,880.1,905.0,879.05,890.85,22479
2025-04-17 00:00:00+05:30,889.05,889.05,864.1,879.0,35482
2025-04-21 00:00:00+05:30,882.6,911.0,879.9,907.3,23203
2025-04-22 00:00:00+05:30,907.8,933.6,907.8,911.2,29020
2025-04-23 00:00:00+05:30,926.55,932.0,910.1,923.95,16686
2025-04-24 00:00:00+05:30,924.0,938.4,914.85,918.0,5209
2025-04-25 00:00:00+05:30,920.05,921.0,873.55,885.85,38628
2025-04-28 00:00:00+05:30,871.0,910.0,871.0,908.2,19107
2025-04-29 00:00:00+05:30,914.7,915.4,896.15,901.9,8102
2025-04-30 00:00:00+05:30,898.0,900.6,865.0,869.9,21585
2025-05-02 00:00:00+05:30,886.8,886.8,866.85,876.6,8320
2025-05-05 00:00:00+05:30,874.05,934.6,874.05,930.65,30308
2025-05-06 00:00:00+05:30,930.65,930.65,884.1,887.85,17198
2025-05-07 00:00:00+05:30,874.55,886.0,866.3,873.4,23746
2025-05-08 00:00:00+05:30,883.35,887.15,860.0,864.2,24185
2025-05-09 00:00:00+05:30,842.35,879.85,842.35,875.65,31569
2025-05-12 00:00:00+05:30,874.95,918.2,862.2,912.95,124232
2025-05-13 00:00:00+05:30,912.9,919.45,892.0,895.8,43255
2025-05-14 00:00:00+05:30,904.75,932.7,895.8,921.35,64963
2025-05-15 00:00:00+05:30,919.95,922.0,903.35,908.7,20204
2025-05-16 00:00:00+05:30,911.65,983.0,906.6,972.85,72516
2025-05-19 00:00:00+05:30,981.05,992.85,958.85,962.4,61693
2025-05-20 00:00:00+05:30,972.15,972.15,916.0,917.7,23724
2025-05-21 00:00:00+05:30,924.2,928.65,908.2,910.25,29789
2025-05-22 00:00:00+05:30,910.95,921.5,904.85,912.2,22442
2025-05-23 00:00:00+05:30,912.25,936.6,908.55,923.25,37990
2025-05-26 00:00:00+05:30,932.3,943.3,924.05,931.4,12827
2025-05-27 00:00:00+05:30,930.0,935.0,923.1,934.1,10027
2025-05-28 00:00:00+05:30,934.6,945.05,930.8,941.8,11021
2025-05-29 00:00:00+05:30,936.65,957.0,934.4,937.4,17908
2025-05-30 00:00:00+05:30,937.6,942.3,924.85,930.9,29130
2025-06-02 00:00:00+05:30,927.95,981.35,927.7,971.8,108610
2025-06-03 00:00:00+05:30,979.75,984.0,963.45,974.85,24336
2025-06-04 00:00:00+05:30,974.15,1007.3,966.45,991.9,62459
2025-06-05 00:00:00+05:30,995.0,1009.0,985.5,999.95,45827
2025-06-06 00:00:00+05:30,1000.8,1021.0,982.75,984.9,40630
