date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,424.25,435.0,417.6,430.7,107610
2024-12-17 00:00:00+05:30,430.5,439.0,421.4,428.85,107173
2024-12-18 00:00:00+05:30,428.8,448.2,428.3,437.5,261132
2024-12-19 00:00:00+05:30,431.05,434.5,424.5,430.4,45318
2024-12-20 00:00:00+05:30,435.8,510.9,426.85,489.25,1123887
2024-12-23 00:00:00+05:30,491.4,491.4,439.4,468.2,766220
2024-12-24 00:00:00+05:30,469.85,474.6,454.1,456.15,230800
2024-12-26 00:00:00+05:30,450.7,505.25,448.6,453.0,572951
2024-12-27 00:00:00+05:30,453.0,470.6,444.1,460.55,322221
2024-12-30 00:00:00+05:30,460.55,460.55,430.45,432.8,244120
2024-12-31 00:00:00+05:30,428.7,458.5,421.9,432.15,246357
2025-01-01 00:00:00+05:30,433.2,458.5,432.7,446.15,237467
2025-01-02 00:00:00+05:30,442.85,448.85,438.2,439.6,74453
2025-01-03 00:00:00+05:30,442.4,450.9,439.6,445.75,55857
2025-01-06 00:00:00+05:30,445.95,447.1,421.25,423.15,105130
2025-01-07 00:00:00+05:30,423.6,445.2,423.6,440.4,153750
2025-01-08 00:00:00+05:30,436.55,447.65,430.6,434.75,50764
2025-01-09 00:00:00+05:30,434.85,463.2,429.7,452.2,261277
2025-01-10 00:00:00+05:30,451.45,451.45,415.15,417.3,86895
2025-01-13 00:00:00+05:30,413.3,420.25,394.8,396.7,80496
2025-01-14 00:00:00+05:30,400.0,414.55,398.05,411.95,69397
2025-01-15 00:00:00+05:30,415.7,415.85,401.9,404.1,66124
2025-01-16 00:00:00+05:30,410.35,427.2,410.3,419.0,95036
2025-01-17 00:00:00+05:30,418.85,432.1,415.8,426.35,60790
2025-01-20 00:00:00+05:30,426.35,441.8,423.9,439.3,79898
2025-01-21 00:00:00+05:30,441.55,446.15,420.65,422.9,46824
2025-01-22 00:00:00+05:30,430.55,430.55,406.45,409.7,66034
