date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,631.3,636.4,628.6,634.9,17541
2024-12-17 00:00:00+05:30,635.95,636.3,625.75,626.55,28359
2024-12-18 00:00:00+05:30,626.0,629.5,620.25,624.55,50873
2024-12-19 00:00:00+05:30,619.55,624.6,615.1,623.65,69641
2024-12-20 00:00:00+05:30,624.0,626.8,618.2,623.95,78129
2024-12-23 00:00:00+05:30,624.2,626.95,613.8,622.65,77704
2024-12-24 00:00:00+05:30,623.7,627.95,619.05,622.45,49777
2024-12-26 00:00:00+05:30,620.0,629.75,618.85,626.4,164371
2024-12-27 00:00:00+05:30,621.4,629.5,620.75,621.6,58037
2024-12-30 00:00:00+05:30,620.0,623.85,614.5,617.1,21651
2024-12-31 00:00:00+05:30,617.85,618.9,611.1,616.9,22950
2025-01-01 00:00:00+05:30,616.9,619.3,613.5,617.15,21819
2025-01-02 00:00:00+05:30,617.0,621.0,613.25,620.0,41297
2025-01-03 00:00:00+05:30,621.65,624.0,615.7,623.05,54362
2025-01-06 00:00:00+05:30,625.2,628.2,603.05,606.1,105268
2025-01-07 00:00:00+05:30,604.05,620.3,604.05,619.55,57034
2025-01-08 00:00:00+05:30,620.0,622.0,615.2,617.55,22069
2025-01-09 00:00:00+05:30,615.0,620.65,610.2,612.5,16496
2025-01-10 00:00:00+05:30,612.45,614.7,603.1,608.6,45201
2025-01-13 00:00:00+05:30,609.65,609.65,597.2,599.5,33018
2025-01-14 00:00:00+05:30,600.55,607.65,594.75,600.2,27535
2025-01-15 00:00:00+05:30,605.05,605.05,584.65,594.25,65652
2025-01-16 00:00:00+05:30,623.05,660.55,623.05,641.3,1098829
2025-01-17 00:00:00+05:30,641.25,650.0,633.05,642.45,53282
2025-01-20 00:00:00+05:30,642.8,644.15,630.45,633.8,44978
2025-01-21 00:00:00+05:30,634.45,636.95,623.0,623.65,16977
2025-01-22 00:00:00+05:30,627.05,627.05,613.0,618.15,65921
2025-01-23 00:00:00+05:30,616.1,625.0,612.35,620.75,21023
2025-01-24 00:00:00+05:30,619.9,625.05,613.3,620.7,16699
2025-01-27 00:00:00+05:30,620.0,620.0,606.75,609.8,13573
2025-01-28 00:00:00+05:30,610.05,613.9,600.5,611.15,46377
2025-01-29 00:00:00+05:30,613.95,629.35,606.3,628.1,20943
2025-01-30 00:00:00+05:30,625.3,636.0,624.2,634.4,37250
2025-01-31 00:00:00+05:30,635.1,641.3,630.05,638.15,42757
2025-02-01 00:00:00+05:30,643.8,667.25,595.1,625.2,346849
2025-02-03 00:00:00+05:30,613.2,629.95,610.1,621.2,35357
2025-02-04 00:00:00+05:30,625.15,627.2,616.0,625.55,65782
2025-02-05 00:00:00+05:30,629.6,638.8,624.9,627.2,20255
2025-02-06 00:00:00+05:30,627.95,638.35,624.1,632.0,28406
2025-02-07 00:00:00+05:30,633.05,637.4,624.9,635.05,43137
2025-02-10 00:00:00+05:30,635.05,640.8,627.0,635.35,44215
2025-02-11 00:00:00+05:30,630.05,633.5,613.7,618.8,29210
2025-02-12 00:00:00+05:30,616.05,636.95,607.8,629.3,69158
2025-02-13 00:00:00+05:30,629.0,639.85,626.15,629.35,35364
2025-02-14 00:00:00+05:30,629.7,633.5,622.55,625.9,42602
2025-02-17 00:00:00+05:30,629.95,629.95,614.6,623.15,40451
2025-02-18 00:00:00+05:30,624.0,627.0,611.8,618.85,66060
2025-02-19 00:00:00+05:30,617.95,623.9,614.0,622.55,18823
2025-02-20 00:00:00+05:30,621.0,628.0,616.5,619.75,28201
2025-02-21 00:00:00+05:30,619.95,624.35,613.45,622.85,10444
2025-02-24 00:00:00+05:30,616.3,621.0,614.35,616.9,31234
2025-02-25 00:00:00+05:30,619.85,623.3,613.2,620.95,23779
2025-02-27 00:00:00+05:30,621.15,627.5,616.55,618.0,21005
2025-02-28 00:00:00+05:30,610.05,616.2,600.65,609.0,42408
2025-03-03 00:00:00+05:30,609.3,619.7,607.45,618.05,69052
2025-03-04 00:00:00+05:30,616.45,620.45,609.05,616.2,51216
2025-03-05 00:00:00+05:30,612.0,625.0,612.0,620.7,14777
2025-03-06 00:00:00+05:30,625.95,627.0,613.4,618.1,23449
