date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,660.75,667.15,652.5,653.15,68970
2024-12-17 00:00:00+05:30,651.7,653.0,637.25,638.5,61555
2024-12-18 00:00:00+05:30,641.65,642.0,628.4,633.5,47285
2024-12-19 00:00:00+05:30,621.95,633.0,614.4,629.5,114880
2024-12-20 00:00:00+05:30,629.0,640.3,620.7,623.75,91887
2024-12-23 00:00:00+05:30,624.85,635.7,624.85,634.0,63140
2024-12-24 00:00:00+05:30,634.25,638.1,625.7,628.4,573295
2024-12-26 00:00:00+05:30,629.95,632.0,627.0,628.9,235335
2024-12-27 00:00:00+05:30,628.9,632.85,615.75,617.1,390269
2024-12-30 00:00:00+05:30,617.4,620.0,599.45,602.2,187180
2024-12-31 00:00:00+05:30,601.1,606.0,597.3,601.7,92432
2025-01-01 00:00:00+05:30,603.85,603.85,587.6,593.05,115396
2025-01-02 00:00:00+05:30,596.0,600.6,588.6,599.05,96915
2025-01-03 00:00:00+05:30,602.35,602.35,590.1,591.1,128878
2025-01-06 00:00:00+05:30,591.15,599.65,571.8,574.1,296560
2025-01-07 00:00:00+05:30,573.0,588.4,572.25,584.6,91744
2025-01-08 00:00:00+05:30,582.05,587.8,577.5,586.6,164705
2025-01-09 00:00:00+05:30,580.05,596.75,578.05,589.65,165939
2025-01-10 00:00:00+05:30,588.75,588.75,571.6,574.5,279577
2025-01-13 00:00:00+05:30,571.0,573.9,562.5,563.65,173265
2025-01-14 00:00:00+05:30,564.05,592.0,564.05,591.05,290816
2025-01-15 00:00:00+05:30,591.2,596.0,586.65,591.4,92828
2025-01-16 00:00:00+05:30,598.5,607.0,591.3,602.45,71978
2025-01-17 00:00:00+05:30,603.05,618.9,603.05,617.05,83530
2025-01-20 00:00:00+05:30,619.7,621.7,612.4,618.05,71412
2025-01-21 00:00:00+05:30,621.75,628.05,613.3,614.8,56373
2025-01-22 00:00:00+05:30,613.35,615.4,606.0,613.7,115876
2025-01-23 00:00:00+05:30,610.0,616.0,606.95,607.95,109191
2025-01-24 00:00:00+05:30,609.0,615.05,600.0,607.0,291175
2025-01-27 00:00:00+05:30,596.15,601.5,585.0,586.5,74020
2025-01-28 00:00:00+05:30,588.8,589.4,568.5,574.2,109528
2025-01-29 00:00:00+05:30,575.55,587.85,572.0,585.2,238719
2025-01-30 00:00:00+05:30,587.95,601.75,582.0,587.95,115980
2025-01-31 00:00:00+05:30,589.0,596.65,584.2,594.45,631348
2025-02-01 00:00:00+05:30,594.95,595.45,582.45,586.8,200633
2025-02-03 00:00:00+05:30,575.95,576.5,558.0,574.4,180134
2025-02-04 00:00:00+05:30,577.9,596.0,577.9,583.75,83299
2025-02-05 00:00:00+05:30,586.0,604.4,585.5,600.45,60830
2025-02-06 00:00:00+05:30,600.45,605.6,591.5,595.3,36959
2025-02-07 00:00:00+05:30,594.15,610.95,594.15,607.45,64516
2025-02-10 00:00:00+05:30,600.05,605.0,589.5,596.1,180028
2025-02-11 00:00:00+05:30,591.15,606.95,591.15,595.65,144750
2025-02-12 00:00:00+05:30,595.05,604.85,586.25,599.05,68873
2025-02-13 00:00:00+05:30,604.25,607.85,590.3,602.3,94922
2025-02-14 00:00:00+05:30,608.05,615.5,595.0,605.8,461688
2025-02-17 00:00:00+05:30,606.0,612.05,589.7,610.7,238538
2025-02-18 00:00:00+05:30,609.95,613.85,602.0,611.65,35659
2025-02-19 00:00:00+05:30,607.7,628.0,607.2,626.75,134610
2025-02-20 00:00:00+05:30,626.85,644.0,625.8,638.95,200485
2025-02-21 00:00:00+05:30,638.35,655.95,637.6,653.6,1397581
2025-02-24 00:00:00+05:30,646.95,648.15,636.0,641.55,90987
2025-02-25 00:00:00+05:30,641.45,641.45,617.0,620.35,124066
2025-02-27 00:00:00+05:30,624.55,633.95,619.8,632.05,133469
2025-02-28 00:00:00+05:30,630.05,636.55,619.35,634.35,161233
2025-03-03 00:00:00+05:30,635.05,643.4,620.7,636.55,198731
2025-03-04 00:00:00+05:30,625.05,643.65,623.85,641.6,81928
2025-03-05 00:00:00+05:30,637.25,662.5,637.25,657.3,114907
2025-03-06 00:00:00+05:30,667.95,687.85,661.95,681.9,165124
2025-03-07 00:00:00+05:30,679.3,694.35,677.95,691.4,149226
2025-03-10 00:00:00+05:30,690.95,709.0,687.25,688.9,307231
2025-03-11 00:00:00+05:30,685.55,699.0,677.3,695.75,86701
2025-03-12 00:00:00+05:30,696.8,701.85,683.75,689.6,117719
2025-03-13 00:00:00+05:30,690.4,692.9,673.3,677.15,553086
2025-03-17 00:00:00+05:30,680.3,687.05,678.25,680.8,29262
2025-03-18 00:00:00+05:30,687.25,700.9,686.35,697.7,158361
2025-03-19 00:00:00+05:30,702.75,702.75,690.75,697.8,76927
2025-03-20 00:00:00+05:30,703.5,709.75,697.5,706.0,81627
2025-03-21 00:00:00+05:30,716.45,716.45,694.0,695.8,192178
2025-03-24 00:00:00+05:30,703.75,705.35,695.05,701.45,118140
2025-03-25 00:00:00+05:30,701.4,704.95,683.55,693.5,85777
2025-03-26 00:00:00+05:30,696.1,702.55,690.35,691.25,105363
2025-03-27 00:00:00+05:30,690.2,697.65,688.8,693.45,68264
2025-03-28 00:00:00+05:30,689.1,697.65,679.25,682.35,82701
2025-04-01 00:00:00+05:30,674.5,682.7,662.05,663.55,241067
2025-04-02 00:00:00+05:30,665.05,669.9,652.5,661.25,415651
2025-04-03 00:00:00+05:30,656.4,657.7,647.4,652.75,74961
2025-04-04 00:00:00+05:30,647.0,647.0,596.75,599.95,1355694
2025-04-07 00:00:00+05:30,550.3,570.0,546.25,562.4,412236
2025-04-08 00:00:00+05:30,578.3,583.55,556.1,568.35,189038
2025-04-09 00:00:00+05:30,570.9,570.9,552.5,564.35,237800
2025-04-11 00:00:00+05:30,587.7,607.9,576.1,600.4,560117
2025-04-15 00:00:00+05:30,614.8,619.4,607.0,618.15,134722
2025-04-16 00:00:00+05:30,618.0,619.25,602.1,609.85,186814
2025-04-17 00:00:00+05:30,611.6,613.5,604.0,608.9,57922
2025-04-21 00:00:00+05:30,612.6,624.9,607.3,622.1,71731
2025-04-22 00:00:00+05:30,624.95,630.95,619.0,619.85,102329
2025-04-23 00:00:00+05:30,628.05,633.0,620.85,628.8,81806
2025-04-24 00:00:00+05:30,630.8,632.5,626.2,628.45,45661
2025-04-25 00:00:00+05:30,632.5,634.45,612.9,621.6,166595
2025-04-28 00:00:00+05:30,622.6,631.5,622.6,628.8,70665
2025-04-29 00:00:00+05:30,630.95,634.45,621.4,622.65,80373
2025-04-30 00:00:00+05:30,622.65,632.65,617.1,623.65,127409
2025-05-02 00:00:00+05:30,624.05,650.15,622.2,632.05,139561
2025-05-05 00:00:00+05:30,634.35,641.5,630.0,633.6,102055
2025-05-06 00:00:00+05:30,637.05,642.5,627.4,629.7,108068
2025-05-07 00:00:00+05:30,625.1,638.55,625.1,636.35,53365
2025-05-08 00:00:00+05:30,638.0,638.0,615.05,618.4,103192
2025-05-09 00:00:00+05:30,602.1,630.1,602.1,627.3,107176
2025-05-12 00:00:00+05:30,635.35,654.0,635.35,651.85,205384
2025-05-13 00:00:00+05:30,644.9,647.0,632.0,634.75,149716
2025-05-14 00:00:00+05:30,635.0,652.7,634.0,650.65,177577
2025-05-15 00:00:00+05:30,650.0,663.4,646.25,661.4,192233
2025-05-16 00:00:00+05:30,659.95,662.0,654.3,657.45,1353705
2025-05-19 00:00:00+05:30,659.65,661.95,652.0,658.0,81572
2025-05-20 00:00:00+05:30,666.0,671.05,655.55,662.7,227301
2025-05-21 00:00:00+05:30,664.95,671.5,655.0,662.85,217176
2025-05-22 00:00:00+05:30,663.75,663.75,642.55,649.55,109067
2025-05-23 00:00:00+05:30,654.75,655.4,642.55,650.25,573960
2025-05-26 00:00:00+05:30,655.0,669.85,653.8,661.35,240086
2025-05-27 00:00:00+05:30,662.95,665.05,656.65,659.45,77103
2025-05-28 00:00:00+05:30,655.05,662.4,648.35,650.2,87767
2025-05-29 00:00:00+05:30,650.2,653.35,645.0,650.0,81708
2025-05-30 00:00:00+05:30,649.85,651.0,632.15,633.35,163865
2025-06-02 00:00:00+05:30,630.95,635.15,617.9,631.4,83391
2025-06-03 00:00:00+05:30,631.8,640.75,630.0,631.75,85254
2025-06-04 00:00:00+05:30,633.0,640.6,630.6,636.0,43962
2025-06-05 00:00:00+05:30,636.75,641.3,633.45,637.3,66005
2025-06-06 00:00:00+05:30,636.05,651.2,635.1,649.85,175966
2025-06-09 00:00:00+05:30,655.4,655.4,649.35,650.65,43047
2025-06-10 00:00:00+05:30,654.0,663.2,652.3,657.65,77062
2025-06-11 00:00:00+05:30,659.9,662.75,653.9,655.05,43776
2025-06-12 00:00:00+05:30,657.95,661.5,648.3,651.0,59330
2025-06-13 00:00:00+05:30,642.35,647.9,636.8,641.55,194634
2025-06-16 00:00:00+05:30,641.55,650.5,636.1,649.7,37375
2025-06-17 00:00:00+05:30,649.6,650.45,638.0,641.3,350222
2025-06-18 00:00:00+05:30,641.25,648.8,638.25,645.2,172921
2025-06-19 00:00:00+05:30,640.5,645.0,635.35,641.45,128601
2025-06-20 00:00:00+05:30,641.45,654.35,638.25,649.05,79870
