date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,404.4,408.3,390.15,396.6,204464
2024-12-17 00:00:00+05:30,397.6,399.45,394.35,396.5,229503
2024-12-18 00:00:00+05:30,396.6,398.55,387.15,387.95,113882
2024-12-19 00:00:00+05:30,380.2,400.35,379.95,397.0,320898
2024-12-20 00:00:00+05:30,400.05,402.95,387.85,389.75,379517
2024-12-23 00:00:00+05:30,389.45,400.8,389.25,393.65,388064
2024-12-24 00:00:00+05:30,393.65,407.35,391.45,402.9,387592
2024-12-26 00:00:00+05:30,402.9,410.75,398.15,408.7,691719
2024-12-27 00:00:00+05:30,410.2,410.2,398.5,399.85,359165
2024-12-30 00:00:00+05:30,399.05,399.95,390.75,396.05,88538
2024-12-31 00:00:00+05:30,395.85,400.0,392.2,398.3,86984
2025-01-01 00:00:00+05:30,399.05,403.3,394.2,402.05,102969
2025-01-02 00:00:00+05:30,402.9,405.1,394.05,401.9,108161
2025-01-03 00:00:00+05:30,401.95,406.35,397.35,402.6,100742
2025-01-06 00:00:00+05:30,401.75,402.6,377.8,378.6,301522
2025-01-07 00:00:00+05:30,379.55,387.35,375.5,376.55,74509
2025-01-08 00:00:00+05:30,375.95,384.7,372.1,381.1,119918
2025-01-09 00:00:00+05:30,381.2,382.5,373.65,375.1,64704
2025-01-10 00:00:00+05:30,375.75,383.0,369.9,378.5,140948
2025-01-13 00:00:00+05:30,373.8,373.8,351.2,355.2,333495
2025-01-14 00:00:00+05:30,355.25,365.95,354.7,364.0,101386
2025-01-15 00:00:00+05:30,366.45,370.2,351.55,353.65,162759
2025-01-16 00:00:00+05:30,358.45,358.45,348.45,349.2,98565
2025-01-17 00:00:00+05:30,353.3,353.85,346.3,349.8,104306
2025-01-20 00:00:00+05:30,350.95,354.1,344.45,351.25,152590
2025-01-21 00:00:00+05:30,352.25,362.8,349.4,360.45,403136
2025-01-22 00:00:00+05:30,363.05,364.65,354.0,360.6,142691
2025-01-23 00:00:00+05:30,362.5,363.8,350.8,352.95,106875
2025-01-24 00:00:00+05:30,364.95,370.3,342.6,343.7,863771
2025-01-27 00:00:00+05:30,342.4,342.4,334.65,336.9,174603
2025-01-28 00:00:00+05:30,341.05,342.6,332.65,340.65,110370
2025-01-29 00:00:00+05:30,340.8,343.25,335.0,336.45,138263
2025-01-30 00:00:00+05:30,341.0,344.95,337.0,342.35,181325
2025-01-31 00:00:00+05:30,343.75,349.85,340.3,349.0,66591
2025-02-01 00:00:00+05:30,349.35,349.35,324.5,336.05,266483
2025-02-03 00:00:00+05:30,324.2,324.6,310.55,316.65,1024299
2025-02-04 00:00:00+05:30,319.65,326.0,319.05,325.35,179683
2025-02-05 00:00:00+05:30,332.5,340.6,331.15,334.1,256107
2025-02-06 00:00:00+05:30,340.55,340.55,332.1,334.45,96893
2025-02-07 00:00:00+05:30,335.6,337.65,330.95,333.75,150139
2025-02-10 00:00:00+05:30,334.7,334.85,326.45,329.45,88553
2025-02-11 00:00:00+05:30,326.6,328.8,319.8,321.7,34887
2025-02-12 00:00:00+05:30,320.75,321.8,310.2,316.9,97938
2025-02-13 00:00:00+05:30,319.65,325.05,311.25,311.85,318090
2025-02-14 00:00:00+05:30,313.9,314.9,296.7,304.5,334446
2025-02-17 00:00:00+05:30,303.3,312.3,295.35,310.2,185282
2025-02-18 00:00:00+05:30,310.25,312.45,304.35,311.7,102658
2025-02-19 00:00:00+05:30,313.6,317.7,308.9,316.15,66008
2025-02-20 00:00:00+05:30,315.2,323.7,313.1,323.2,85081
2025-02-21 00:00:00+05:30,324.6,324.6,313.85,314.7,84848
2025-02-24 00:00:00+05:30,312.35,316.85,309.75,311.15,74748
2025-02-25 00:00:00+05:30,313.1,313.1,301.3,301.85,123506
2025-02-27 00:00:00+05:30,305.7,305.7,294.8,299.2,523943
2025-02-28 00:00:00+05:30,297.65,297.65,285.1,286.65,278473
2025-03-03 00:00:00+05:30,287.1,291.2,280.2,290.25,252905
2025-03-04 00:00:00+05:30,289.35,308.45,282.8,307.3,299057
2025-03-05 00:00:00+05:30,305.95,325.95,305.95,318.1,372998
2025-03-06 00:00:00+05:30,324.6,333.55,323.4,330.4,554766
2025-03-07 00:00:00+05:30,332.3,332.3,321.65,323.8,139366
2025-03-10 00:00:00+05:30,327.0,335.15,316.1,317.3,283916
2025-03-11 00:00:00+05:30,313.5,325.35,313.5,321.55,232536
2025-03-12 00:00:00+05:30,324.15,334.2,317.7,318.95,511304
2025-03-13 00:00:00+05:30,318.95,319.85,314.8,315.65,52005
2025-03-17 00:00:00+05:30,316.8,321.95,315.45,317.15,116187
2025-03-18 00:00:00+05:30,318.1,320.1,311.6,314.9,1042974
2025-03-19 00:00:00+05:30,317.2,321.85,316.1,319.45,124847
2025-03-20 00:00:00+05:30,323.0,330.8,318.8,327.95,207623
2025-03-21 00:00:00+05:30,328.35,350.75,325.85,347.95,582162
2025-03-24 00:00:00+05:30,349.6,361.5,345.2,352.5,459010
2025-03-25 00:00:00+05:30,351.75,355.7,343.7,352.1,215393
2025-03-26 00:00:00+05:30,349.8,354.95,342.05,342.95,46500
2025-03-27 00:00:00+05:30,341.4,354.3,340.4,350.4,152499
2025-03-28 00:00:00+05:30,353.25,359.95,348.85,350.95,171196
2025-04-01 00:00:00+05:30,347.85,354.0,340.6,352.35,104365
2025-04-02 00:00:00+05:30,351.6,353.8,344.0,352.8,54910
2025-04-03 00:00:00+05:30,352.2,364.7,350.55,353.15,118798
2025-04-04 00:00:00+05:30,361.65,368.2,341.55,348.9,570695
2025-04-07 00:00:00+05:30,332.35,357.55,332.35,344.35,553660
2025-04-08 00:00:00+05:30,351.25,362.15,344.25,359.7,451787
2025-04-09 00:00:00+05:30,361.55,373.0,355.8,369.7,579307
2025-04-11 00:00:00+05:30,374.25,374.9,367.4,372.35,285998
2025-04-15 00:00:00+05:30,375.35,375.65,366.55,369.4,131788
2025-04-16 00:00:00+05:30,370.25,381.25,367.8,380.05,216706
2025-04-17 00:00:00+05:30,380.05,381.2,375.3,377.8,100415
2025-04-21 00:00:00+05:30,376.85,386.85,374.7,385.05,184698
2025-04-22 00:00:00+05:30,385.7,391.75,382.95,387.75,201660
2025-04-23 00:00:00+05:30,388.2,388.6,374.3,378.85,112276
2025-04-24 00:00:00+05:30,380.05,383.75,377.5,380.45,129652
2025-04-25 00:00:00+05:30,379.1,382.95,368.35,370.15,133267
2025-04-28 00:00:00+05:30,368.05,382.9,368.05,382.2,96230
2025-04-29 00:00:00+05:30,382.65,386.4,379.4,380.95,142267
