date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,8.0,8.05,7.96,7.99,26070571
2024-12-17 00:00:00+05:30,7.96,8.0,7.77,7.82,46122259
2024-12-18 00:00:00+05:30,7.81,7.88,7.7,7.8,65763908
2024-12-19 00:00:00+05:30,7.6,7.72,7.56,7.7,38633780
2024-12-20 00:00:00+05:30,7.69,7.76,7.35,7.4,44377900
2024-12-23 00:00:00+05:30,7.42,7.55,7.38,7.48,35658615
2024-12-24 00:00:00+05:30,7.43,7.6,7.35,7.47,38003713
2024-12-26 00:00:00+05:30,7.45,7.67,7.43,7.57,37935725
2024-12-27 00:00:00+05:30,7.55,7.62,7.43,7.47,28725439
2024-12-30 00:00:00+05:30,8.0,8.0,7.61,7.77,78706608
2024-12-31 00:00:00+05:30,7.76,8.08,7.62,7.94,82128593
2025-01-01 00:00:00+05:30,7.98,8.11,7.9,8.02,43495805
2025-01-02 00:00:00+05:30,8.06,8.18,7.91,8.13,52077013
2025-01-03 00:00:00+05:30,8.16,8.4,8.12,8.27,37910491
2025-01-06 00:00:00+05:30,8.29,8.33,7.83,7.88,49096173
2025-01-07 00:00:00+05:30,7.85,8.14,7.85,8.07,43209899
2025-01-08 00:00:00+05:30,8.07,8.1,7.87,7.99,31131271
2025-01-09 00:00:00+05:30,7.99,8.21,7.9,7.93,41895597
2025-01-10 00:00:00+05:30,7.93,7.95,7.66,7.75,42067941
2025-01-13 00:00:00+05:30,7.7,8.08,7.61,7.74,62904847
2025-01-14 00:00:00+05:30,7.78,8.3,7.77,8.26,74179629
2025-01-15 00:00:00+05:30,8.27,9.24,8.27,8.76,174439008
2025-01-16 00:00:00+05:30,8.94,9.06,8.72,8.93,66093026
2025-01-17 00:00:00+05:30,8.9,9.25,8.82,9.12,64303796
2025-01-20 00:00:00+05:30,10.03,10.48,9.78,9.95,188579011
2025-01-21 00:00:00+05:30,9.94,9.94,9.32,9.36,90807513
2025-01-22 00:00:00+05:30,9.35,9.56,9.12,9.51,48673707
2025-01-23 00:00:00+05:30,9.52,9.87,9.33,9.51,35572857
2025-01-24 00:00:00+05:30,9.52,9.67,9.4,9.47,28334154
2025-01-27 00:00:00+05:30,9.31,9.34,8.8,8.9,44377585
2025-01-28 00:00:00+05:30,8.97,9.15,8.78,9.01,35477505
2025-01-29 00:00:00+05:30,9.01,9.06,8.9,8.94,21569733
2025-01-30 00:00:00+05:30,8.86,9.05,8.86,9.0,32048632
2025-01-31 00:00:00+05:30,9.05,9.1,8.88,9.04,28783749
2025-02-01 00:00:00+05:30,9.05,9.94,8.68,9.61,43041406
2025-02-03 00:00:00+05:30,9.17,9.4,9.01,9.08,37134015
2025-02-04 00:00:00+05:30,9.26,9.6,9.09,9.4,43637568
2025-02-05 00:00:00+05:30,9.4,9.71,9.39,9.55,37596267
2025-02-06 00:00:00+05:30,9.63,9.65,9.24,9.28,28977516
2025-02-07 00:00:00+05:30,9.28,9.78,9.26,9.47,61048241
2025-02-10 00:00:00+05:30,9.53,9.55,9.07,9.12,28487876
2025-02-11 00:00:00+05:30,9.1,9.15,8.73,8.82,32307632
2025-02-12 00:00:00+05:30,8.82,8.82,8.1,8.41,67528712
2025-02-13 00:00:00+05:30,8.1,8.99,8.05,8.65,75793154
2025-02-14 00:00:00+05:30,8.75,8.78,8.1,8.21,50736618
2025-02-17 00:00:00+05:30,8.2,8.39,7.98,8.27,44071594
2025-02-18 00:00:00+05:30,8.28,8.35,7.92,8.07,34584307
2025-02-19 00:00:00+05:30,8.05,8.39,7.94,8.3,28260978
2025-02-20 00:00:00+05:30,8.27,8.4,8.18,8.27,25055808
2025-02-21 00:00:00+05:30,8.27,8.34,8.01,8.05,30377740
2025-02-24 00:00:00+05:30,7.99,8.04,7.84,7.92,36588186
2025-02-25 00:00:00+05:30,7.9,8.04,7.88,7.91,24896498
2025-02-27 00:00:00+05:30,7.99,8.04,7.75,7.8,32837049
2025-02-28 00:00:00+05:30,7.75,7.77,7.49,7.56,43234369
2025-03-03 00:00:00+05:30,7.58,7.7,7.16,7.46,43806096
2025-03-04 00:00:00+05:30,7.35,7.64,7.31,7.43,35762243
2025-03-05 00:00:00+05:30,7.45,7.92,7.43,7.87,41571986
2025-03-06 00:00:00+05:30,8.0,8.04,7.7,7.73,33817690
2025-03-07 00:00:00+05:30,7.73,7.79,7.52,7.55,36618833
2025-03-10 00:00:00+05:30,7.57,7.64,7.22,7.26,139193152
2025-03-11 00:00:00+05:30,7.14,7.4,7.1,7.34,47198959
2025-03-12 00:00:00+05:30,7.34,7.37,6.87,7.08,55552910
2025-03-13 00:00:00+05:30,7.09,7.18,6.94,6.96,32087729
2025-03-17 00:00:00+05:30,6.99,7.08,6.92,6.95,43575671
2025-03-18 00:00:00+05:30,6.95,7.16,6.95,7.1,39021355
2025-03-19 00:00:00+05:30,7.24,7.72,7.23,7.45,128421957
2025-03-20 00:00:00+05:30,7.52,7.59,7.17,7.26,56849105
2025-03-21 00:00:00+05:30,7.28,7.67,7.24,7.62,103031030
2025-03-24 00:00:00+05:30,7.71,7.74,7.29,7.34,63718866
2025-03-25 00:00:00+05:30,7.39,7.4,7.05,7.16,60010084
2025-03-26 00:00:00+05:30,7.18,7.22,6.98,7.04,102363129
2025-03-27 00:00:00+05:30,7.0,7.06,6.87,6.93,105582149
2025-03-28 00:00:00+05:30,6.99,7.13,6.77,6.81,117225274
2025-04-01 00:00:00+05:30,7.49,8.57,7.49,8.1,352105814
2025-04-02 00:00:00+05:30,8.31,8.33,7.93,8.23,120450353
2025-04-03 00:00:00+05:30,8.11,8.34,8.06,8.19,57919628
2025-04-04 00:00:00+05:30,8.17,8.17,7.85,7.91,63014572
2025-04-07 00:00:00+05:30,7.12,7.48,7.12,7.37,114512526
2025-04-08 00:00:00+05:30,7.53,7.6,7.14,7.18,62825560
2025-04-09 00:00:00+05:30,7.26,7.26,7.02,7.1,54278184
2025-04-11 00:00:00+05:30,7.25,7.3,7.03,7.18,52653381
2025-04-15 00:00:00+05:30,7.28,7.43,7.22,7.33,49428711
2025-04-16 00:00:00+05:30,7.34,7.42,7.23,7.27,41759902
2025-04-17 00:00:00+05:30,7.26,7.34,7.18,7.32,51391136
2025-04-21 00:00:00+05:30,7.33,8.18,7.3,8.07,148356970
2025-04-22 00:00:00+05:30,8.08,8.11,7.95,7.98,72031315
2025-04-23 00:00:00+05:30,7.99,8.05,7.67,8.02,81781487
2025-04-24 00:00:00+05:30,7.94,8.08,7.9,7.94,53169786
2025-04-25 00:00:00+05:30,7.96,8.2,7.44,7.47,126290874
2025-04-28 00:00:00+05:30,7.5,7.58,7.4,7.46,45752940
2025-04-29 00:00:00+05:30,7.52,7.53,7.22,7.25,44504000
2025-04-30 00:00:00+05:30,7.25,7.29,7.1,7.12,41033841
2025-05-02 00:00:00+05:30,7.12,7.24,7.03,7.06,43068603
