date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,63.93,65.21,63.41,63.81,1199014
2024-12-17 00:00:00+05:30,63.74,64.08,62.43,62.69,697242
2024-12-18 00:00:00+05:30,62.16,62.8,60.85,61.05,796854
2024-12-19 00:00:00+05:30,58.77,64.72,58.77,63.9,2466741
2024-12-20 00:00:00+05:30,64.28,64.3,60.8,60.99,489359
2024-12-23 00:00:00+05:30,62.68,62.98,59.87,61.37,985558
2024-12-24 00:00:00+05:30,61.93,61.93,60.7,60.92,257856
2024-12-26 00:00:00+05:30,61.01,61.4,59.95,60.26,266562
2024-12-27 00:00:00+05:30,60.39,61.55,60.0,60.47,498830
2024-12-30 00:00:00+05:30,60.2,60.89,58.9,59.14,951349
2024-12-31 00:00:00+05:30,59.15,63.4,59.08,62.23,1887246
2025-01-01 00:00:00+05:30,62.19,62.82,61.4,62.04,412589
2025-01-02 00:00:00+05:30,62.1,62.87,61.65,62.0,658167
2025-01-03 00:00:00+05:30,62.17,62.83,61.26,61.4,352536
2025-01-06 00:00:00+05:30,62.09,62.24,57.52,57.81,1582069
2025-01-07 00:00:00+05:30,57.81,60.39,57.81,59.37,861628
2025-01-08 00:00:00+05:30,59.09,59.7,57.76,59.04,456571
2025-01-09 00:00:00+05:30,58.77,59.01,57.03,57.61,514126
2025-01-10 00:00:00+05:30,57.49,57.9,54.11,54.29,1688686
2025-01-13 00:00:00+05:30,54.16,55.24,51.21,51.43,1580660
2025-01-14 00:00:00+05:30,51.8,55.25,51.8,54.74,1959881
2025-01-15 00:00:00+05:30,54.76,55.5,52.65,52.79,627631
2025-01-16 00:00:00+05:30,53.58,55.25,53.46,54.04,893141
2025-01-17 00:00:00+05:30,54.54,57.48,53.55,55.93,777557
2025-01-20 00:00:00+05:30,56.55,58.78,55.7,57.94,749726
2025-01-21 00:00:00+05:30,58.09,59.34,56.54,57.11,693465
2025-01-22 00:00:00+05:30,57.03,57.14,54.34,55.9,814624
2025-01-23 00:00:00+05:30,55.7,56.85,55.15,55.46,616032
2025-01-24 00:00:00+05:30,55.5,55.87,53.3,53.92,389973
2025-01-27 00:00:00+05:30,53.76,53.76,51.53,51.85,279667
2025-01-28 00:00:00+05:30,52.87,53.45,50.2,52.04,1254587
2025-01-29 00:00:00+05:30,52.47,54.55,52.46,54.16,856660
2025-01-30 00:00:00+05:30,54.87,55.61,54.0,54.2,863317
2025-01-31 00:00:00+05:30,54.86,56.5,53.85,56.25,588488
2025-02-01 00:00:00+05:30,56.79,57.79,53.79,54.04,1643477
2025-02-03 00:00:00+05:30,53.32,54.08,51.63,51.88,441690
2025-02-04 00:00:00+05:30,52.04,53.37,51.88,52.88,392924
2025-02-05 00:00:00+05:30,53.75,55.1,53.47,53.76,863990
2025-02-06 00:00:00+05:30,54.05,54.25,52.91,53.67,389718
2025-02-07 00:00:00+05:30,54.56,54.56,52.45,52.86,299866
2025-02-10 00:00:00+05:30,52.01,52.92,51.45,51.74,358506
2025-02-11 00:00:00+05:30,51.62,51.82,48.1,48.37,1480983
2025-02-12 00:00:00+05:30,48.6,49.45,45.68,48.98,1428993
2025-02-13 00:00:00+05:30,47.99,49.9,47.2,47.86,877293
2025-02-14 00:00:00+05:30,48.01,48.4,44.0,44.64,829154
2025-02-17 00:00:00+05:30,44.02,45.59,42.54,44.73,1244589
2025-02-18 00:00:00+05:30,45.08,45.2,41.75,43.04,1417486
2025-02-19 00:00:00+05:30,43.07,46.17,42.18,45.23,758379
2025-02-20 00:00:00+05:30,45.51,47.2,44.79,47.01,1044076
2025-02-21 00:00:00+05:30,46.97,48.95,45.79,46.53,1384514
2025-02-24 00:00:00+05:30,45.8,46.19,44.3,45.45,927373
2025-02-25 00:00:00+05:30,45.51,46.5,44.67,44.89,387058
2025-02-27 00:00:00+05:30,45.42,45.42,42.37,42.61,853206
2025-02-28 00:00:00+05:30,42.41,43.19,40.62,41.11,1259569
2025-03-03 00:00:00+05:30,41.47,42.52,38.79,40.67,1954752
2025-03-04 00:00:00+05:30,39.91,42.11,39.46,41.47,707508
2025-03-05 00:00:00+05:30,41.5,43.33,41.46,43.06,1084968
2025-03-06 00:00:00+05:30,43.85,44.73,43.24,43.55,605266
2025-03-07 00:00:00+05:30,43.51,45.26,43.4,44.42,596624
2025-03-10 00:00:00+05:30,44.43,45.0,42.2,42.51,490896
2025-03-11 00:00:00+05:30,42.0,42.39,41.01,42.14,911313
2025-03-12 00:00:00+05:30,42.73,42.73,40.79,41.16,467279
2025-03-13 00:00:00+05:30,41.27,42.17,40.52,40.73,887510
2025-03-17 00:00:00+05:30,40.79,41.31,40.0,40.2,830140
2025-03-18 00:00:00+05:30,40.2,41.7,40.2,41.59,914416
