date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,342.5,343.4,338.0,338.95,18543
2024-12-17 00:00:00+05:30,338.05,339.0,331.75,333.2,51440
2024-12-18 00:00:00+05:30,331.0,342.6,331.0,339.6,52120
2024-12-19 00:00:00+05:30,339.7,343.4,333.4,340.45,139139
2024-12-20 00:00:00+05:30,336.55,341.35,331.2,339.0,50770
2024-12-23 00:00:00+05:30,362.0,376.3,362.0,366.15,761769
2024-12-24 00:00:00+05:30,365.0,373.9,359.95,372.55,286187
2024-12-26 00:00:00+05:30,373.2,379.3,369.75,373.8,699514
2024-12-27 00:00:00+05:30,374.0,378.0,371.85,372.4,45924
2024-12-30 00:00:00+05:30,372.45,381.8,371.8,380.2,278946
2024-12-31 00:00:00+05:30,378.75,379.55,375.0,376.65,28244
2025-01-01 00:00:00+05:30,379.7,382.25,375.8,377.3,54300
2025-01-02 00:00:00+05:30,380.95,380.95,376.05,377.35,73233
2025-01-03 00:00:00+05:30,376.75,381.0,375.3,377.95,64006
2025-01-06 00:00:00+05:30,378.2,380.9,375.05,375.65,121391
2025-01-07 00:00:00+05:30,373.55,377.95,373.55,377.5,40723
2025-01-08 00:00:00+05:30,376.75,377.9,376.6,377.1,17005
2025-01-09 00:00:00+05:30,375.25,378.25,375.25,376.75,9331
2025-01-10 00:00:00+05:30,374.75,377.7,374.75,376.9,36760
2025-01-13 00:00:00+05:30,376.05,378.65,376.05,376.6,73694
2025-01-14 00:00:00+05:30,376.3,378.5,376.3,377.35,13480
2025-01-15 00:00:00+05:30,378.95,378.95,377.0,377.55,17834
2025-01-16 00:00:00+05:30,377.95,380.2,377.55,378.05,34227
2025-01-17 00:00:00+05:30,378.05,380.85,377.65,379.05,10467
2025-01-20 00:00:00+05:30,379.15,380.5,366.0,379.45,34605
2025-01-21 00:00:00+05:30,376.0,377.95,346.85,348.3,96329
2025-01-22 00:00:00+05:30,345.55,346.0,303.45,319.2,585960
2025-01-23 00:00:00+05:30,312.85,321.05,309.6,311.65,119526
2025-01-24 00:00:00+05:30,312.0,315.2,292.65,295.45,107787
2025-01-27 00:00:00+05:30,290.1,294.3,273.0,276.5,139495
2025-01-28 00:00:00+05:30,276.0,280.15,259.05,267.75,48731
2025-01-29 00:00:00+05:30,269.0,285.75,269.0,278.4,50715
2025-01-30 00:00:00+05:30,284.0,284.0,267.4,268.5,20787
2025-01-31 00:00:00+05:30,267.4,271.75,261.2,264.3,34387
2025-02-01 00:00:00+05:30,265.95,278.3,263.05,272.0,89676
