date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,839.15,845.95,829.0,836.55,14485
2024-12-17 00:00:00+05:30,848.95,856.7,830.8,835.8,12266
2024-12-18 00:00:00+05:30,831.0,844.8,831.0,837.2,7570
2024-12-19 00:00:00+05:30,818.7,839.95,818.6,835.2,7830
2024-12-20 00:00:00+05:30,835.05,848.0,815.25,819.65,8296
2024-12-23 00:00:00+05:30,861.35,983.55,833.05,962.55,627520
2024-12-24 00:00:00+05:30,951.0,951.0,900.8,915.25,229640
2024-12-26 00:00:00+05:30,923.95,1078.8,916.05,1051.5,665764
2024-12-27 00:00:00+05:30,1018.0,1036.8,986.75,1022.15,192107
2024-12-30 00:00:00+05:30,999.9,1027.55,952.15,963.2,106525
2024-12-31 00:00:00+05:30,965.0,975.85,932.8,956.6,38848
2025-01-01 00:00:00+05:30,956.0,1023.9,954.0,969.2,131014
2025-01-02 00:00:00+05:30,978.95,981.95,943.35,955.6,29153
2025-01-03 00:00:00+05:30,956.35,1006.45,956.35,973.5,35097
2025-01-06 00:00:00+05:30,973.5,980.35,895.0,902.05,49581
2025-01-07 00:00:00+05:30,919.6,1013.0,919.5,977.45,475514
2025-01-08 00:00:00+05:30,971.85,973.4,918.25,924.95,63207
2025-01-09 00:00:00+05:30,928.5,934.95,897.6,906.25,30475
2025-01-10 00:00:00+05:30,910.0,928.35,891.75,909.55,45314
2025-01-13 00:00:00+05:30,891.2,929.55,885.2,895.05,56792
2025-01-14 00:00:00+05:30,894.05,913.75,894.05,901.7,17652
2025-01-15 00:00:00+05:30,909.7,925.65,895.05,903.8,23371
2025-01-16 00:00:00+05:30,905.2,923.8,900.4,904.05,16481
2025-01-17 00:00:00+05:30,908.5,908.5,882.95,896.2,27133
2025-01-20 00:00:00+05:30,899.95,925.0,889.8,919.3,25275
2025-01-21 00:00:00+05:30,919.0,942.0,899.0,902.05,29290
2025-01-22 00:00:00+05:30,899.0,908.35,869.25,886.1,28241
2025-01-23 00:00:00+05:30,886.25,928.4,886.25,898.75,30512
2025-01-24 00:00:00+05:30,909.95,915.0,887.1,891.3,9647
2025-01-27 00:00:00+05:30,878.9,896.5,845.9,861.35,30956
2025-01-28 00:00:00+05:30,850.0,863.2,825.35,857.25,13504
2025-01-29 00:00:00+05:30,854.95,871.2,814.55,824.15,115607
2025-01-30 00:00:00+05:30,829.95,834.5,768.0,776.2,53392
2025-01-31 00:00:00+05:30,789.2,824.55,776.2,811.1,44830
2025-02-01 00:00:00+05:30,800.15,832.25,794.75,823.2,16894
2025-02-03 00:00:00+05:30,807.25,817.05,790.0,793.45,16854
2025-02-04 00:00:00+05:30,799.25,816.7,797.7,814.15,12316
2025-02-05 00:00:00+05:30,814.85,863.15,814.85,823.1,40999
2025-02-06 00:00:00+05:30,825.05,833.1,808.0,814.55,9199
2025-02-07 00:00:00+05:30,816.4,819.45,807.25,811.15,8720
2025-02-10 00:00:00+05:30,809.6,809.6,786.2,790.65,5254
2025-02-11 00:00:00+05:30,780.05,791.95,748.75,752.0,64252
2025-02-12 00:00:00+05:30,750.1,750.1,716.1,739.2,23926
2025-02-13 00:00:00+05:30,738.05,752.25,731.25,734.5,15446
2025-02-14 00:00:00+05:30,734.55,741.4,694.05,704.15,19131
2025-02-17 00:00:00+05:30,704.5,708.2,679.4,701.45,18003
2025-02-18 00:00:00+05:30,700.0,707.1,675.3,694.15,19295
2025-02-19 00:00:00+05:30,699.95,717.9,682.3,712.4,15775
2025-02-20 00:00:00+05:30,712.45,730.4,700.75,719.95,12793
2025-02-21 00:00:00+05:30,728.85,735.2,709.0,725.6,18803
2025-02-24 00:00:00+05:30,763.6,763.6,704.5,727.35,19584
2025-02-25 00:00:00+05:30,734.8,734.8,704.1,710.4,6407
2025-02-27 00:00:00+05:30,712.05,722.25,694.55,702.45,6649
2025-02-28 00:00:00+05:30,701.45,710.35,655.5,665.55,39478
2025-03-03 00:00:00+05:30,677.65,677.65,633.35,648.0,15959
2025-03-04 00:00:00+05:30,654.95,654.95,632.55,647.1,37702
2025-03-05 00:00:00+05:30,635.5,680.0,635.5,660.0,27375
2025-03-06 00:00:00+05:30,660.05,688.45,660.05,679.4,30110
2025-03-07 00:00:00+05:30,682.25,683.25,666.9,669.9,7647
2025-03-10 00:00:00+05:30,672.95,681.75,650.0,655.85,23870
2025-03-11 00:00:00+05:30,654.85,685.0,637.25,668.15,59178
2025-03-12 00:00:00+05:30,668.15,672.5,650.25,656.55,24146
2025-03-13 00:00:00+05:30,660.2,671.7,641.05,645.75,30569
2025-03-17 00:00:00+05:30,656.9,656.9,634.65,641.0,17478
2025-03-18 00:00:00+05:30,659.8,659.8,641.65,655.55,10945
2025-03-19 00:00:00+05:30,655.15,696.75,655.15,681.4,41962
2025-03-20 00:00:00+05:30,682.0,705.9,682.0,688.3,24825
2025-03-21 00:00:00+05:30,675.45,711.6,675.45,709.85,23711
2025-03-24 00:00:00+05:30,710.0,735.9,710.0,725.15,28275
2025-03-25 00:00:00+05:30,731.95,738.95,720.0,726.8,20408
2025-03-26 00:00:00+05:30,720.75,737.45,716.9,723.0,12520
2025-03-27 00:00:00+05:30,719.95,735.9,706.35,725.2,18140
2025-03-28 00:00:00+05:30,709.3,729.7,688.55,692.65,16741
2025-04-01 00:00:00+05:30,692.7,698.45,679.05,682.4,7634
2025-04-02 00:00:00+05:30,684.25,686.65,672.9,682.25,6009
2025-04-03 00:00:00+05:30,677.0,699.95,677.0,686.2,13493
2025-04-04 00:00:00+05:30,686.2,687.95,665.55,677.1,21059
2025-04-07 00:00:00+05:30,555.05,632.95,555.05,625.15,42585
2025-04-08 00:00:00+05:30,638.6,655.8,628.85,635.55,30774
2025-04-09 00:00:00+05:30,625.05,632.95,608.45,610.4,17208
2025-04-11 00:00:00+05:30,657.9,664.0,626.35,660.5,36679
2025-04-15 00:00:00+05:30,676.65,763.55,676.65,752.05,86541
2025-04-16 00:00:00+05:30,744.9,770.05,736.3,749.95,43127
2025-04-17 00:00:00+05:30,742.6,761.45,733.2,760.1,19718
2025-04-21 00:00:00+05:30,765.0,793.45,764.0,781.45,63472
2025-04-22 00:00:00+05:30,783.05,801.15,762.85,765.9,35833
2025-04-23 00:00:00+05:30,777.5,805.0,772.2,803.1,39579
2025-04-24 00:00:00+05:30,804.95,826.4,804.95,809.5,15630
2025-04-25 00:00:00+05:30,805.55,806.9,762.0,765.0,46883
2025-04-28 00:00:00+05:30,767.65,778.0,757.6,762.55,16011
2025-04-29 00:00:00+05:30,747.3,800.15,747.3,790.6,23328
2025-04-30 00:00:00+05:30,790.05,814.0,776.55,789.3,35744
2025-05-02 00:00:00+05:30,799.9,805.55,785.15,791.4,9690
2025-05-05 00:00:00+05:30,793.05,840.0,793.05,815.4,49623
2025-05-06 00:00:00+05:30,810.05,821.6,779.3,783.0,17412
2025-05-07 00:00:00+05:30,779.8,827.45,777.95,813.55,51220
2025-05-08 00:00:00+05:30,815.15,885.0,815.15,844.35,89312
2025-05-09 00:00:00+05:30,820.75,888.3,820.75,841.3,200465
2025-05-12 00:00:00+05:30,868.65,948.0,856.35,895.75,125593
2025-05-13 00:00:00+05:30,893.0,918.7,887.95,913.4,26132
2025-05-14 00:00:00+05:30,906.6,988.0,906.6,974.35,123186
2025-05-15 00:00:00+05:30,984.75,1032.15,980.7,1025.2,63221
2025-05-16 00:00:00+05:30,1025.5,1079.0,1022.1,1074.6,38563
2025-05-19 00:00:00+05:30,1079.45,1109.0,1045.65,1061.75,84017
