date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,55.89,56.78,55.76,56.05,633823
2024-12-17 00:00:00+05:30,56.0,56.05,55.01,55.15,906651
2024-12-18 00:00:00+05:30,55.15,55.16,53.71,53.84,799774
2024-12-19 00:00:00+05:30,52.58,53.6,52.0,53.22,273322
2024-12-20 00:00:00+05:30,53.22,53.68,52.09,52.44,527057
2024-12-23 00:00:00+05:30,52.75,53.05,51.53,51.64,560836
2024-12-24 00:00:00+05:30,51.69,52.1,51.34,51.73,436320
2024-12-26 00:00:00+05:30,52.48,52.82,51.37,51.47,466924
2024-12-27 00:00:00+05:30,51.41,51.95,51.03,51.32,285351
2024-12-30 00:00:00+05:30,51.35,51.6,50.1,50.56,252476
2024-12-31 00:00:00+05:30,50.4,51.91,50.4,51.72,190273
2025-01-01 00:00:00+05:30,51.65,52.15,51.21,51.91,149554
2025-01-02 00:00:00+05:30,51.99,52.55,51.35,52.12,342855
2025-01-03 00:00:00+05:30,52.21,54.41,52.21,53.17,579834
2025-01-06 00:00:00+05:30,53.21,53.41,50.47,50.65,895630
2025-01-07 00:00:00+05:30,51.01,51.62,50.41,51.09,290811
2025-01-08 00:00:00+05:30,50.99,51.0,50.3,50.78,201007
2025-01-09 00:00:00+05:30,50.43,50.75,49.71,50.09,539268
2025-01-10 00:00:00+05:30,50.06,50.23,47.86,48.08,769881
2025-01-13 00:00:00+05:30,47.86,47.86,45.11,45.38,409507
2025-01-14 00:00:00+05:30,45.41,54.45,45.41,54.11,1400837
2025-01-15 00:00:00+05:30,52.59,52.59,49.23,49.92,1784304
2025-01-16 00:00:00+05:30,50.5,51.81,50.2,50.33,1172716
2025-01-17 00:00:00+05:30,50.38,50.91,49.8,50.63,234031
2025-01-20 00:00:00+05:30,50.95,53.66,50.7,52.61,742586
2025-01-21 00:00:00+05:30,52.14,52.28,50.77,51.14,743550
2025-01-22 00:00:00+05:30,51.01,51.29,49.36,50.25,302757
2025-01-23 00:00:00+05:30,50.1,51.0,49.75,50.64,236466
2025-01-24 00:00:00+05:30,50.74,50.81,48.82,49.02,497129
2025-01-27 00:00:00+05:30,49.02,51.35,47.42,50.01,608505
2025-01-28 00:00:00+05:30,50.02,51.28,49.0,49.51,958790
2025-01-29 00:00:00+05:30,49.57,50.38,49.46,50.09,569822
2025-01-30 00:00:00+05:30,50.0,50.8,49.79,50.13,181737
2025-01-31 00:00:00+05:30,50.09,51.6,49.49,50.96,486753
2025-02-01 00:00:00+05:30,51.47,52.12,50.04,50.3,283674
