date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,59.22,59.25,58.2,58.31,511799
2024-12-17 00:00:00+05:30,58.39,59.18,57.85,58.06,555442
2024-12-18 00:00:00+05:30,57.99,58.09,56.82,57.18,1533896
2024-12-19 00:00:00+05:30,55.21,56.98,55.21,56.38,1583586
2024-12-20 00:00:00+05:30,56.38,57.19,54.8,55.22,2120351
2024-12-23 00:00:00+05:30,55.48,56.0,54.49,55.11,1019810
2024-12-24 00:00:00+05:30,55.25,55.58,54.48,54.58,393769
2024-12-26 00:00:00+05:30,54.59,56.23,54.4,55.91,799953
2024-12-27 00:00:00+05:30,55.9,56.15,55.06,55.24,983141
2024-12-30 00:00:00+05:30,55.65,56.7,55.36,55.63,1178577
2024-12-31 00:00:00+05:30,55.5,57.57,55.21,57.22,1212283
2025-01-01 00:00:00+05:30,57.75,59.75,57.25,59.56,1390106
2025-01-02 00:00:00+05:30,60.0,60.45,58.6,60.07,2017400
2025-01-03 00:00:00+05:30,59.95,60.94,59.51,60.27,1104306
2025-01-06 00:00:00+05:30,60.03,60.21,56.55,57.27,927766
2025-01-07 00:00:00+05:30,57.03,59.07,57.03,58.35,1218577
2025-01-08 00:00:00+05:30,58.3,58.49,56.45,57.31,865998
2025-01-09 00:00:00+05:30,57.14,57.27,55.35,55.52,1132328
2025-01-10 00:00:00+05:30,56.0,56.4,52.79,52.91,2144659
2025-01-13 00:00:00+05:30,51.62,52.73,49.5,49.83,2682317
2025-01-14 00:00:00+05:30,49.12,51.87,49.12,51.32,1336385
2025-01-15 00:00:00+05:30,52.19,52.4,50.76,51.12,1009243
2025-01-16 00:00:00+05:30,51.88,53.06,51.65,52.54,571079
2025-01-17 00:00:00+05:30,52.88,55.29,52.36,54.88,1756814
2025-01-20 00:00:00+05:30,55.21,55.29,54.09,54.88,414987
2025-01-21 00:00:00+05:30,55.3,55.3,53.0,53.1,603776
2025-01-22 00:00:00+05:30,53.31,53.4,50.91,52.34,1402997
2025-01-23 00:00:00+05:30,52.0,53.85,52.0,52.94,814787
