date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,322.25,325.35,316.0,317.05,57016
2024-12-17 00:00:00+05:30,316.75,319.15,306.7,309.15,26580
2024-12-18 00:00:00+05:30,311.0,333.05,302.35,304.85,204255
2024-12-19 00:00:00+05:30,300.25,315.55,300.0,313.65,103345
2024-12-20 00:00:00+05:30,313.9,314.15,297.85,300.4,92146
2024-12-23 00:00:00+05:30,302.0,307.45,300.0,301.95,56166
2024-12-24 00:00:00+05:30,306.5,306.5,300.8,302.95,32886
2024-12-26 00:00:00+05:30,302.95,305.05,295.65,296.8,20971
2024-12-27 00:00:00+05:30,298.95,303.4,296.7,299.55,36093
2024-12-30 00:00:00+05:30,296.3,301.6,288.0,288.7,86409
2024-12-31 00:00:00+05:30,288.7,293.45,287.45,291.25,71323
2025-01-01 00:00:00+05:30,288.05,288.05,279.55,281.1,109661
2025-01-02 00:00:00+05:30,287.1,287.8,278.65,284.2,89592
2025-01-03 00:00:00+05:30,285.0,287.45,283.7,284.6,39062
2025-01-06 00:00:00+05:30,286.0,288.35,265.0,268.8,143647
2025-01-07 00:00:00+05:30,267.1,275.0,267.1,271.85,78947
2025-01-08 00:00:00+05:30,274.95,275.0,266.95,268.25,89317
2025-01-09 00:00:00+05:30,268.0,269.9,257.85,258.55,61826
2025-01-10 00:00:00+05:30,259.0,262.0,248.1,256.25,50402
2025-01-13 00:00:00+05:30,250.35,253.85,238.3,240.75,143210
2025-01-14 00:00:00+05:30,245.6,248.7,242.55,245.05,78423
2025-01-15 00:00:00+05:30,247.3,261.75,247.3,251.5,113861
2025-01-16 00:00:00+05:30,254.85,262.5,253.4,258.15,80582
2025-01-17 00:00:00+05:30,259.05,260.6,255.0,258.2,47897
2025-01-20 00:00:00+05:30,262.55,265.25,257.25,263.3,65690
2025-01-21 00:00:00+05:30,265.0,266.65,256.3,257.9,31764
2025-01-22 00:00:00+05:30,257.65,259.5,248.2,252.8,84665
2025-01-23 00:00:00+05:30,252.65,257.15,248.7,255.1,36555
2025-01-24 00:00:00+05:30,255.15,259.55,244.6,245.8,88452
2025-01-27 00:00:00+05:30,241.45,242.95,228.7,230.2,84572
2025-01-28 00:00:00+05:30,234.0,234.0,217.65,225.95,139894
2025-01-29 00:00:00+05:30,225.6,248.65,225.6,246.75,99990
2025-01-30 00:00:00+05:30,248.25,255.4,240.95,243.7,52627
2025-01-31 00:00:00+05:30,243.3,252.45,241.3,250.1,76352
2025-02-01 00:00:00+05:30,250.85,250.85,239.85,241.6,82876
2025-02-03 00:00:00+05:30,236.0,241.1,229.25,233.85,174317
2025-02-04 00:00:00+05:30,236.15,255.7,236.15,254.55,217114
2025-02-05 00:00:00+05:30,256.9,265.3,254.45,258.8,83873
2025-02-06 00:00:00+05:30,259.95,268.1,258.4,267.45,108355
2025-02-07 00:00:00+05:30,268.95,269.75,252.55,254.5,94652
2025-02-10 00:00:00+05:30,246.95,251.95,242.4,245.7,100277
2025-02-11 00:00:00+05:30,240.3,246.0,236.45,238.55,53262
2025-02-12 00:00:00+05:30,239.0,239.05,227.3,235.45,80048
2025-02-13 00:00:00+05:30,238.0,248.55,237.95,245.2,114360
2025-02-14 00:00:00+05:30,245.45,245.65,229.2,232.3,71363
2025-02-17 00:00:00+05:30,232.0,235.1,225.0,234.25,66309
2025-02-18 00:00:00+05:30,238.0,238.9,227.9,232.95,49599
2025-02-19 00:00:00+05:30,233.05,243.5,229.8,242.4,65182
2025-02-20 00:00:00+05:30,241.75,253.4,240.05,251.25,122786
2025-02-21 00:00:00+05:30,249.35,260.6,249.35,256.5,36962
2025-02-24 00:00:00+05:30,253.0,256.3,246.05,247.15,45683
2025-02-25 00:00:00+05:30,249.95,254.1,239.25,240.7,81573
2025-02-27 00:00:00+05:30,239.65,246.2,237.45,239.6,52173
2025-02-28 00:00:00+05:30,238.9,250.3,236.65,246.2,91679
2025-03-03 00:00:00+05:30,249.6,252.5,231.6,234.25,56309
2025-03-04 00:00:00+05:30,232.95,240.25,230.65,234.4,79930
