date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,998.0,999.0,968.8,976.25,61452
2024-12-17 00:00:00+05:30,975.85,981.0,947.65,951.8,52760
2024-12-18 00:00:00+05:30,953.05,961.3,926.85,931.5,33819
2024-12-19 00:00:00+05:30,913.7,924.5,909.2,922.0,29769
2024-12-20 00:00:00+05:30,913.4,934.8,904.0,908.1,20846
2024-12-23 00:00:00+05:30,925.95,947.2,900.0,940.25,79095
2024-12-24 00:00:00+05:30,949.6,949.6,930.15,943.35,19863
2024-12-26 00:00:00+05:30,935.25,943.8,924.9,940.85,35235
2024-12-27 00:00:00+05:30,935.4,949.5,921.9,923.55,19453
2024-12-30 00:00:00+05:30,917.6,925.0,909.0,919.65,41719
2024-12-31 00:00:00+05:30,919.85,934.5,915.3,930.65,42574
2025-01-01 00:00:00+05:30,927.95,939.05,919.0,937.7,19687
2025-01-02 00:00:00+05:30,937.7,946.5,930.5,941.6,14173
2025-01-03 00:00:00+05:30,939.8,962.2,939.7,958.15,48546
2025-01-06 00:00:00+05:30,958.35,958.35,926.25,938.85,52390
2025-01-07 00:00:00+05:30,932.35,955.0,932.35,941.45,22105
2025-01-08 00:00:00+05:30,941.4,947.45,930.75,942.75,52328
2025-01-09 00:00:00+05:30,944.65,944.65,921.2,931.4,25812
2025-01-10 00:00:00+05:30,939.1,939.1,911.25,917.4,29541
2025-01-13 00:00:00+05:30,916.75,918.05,873.4,876.5,16990
2025-01-14 00:00:00+05:30,876.7,922.0,876.7,909.95,67555
2025-01-15 00:00:00+05:30,915.0,918.85,898.65,910.25,27732
2025-01-16 00:00:00+05:30,921.35,932.25,912.85,917.15,30259
2025-01-17 00:00:00+05:30,915.0,930.5,913.5,924.4,18581
2025-01-20 00:00:00+05:30,928.0,940.0,911.0,933.65,21401
2025-01-21 00:00:00+05:30,942.75,942.75,915.8,918.7,13304
2025-01-22 00:00:00+05:30,928.95,928.95,878.05,896.45,20463
2025-01-23 00:00:00+05:30,893.35,905.5,890.0,893.1,7544
2025-01-24 00:00:00+05:30,901.55,908.0,881.3,882.75,17565
2025-01-27 00:00:00+05:30,879.45,879.45,838.55,842.55,31799
2025-01-28 00:00:00+05:30,849.0,857.75,828.25,840.3,17367
2025-01-29 00:00:00+05:30,857.15,857.15,838.15,848.85,10086
2025-01-30 00:00:00+05:30,856.55,864.0,822.3,840.1,24171
2025-01-31 00:00:00+05:30,799.85,799.85,723.95,791.85,746074
2025-02-01 00:00:00+05:30,796.85,807.45,755.4,776.6,141272
2025-02-03 00:00:00+05:30,774.8,812.9,751.45,806.8,210040
2025-02-04 00:00:00+05:30,808.3,826.1,799.4,801.95,33128
2025-02-05 00:00:00+05:30,817.15,823.95,804.15,818.45,50131
2025-02-06 00:00:00+05:30,824.25,826.25,806.4,809.6,20864
2025-02-07 00:00:00+05:30,809.55,848.6,809.55,845.1,148335
2025-02-10 00:00:00+05:30,844.95,844.95,818.25,840.4,62192
2025-02-11 00:00:00+05:30,829.55,851.75,829.1,833.3,25396
2025-02-12 00:00:00+05:30,817.85,834.1,802.0,829.65,49323
2025-02-13 00:00:00+05:30,812.85,853.35,812.85,840.75,87853
