date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,19.03,19.74,19.02,19.17,11723546
2024-12-17 00:00:00+05:30,19.09,19.27,18.76,18.84,5400283
2024-12-18 00:00:00+05:30,18.83,18.85,18.36,18.54,5962695
2024-12-19 00:00:00+05:30,18.18,20.07,17.99,19.86,24625908
2024-12-20 00:00:00+05:30,19.62,20.34,18.8,18.95,9275375
2024-12-23 00:00:00+05:30,19.19,19.24,18.51,18.59,3762565
2024-12-24 00:00:00+05:30,18.63,18.7,18.21,18.27,4870730
2024-12-26 00:00:00+05:30,18.38,18.5,18.07,18.14,4418026
2024-12-27 00:00:00+05:30,18.3,18.52,18.05,18.14,4035808
2024-12-30 00:00:00+05:30,16.61,17.76,16.61,17.59,12077442
2024-12-31 00:00:00+05:30,17.53,17.83,17.36,17.71,4835781
2025-01-01 00:00:00+05:30,17.71,18.21,17.65,18.06,4183433
2025-01-02 00:00:00+05:30,18.15,18.29,17.68,17.73,4443246
2025-01-03 00:00:00+05:30,17.77,18.14,17.63,17.69,4931606
2025-01-06 00:00:00+05:30,17.63,17.75,16.67,16.79,10358561
2025-01-07 00:00:00+05:30,16.81,17.34,16.81,17.27,5543220
2025-01-08 00:00:00+05:30,17.29,17.4,16.92,17.14,4019960
2025-01-09 00:00:00+05:30,17.14,17.26,16.8,16.87,3473961
2025-01-10 00:00:00+05:30,16.87,16.95,16.1,16.2,7466640
2025-01-13 00:00:00+05:30,16.2,16.38,15.42,15.8,7848716
2025-01-14 00:00:00+05:30,15.79,16.45,15.79,16.38,5178604
2025-01-15 00:00:00+05:30,16.42,16.68,16.12,16.28,5485324
2025-01-16 00:00:00+05:30,16.49,16.87,16.44,16.65,2573884
2025-01-17 00:00:00+05:30,16.65,16.83,16.45,16.71,2922996
2025-01-20 00:00:00+05:30,16.89,17.11,16.66,16.9,3687809
2025-01-21 00:00:00+05:30,17.02,17.2,16.39,16.51,1826285
2025-01-22 00:00:00+05:30,16.58,16.78,16.02,16.31,3756959
2025-01-23 00:00:00+05:30,16.26,16.41,16.08,16.17,2683515
2025-01-24 00:00:00+05:30,16.2,16.37,15.92,16.06,2830658
2025-01-27 00:00:00+05:30,15.93,15.95,15.0,15.09,7857432
2025-01-28 00:00:00+05:30,15.14,15.46,14.35,14.96,7780512
2025-01-29 00:00:00+05:30,15.13,15.57,15.05,15.4,4108023
2025-01-30 00:00:00+05:30,15.52,15.89,15.4,15.75,3996227
2025-01-31 00:00:00+05:30,15.75,16.49,15.53,16.35,4717103
2025-02-01 00:00:00+05:30,16.71,16.74,15.8,15.95,6457224
2025-02-03 00:00:00+05:30,14.98,15.21,14.56,14.87,9186205
2025-02-04 00:00:00+05:30,15.03,15.3,14.94,15.02,4677546
2025-02-05 00:00:00+05:30,15.07,15.33,15.01,15.07,3690144
2025-02-06 00:00:00+05:30,15.22,15.4,15.0,15.04,7465358
2025-02-07 00:00:00+05:30,15.05,15.13,14.86,14.95,2825225
2025-02-10 00:00:00+05:30,14.99,15.05,14.65,14.74,3493998
2025-02-11 00:00:00+05:30,14.71,14.81,14.12,14.2,5232509
2025-02-12 00:00:00+05:30,14.19,14.28,13.29,14.13,7933766
2025-02-13 00:00:00+05:30,14.21,14.53,13.96,14.05,3498049
2025-02-14 00:00:00+05:30,14.06,14.2,13.31,13.48,5407633
2025-02-17 00:00:00+05:30,13.45,13.62,13.0,13.56,6852502
2025-02-18 00:00:00+05:30,13.55,13.56,12.94,13.06,5476995
2025-02-19 00:00:00+05:30,13.03,13.9,12.82,13.75,5490040
2025-02-20 00:00:00+05:30,13.74,13.86,13.55,13.81,4291138
2025-02-21 00:00:00+05:30,13.76,14.34,13.74,13.92,4648659
2025-02-24 00:00:00+05:30,13.8,13.93,13.45,13.87,3959617
2025-02-25 00:00:00+05:30,13.96,14.13,13.68,13.98,3287841
2025-02-27 00:00:00+05:30,13.98,14.09,13.7,13.94,3464780
2025-02-28 00:00:00+05:30,13.81,13.81,13.33,13.36,4480946
2025-03-03 00:00:00+05:30,13.43,13.71,12.35,13.08,10828222
2025-03-04 00:00:00+05:30,12.97,13.3,12.71,13.02,7566360
2025-03-05 00:00:00+05:30,13.05,13.58,13.05,13.52,3422449
2025-03-06 00:00:00+05:30,13.74,13.97,13.55,13.65,5026932
2025-03-07 00:00:00+05:30,13.8,14.28,13.62,14.16,6227090
2025-03-10 00:00:00+05:30,14.18,14.5,13.82,14.11,5358312
2025-03-11 00:00:00+05:30,13.98,13.98,13.53,13.63,7813186
2025-03-12 00:00:00+05:30,13.81,14.92,13.53,13.67,10478440
2025-03-13 00:00:00+05:30,13.77,13.93,13.39,13.46,3437818
2025-03-17 00:00:00+05:30,13.52,13.68,12.95,13.08,5399198
2025-03-18 00:00:00+05:30,13.13,13.44,13.03,13.39,5576787
2025-03-19 00:00:00+05:30,13.48,15.06,13.48,14.75,15762517
2025-03-20 00:00:00+05:30,15.0,15.17,14.39,14.65,6507983
2025-03-21 00:00:00+05:30,14.67,15.2,14.52,14.97,13128177
2025-03-24 00:00:00+05:30,15.18,15.45,14.93,15.0,5321583
2025-03-25 00:00:00+05:30,15.04,15.17,14.3,14.42,6386444
2025-03-26 00:00:00+05:30,14.48,15.03,14.05,14.11,8456604
2025-03-27 00:00:00+05:30,14.14,14.59,14.06,14.48,6427409
2025-03-28 00:00:00+05:30,14.6,14.82,14.16,14.25,7735708
2025-04-01 00:00:00+05:30,13.69,14.8,13.69,14.64,5104181
2025-04-02 00:00:00+05:30,14.7,14.9,14.2,14.66,2468298
2025-04-03 00:00:00+05:30,14.42,15.35,14.36,15.28,7568386
2025-04-04 00:00:00+05:30,15.27,15.31,14.62,14.81,5266028
2025-04-07 00:00:00+05:30,13.16,14.33,13.16,14.2,7299451
2025-04-08 00:00:00+05:30,14.36,14.75,14.26,14.61,4424627
2025-04-09 00:00:00+05:30,14.59,14.69,14.31,14.43,2568543
2025-04-11 00:00:00+05:30,14.8,14.8,14.46,14.52,2716168
2025-04-15 00:00:00+05:30,14.63,15.88,14.63,15.27,8510356
