date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,752.05,763.45,748.0,750.65,10120
2024-12-17 00:00:00+05:30,746.0,753.15,738.5,742.3,21329
2024-12-18 00:00:00+05:30,736.05,746.65,727.3,738.45,12709
2024-12-19 00:00:00+05:30,720.05,751.65,715.9,740.65,23796
2024-12-20 00:00:00+05:30,743.0,746.6,716.25,719.7,46308
2024-12-23 00:00:00+05:30,720.05,730.0,700.0,727.45,24371
2024-12-24 00:00:00+05:30,725.85,736.8,713.6,730.55,14824
2024-12-26 00:00:00+05:30,730.55,738.0,719.55,732.75,56322
2024-12-27 00:00:00+05:30,730.85,742.35,730.7,736.2,8251
2024-12-30 00:00:00+05:30,734.15,739.6,677.9,686.4,78522
2024-12-31 00:00:00+05:30,682.4,704.25,680.65,699.45,17775
2025-01-01 00:00:00+05:30,700.05,700.05,684.4,696.5,21408
2025-01-02 00:00:00+05:30,696.05,699.0,681.9,684.45,7662
2025-01-03 00:00:00+05:30,684.8,690.85,675.0,677.35,28689
2025-01-06 00:00:00+05:30,688.05,688.05,662.0,664.6,16232
2025-01-07 00:00:00+05:30,664.9,673.2,656.45,668.25,11977
2025-01-08 00:00:00+05:30,666.9,666.9,641.3,642.9,91826
2025-01-09 00:00:00+05:30,639.85,648.5,629.05,632.65,13958
2025-01-10 00:00:00+05:30,632.65,638.15,622.45,625.05,34575
2025-01-13 00:00:00+05:30,615.25,628.05,597.0,607.6,37141
2025-01-14 00:00:00+05:30,600.05,632.55,600.05,626.05,60111
2025-01-15 00:00:00+05:30,634.95,634.95,611.95,614.8,14646
2025-01-16 00:00:00+05:30,626.75,629.0,618.6,625.55,9276
2025-01-17 00:00:00+05:30,625.0,637.8,621.45,633.65,13110
2025-01-20 00:00:00+05:30,639.45,639.45,619.9,626.2,16020
2025-01-21 00:00:00+05:30,625.8,635.05,621.85,633.35,74168
2025-01-22 00:00:00+05:30,634.85,635.0,612.6,633.05,23950
2025-01-23 00:00:00+05:30,628.8,651.6,628.8,639.5,10810
2025-01-24 00:00:00+05:30,642.65,643.9,623.75,632.9,6104
2025-01-27 00:00:00+05:30,627.85,628.7,614.65,622.6,10144
2025-01-28 00:00:00+05:30,620.85,629.0,606.0,615.15,24462
2025-01-29 00:00:00+05:30,617.05,639.75,613.1,637.4,12070
2025-01-30 00:00:00+05:30,630.0,654.0,603.4,649.05,31840
2025-01-31 00:00:00+05:30,643.0,656.95,635.1,653.8,19827
2025-02-01 00:00:00+05:30,664.8,664.8,601.0,623.1,58448
2025-02-03 00:00:00+05:30,620.0,620.0,583.35,593.2,166705
2025-02-04 00:00:00+05:30,601.95,625.5,600.0,623.0,82163
2025-02-05 00:00:00+05:30,622.55,646.9,622.55,634.2,16655
2025-02-06 00:00:00+05:30,635.05,642.55,632.0,635.6,5601
