date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,418.35,418.35,406.5,409.35,37112
2024-12-17 00:00:00+05:30,409.0,409.0,388.0,392.85,34347
2024-12-18 00:00:00+05:30,391.65,395.9,381.8,383.7,73850
2024-12-19 00:00:00+05:30,381.15,389.0,374.65,382.8,72208
2024-12-20 00:00:00+05:30,385.0,387.0,374.5,376.0,54468
2024-12-23 00:00:00+05:30,383.45,383.45,368.25,371.05,54257
2024-12-24 00:00:00+05:30,374.75,379.55,371.0,377.1,22410
2024-12-26 00:00:00+05:30,380.0,387.0,369.55,370.35,116253
2024-12-27 00:00:00+05:30,372.0,394.5,371.65,389.8,104380
2024-12-30 00:00:00+05:30,385.9,404.65,382.05,400.75,78028
2024-12-31 00:00:00+05:30,399.95,400.95,394.15,397.4,15820
2025-01-01 00:00:00+05:30,397.05,402.7,393.85,400.95,20997
2025-01-02 00:00:00+05:30,400.05,407.5,398.35,405.45,36099
2025-01-03 00:00:00+05:30,407.0,407.0,400.0,403.25,13448
2025-01-06 00:00:00+05:30,403.3,403.35,385.9,389.4,69330
2025-01-07 00:00:00+05:30,385.5,399.0,385.5,397.65,24551
2025-01-08 00:00:00+05:30,403.25,412.95,394.45,400.1,32257
2025-01-09 00:00:00+05:30,404.9,414.0,398.0,408.1,23641
2025-01-10 00:00:00+05:30,408.15,408.95,397.45,398.45,37295
2025-01-13 00:00:00+05:30,396.0,398.0,380.85,385.7,49280
2025-01-14 00:00:00+05:30,393.45,400.5,387.65,391.3,20075
2025-01-15 00:00:00+05:30,392.25,397.0,385.1,388.75,11702
2025-01-16 00:00:00+05:30,386.3,394.0,386.3,392.15,10397
2025-01-17 00:00:00+05:30,394.75,399.0,387.35,397.55,6464
2025-01-20 00:00:00+05:30,399.1,399.25,391.0,398.0,7985
2025-01-21 00:00:00+05:30,401.5,401.55,383.65,384.85,13511
2025-01-22 00:00:00+05:30,384.85,384.85,369.55,375.1,14095
2025-01-23 00:00:00+05:30,370.4,373.25,367.05,369.7,19715
2025-01-24 00:00:00+05:30,370.05,373.45,364.3,369.0,11698
2025-01-27 00:00:00+05:30,370.05,374.5,356.25,371.3,38215
2025-01-28 00:00:00+05:30,370.0,379.3,365.0,374.4,21390
2025-01-29 00:00:00+05:30,378.0,391.9,377.4,391.1,29332
2025-01-30 00:00:00+05:30,399.9,399.9,388.6,395.9,26809
2025-01-31 00:00:00+05:30,394.65,400.95,382.6,398.55,52389
2025-02-01 00:00:00+05:30,392.1,422.5,391.8,416.15,86136
2025-02-03 00:00:00+05:30,415.7,420.0,404.6,417.1,65968
2025-02-04 00:00:00+05:30,419.95,419.95,408.9,415.0,20075
2025-02-05 00:00:00+05:30,410.05,422.6,408.4,417.8,28111
2025-02-06 00:00:00+05:30,421.3,421.35,398.45,399.85,27719
2025-02-07 00:00:00+05:30,407.7,407.7,384.35,385.75,30395
2025-02-10 00:00:00+05:30,387.0,389.25,376.05,379.3,16111
2025-02-11 00:00:00+05:30,378.05,380.0,361.05,365.9,30503
2025-02-12 00:00:00+05:30,366.0,372.6,349.45,368.1,34264
2025-02-13 00:00:00+05:30,368.55,379.0,360.55,362.55,48084
2025-02-14 00:00:00+05:30,370.45,370.45,354.0,358.05,37147
2025-02-17 00:00:00+05:30,353.05,359.95,343.75,345.0,15720
2025-02-18 00:00:00+05:30,351.95,351.95,332.45,337.85,22492
2025-02-19 00:00:00+05:30,337.0,357.0,333.5,355.4,20483
2025-02-20 00:00:00+05:30,350.0,351.25,343.0,344.4,41506
2025-02-21 00:00:00+05:30,345.05,351.7,341.3,343.75,24700
2025-02-24 00:00:00+05:30,340.05,342.5,335.15,338.45,17019
2025-02-25 00:00:00+05:30,339.0,346.85,327.6,330.6,11884
2025-02-27 00:00:00+05:30,336.5,336.5,318.0,333.6,18736
2025-02-28 00:00:00+05:30,334.0,335.0,320.0,321.95,11825
2025-03-03 00:00:00+05:30,323.5,324.0,312.5,315.85,18557
2025-03-04 00:00:00+05:30,310.05,338.0,310.05,333.0,33811
2025-03-05 00:00:00+05:30,334.0,336.0,326.0,328.75,27592
2025-03-06 00:00:00+05:30,334.0,337.05,326.5,334.65,850650
2025-03-07 00:00:00+05:30,337.85,337.85,329.0,329.5,30988
2025-03-10 00:00:00+05:30,337.8,337.8,325.6,327.3,32392
2025-03-11 00:00:00+05:30,321.3,335.55,321.3,334.0,49136
2025-03-12 00:00:00+05:30,339.0,339.0,328.4,329.55,23326
2025-03-13 00:00:00+05:30,334.75,334.75,326.75,330.85,27962
2025-03-17 00:00:00+05:30,328.9,333.9,327.65,331.3,29688
2025-03-18 00:00:00+05:30,329.85,343.4,329.85,339.35,12910
2025-03-19 00:00:00+05:30,339.3,343.2,330.3,331.7,50501
2025-03-20 00:00:00+05:30,335.15,340.95,330.75,337.15,75760
2025-03-21 00:00:00+05:30,338.0,348.0,337.0,344.7,24656
2025-03-24 00:00:00+05:30,347.95,350.0,339.9,342.4,13469
2025-03-25 00:00:00+05:30,344.9,345.0,330.7,332.3,36328
2025-03-26 00:00:00+05:30,333.9,333.9,324.0,325.05,22087
2025-03-27 00:00:00+05:30,322.3,331.1,322.3,330.0,55672
2025-03-28 00:00:00+05:30,330.05,334.95,326.35,328.65,44707
2025-04-01 00:00:00+05:30,333.8,333.8,325.7,329.05,8392
2025-04-02 00:00:00+05:30,329.05,336.0,318.9,334.45,27106
2025-04-03 00:00:00+05:30,333.95,343.45,326.9,342.55,13631
2025-04-04 00:00:00+05:30,343.0,343.0,330.2,332.4,11966
2025-04-07 00:00:00+05:30,268.05,337.6,268.05,333.85,31665
2025-04-08 00:00:00+05:30,337.0,345.55,333.0,344.25,8963
2025-04-09 00:00:00+05:30,344.3,389.65,340.45,379.65,441464
2025-04-11 00:00:00+05:30,375.75,377.0,362.3,367.05,147277
2025-04-15 00:00:00+05:30,368.15,372.85,366.45,371.75,66063
2025-04-16 00:00:00+05:30,371.55,377.75,370.9,376.75,19154
2025-04-17 00:00:00+05:30,378.9,378.9,371.3,375.75,16093
2025-04-21 00:00:00+05:30,380.0,384.55,367.6,382.6,72986
2025-04-22 00:00:00+05:30,385.0,395.15,381.2,393.95,51460
2025-04-23 00:00:00+05:30,399.0,399.95,386.15,388.5,55514
2025-04-24 00:00:00+05:30,391.0,393.3,381.35,383.7,17083
2025-04-25 00:00:00+05:30,392.9,392.9,370.3,376.1,49689
2025-04-28 00:00:00+05:30,369.4,388.0,369.4,381.05,16624
2025-04-29 00:00:00+05:30,375.65,385.55,375.65,377.8,13406
2025-04-30 00:00:00+05:30,373.05,381.0,371.0,373.85,22553
2025-05-02 00:00:00+05:30,371.55,376.6,368.05,369.65,6257
2025-05-05 00:00:00+05:30,369.7,382.1,368.0,378.45,22641
2025-05-06 00:00:00+05:30,378.3,378.3,368.5,369.6,7532
2025-05-07 00:00:00+05:30,354.3,374.45,354.3,373.4,8938
2025-05-08 00:00:00+05:30,374.0,376.7,366.95,369.15,24545
2025-05-09 00:00:00+05:30,350.3,369.95,350.3,366.1,14170
2025-05-12 00:00:00+05:30,373.45,378.15,348.25,350.2,112011
2025-05-13 00:00:00+05:30,353.9,353.9,332.0,335.0,150892
2025-05-14 00:00:00+05:30,338.25,345.25,337.45,341.45,58071
2025-05-15 00:00:00+05:30,344.85,352.0,342.0,347.65,66660
2025-05-16 00:00:00+05:30,351.95,351.95,345.75,348.95,27188
2025-05-19 00:00:00+05:30,350.0,352.7,346.6,347.4,41559
2025-05-20 00:00:00+05:30,350.0,351.0,338.0,340.0,18857
2025-05-21 00:00:00+05:30,340.7,341.6,337.3,338.95,39317
2025-05-22 00:00:00+05:30,338.05,339.0,332.8,334.4,51282
2025-05-23 00:00:00+05:30,339.35,339.9,332.5,337.9,33700
2025-05-26 00:00:00+05:30,338.0,341.7,335.9,337.9,22817
2025-05-27 00:00:00+05:30,337.05,342.45,337.05,341.45,29464
2025-05-28 00:00:00+05:30,343.95,345.9,342.3,344.45,11102
2025-05-29 00:00:00+05:30,346.65,346.65,342.05,345.65,17962
2025-05-30 00:00:00+05:30,349.3,349.3,342.65,344.95,17301
2025-06-02 00:00:00+05:30,349.85,349.85,343.0,344.4,12104
2025-06-03 00:00:00+05:30,345.8,345.8,341.2,343.55,31111
2025-06-04 00:00:00+05:30,341.15,343.9,340.5,341.2,14991
2025-06-05 00:00:00+05:30,341.0,344.65,341.0,342.45,14866
2025-06-06 00:00:00+05:30,342.0,344.35,338.3,338.75,14419
2025-06-09 00:00:00+05:30,339.05,343.75,338.15,338.8,25744
2025-06-10 00:00:00+05:30,338.8,350.0,336.5,345.5,68026
2025-06-11 00:00:00+05:30,345.6,350.2,345.6,348.4,40361
2025-06-12 00:00:00+05:30,345.65,348.65,343.4,343.85,43641
2025-06-13 00:00:00+05:30,343.95,343.95,335.85,336.95,16394
2025-06-16 00:00:00+05:30,330.45,339.0,330.2,333.05,22342
2025-06-17 00:00:00+05:30,332.05,338.5,331.7,335.5,23433
