date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,790.0,812.45,780.05,804.85,6494
2024-12-17 00:00:00+05:30,812.6,813.0,791.75,795.85,3153
2024-12-18 00:00:00+05:30,799.95,800.65,785.65,787.25,4260
2024-12-19 00:00:00+05:30,774.05,784.2,773.0,776.8,922
2024-12-20 00:00:00+05:30,778.5,781.55,766.35,771.45,2281
2024-12-23 00:00:00+05:30,770.05,772.8,743.15,748.7,7727
2024-12-24 00:00:00+05:30,761.95,763.65,748.0,758.0,2163
2024-12-26 00:00:00+05:30,746.05,764.75,746.05,756.55,1446
2024-12-27 00:00:00+05:30,759.65,765.5,756.35,759.3,1042
2024-12-30 00:00:00+05:30,758.05,758.6,716.5,730.0,4976
2024-12-31 00:00:00+05:30,744.1,772.0,728.9,767.4,7531
2025-01-01 00:00:00+05:30,762.0,770.35,758.45,768.65,1071
2025-01-02 00:00:00+05:30,754.95,776.3,754.95,773.9,3048
2025-01-03 00:00:00+05:30,767.55,779.95,765.5,768.1,2151
2025-01-06 00:00:00+05:30,783.5,783.5,762.9,765.9,4753
2025-01-07 00:00:00+05:30,759.0,770.05,756.0,756.85,2194
2025-01-08 00:00:00+05:30,758.0,758.75,733.9,749.95,2258
2025-01-09 00:00:00+05:30,745.0,754.0,738.05,750.9,1670
2025-01-10 00:00:00+05:30,750.8,750.85,729.65,734.05,3019
2025-01-13 00:00:00+05:30,730.0,730.0,701.9,706.3,2759
2025-01-14 00:00:00+05:30,706.3,722.65,693.6,717.2,2075
2025-01-15 00:00:00+05:30,721.05,724.05,711.8,720.4,1850
2025-01-16 00:00:00+05:30,725.0,729.95,709.0,712.45,3966
2025-01-17 00:00:00+05:30,719.45,719.45,702.65,704.5,5234
2025-01-20 00:00:00+05:30,721.0,721.0,699.9,714.25,1708
2025-01-21 00:00:00+05:30,714.25,718.0,691.25,693.4,2418
2025-01-22 00:00:00+05:30,706.0,706.0,678.9,684.55,1488
2025-01-23 00:00:00+05:30,702.35,702.35,684.55,687.2,1100
2025-01-24 00:00:00+05:30,687.2,691.6,675.0,677.7,3363
2025-01-27 00:00:00+05:30,677.75,677.75,642.15,652.6,5142
2025-01-28 00:00:00+05:30,654.0,654.0,618.9,650.0,3907
2025-01-29 00:00:00+05:30,640.05,699.25,640.05,685.5,3771
2025-01-30 00:00:00+05:30,729.95,729.95,677.8,689.15,2015
2025-01-31 00:00:00+05:30,708.95,708.95,689.5,703.05,1023
2025-02-01 00:00:00+05:30,698.8,750.05,698.75,744.25,9250
2025-02-03 00:00:00+05:30,725.1,728.0,691.05,701.65,12424
2025-02-04 00:00:00+05:30,700.7,706.3,675.95,684.55,9122
2025-02-05 00:00:00+05:30,689.95,714.3,687.8,710.9,4849
2025-02-06 00:00:00+05:30,720.0,720.0,695.55,700.0,3514
2025-02-07 00:00:00+05:30,700.0,700.0,678.45,684.6,3524
2025-02-10 00:00:00+05:30,685.0,685.45,670.0,674.9,2624
2025-02-11 00:00:00+05:30,679.95,680.8,642.0,645.35,3918
2025-02-12 00:00:00+05:30,646.0,646.0,617.0,632.1,3579
2025-02-13 00:00:00+05:30,611.7,630.25,607.65,610.0,8758
2025-02-14 00:00:00+05:30,622.2,622.2,592.0,598.75,5868
2025-02-17 00:00:00+05:30,599.0,618.05,585.0,613.55,6299
2025-02-18 00:00:00+05:30,625.85,625.85,596.8,603.75,3120
2025-02-19 00:00:00+05:30,624.9,624.9,596.85,611.3,4908
2025-02-20 00:00:00+05:30,699.9,699.9,608.5,639.6,5012
2025-02-21 00:00:00+05:30,639.6,652.15,636.0,642.1,5359
2025-02-24 00:00:00+05:30,654.75,654.75,621.45,623.4,3189
2025-02-25 00:00:00+05:30,623.2,633.65,615.35,617.0,1796
2025-02-27 00:00:00+05:30,629.95,629.95,605.35,609.25,1499
2025-02-28 00:00:00+05:30,635.0,658.85,607.0,617.2,168893
2025-03-03 00:00:00+05:30,610.9,637.45,606.05,615.25,29633
2025-03-04 00:00:00+05:30,607.1,628.25,601.0,610.3,9585
2025-03-05 00:00:00+05:30,610.3,646.95,610.3,642.2,18053
2025-03-06 00:00:00+05:30,646.8,654.0,639.85,644.55,4291
2025-03-07 00:00:00+05:30,645.0,689.95,640.55,686.0,24546
2025-03-10 00:00:00+05:30,690.15,695.65,655.5,664.35,18817
2025-03-11 00:00:00+05:30,655.0,695.35,651.55,690.85,16169
2025-03-12 00:00:00+05:30,692.45,713.75,682.2,709.85,15345
2025-03-13 00:00:00+05:30,717.95,728.1,701.8,711.15,17848
2025-03-17 00:00:00+05:30,726.0,726.0,698.65,709.55,15519
2025-03-18 00:00:00+05:30,714.9,729.7,708.9,722.55,22992
2025-03-19 00:00:00+05:30,719.9,725.95,715.0,721.15,9552
2025-03-20 00:00:00+05:30,734.95,734.95,713.45,723.7,12600
2025-03-21 00:00:00+05:30,737.75,737.75,717.0,721.25,9076
2025-03-24 00:00:00+05:30,721.25,733.45,714.85,722.25,9471
2025-03-25 00:00:00+05:30,732.0,799.55,720.0,734.35,85213
2025-03-26 00:00:00+05:30,730.0,730.0,706.0,719.5,13784
2025-03-27 00:00:00+05:30,705.3,755.95,700.75,722.35,44884
2025-03-28 00:00:00+05:30,722.35,727.9,697.0,712.7,14014
2025-04-01 00:00:00+05:30,708.25,719.45,692.7,697.0,9513
2025-04-02 00:00:00+05:30,698.85,702.6,683.6,697.55,5339
2025-04-03 00:00:00+05:30,719.95,719.95,691.7,703.1,4606
2025-04-04 00:00:00+05:30,722.15,722.15,680.8,688.6,9359
2025-04-07 00:00:00+05:30,684.95,684.95,648.0,667.9,10182
2025-04-08 00:00:00+05:30,707.2,707.2,676.0,684.4,4750
2025-04-09 00:00:00+05:30,673.2,721.05,673.0,704.0,14709
2025-04-11 00:00:00+05:30,718.1,727.9,703.5,717.75,7736
2025-04-15 00:00:00+05:30,733.15,737.35,725.0,729.4,3960
2025-04-16 00:00:00+05:30,737.15,739.95,730.5,736.15,3234
2025-04-17 00:00:00+05:30,736.5,741.1,725.2,726.85,2459
2025-04-21 00:00:00+05:30,727.15,743.75,724.85,739.35,3055
2025-04-22 00:00:00+05:30,752.6,753.05,735.9,751.6,2811
2025-04-23 00:00:00+05:30,751.9,764.05,740.0,761.8,3282
2025-04-24 00:00:00+05:30,774.75,774.75,743.85,748.1,16639
2025-04-25 00:00:00+05:30,748.05,759.0,736.9,750.25,3139
2025-04-28 00:00:00+05:30,740.05,761.1,740.05,749.25,5604
2025-04-29 00:00:00+05:30,752.15,763.4,745.95,747.35,3134
2025-04-30 00:00:00+05:30,740.0,746.1,716.5,732.35,5859
2025-05-02 00:00:00+05:30,720.2,725.85,706.1,719.8,3034
2025-05-05 00:00:00+05:30,695.4,730.7,695.4,724.8,6919
2025-05-06 00:00:00+05:30,725.0,727.95,718.15,725.0,4196
2025-05-07 00:00:00+05:30,700.3,738.65,700.3,731.6,4033
2025-05-08 00:00:00+05:30,726.65,745.4,726.6,734.4,2192
2025-05-09 00:00:00+05:30,724.95,761.65,710.05,757.5,5097
2025-05-12 00:00:00+05:30,840.0,840.0,771.2,780.8,11240
2025-05-13 00:00:00+05:30,799.95,804.9,781.35,801.1,4919
2025-05-14 00:00:00+05:30,805.0,813.55,799.4,806.1,2890
2025-05-15 00:00:00+05:30,809.95,809.95,775.0,783.7,2800
2025-05-16 00:00:00+05:30,784.0,787.15,758.05,776.5,13400
2025-05-19 00:00:00+05:30,780.0,801.4,780.0,795.75,2006
2025-05-20 00:00:00+05:30,796.65,814.25,791.45,803.6,4710
2025-05-21 00:00:00+05:30,801.0,811.45,794.25,798.6,8580
2025-05-22 00:00:00+05:30,797.65,808.15,792.0,795.9,4460
2025-05-23 00:00:00+05:30,798.2,813.0,787.1,801.1,1133
2025-05-26 00:00:00+05:30,803.75,825.2,802.25,812.5,773
2025-05-27 00:00:00+05:30,815.35,837.55,810.05,830.35,9810
2025-05-28 00:00:00+05:30,830.25,834.35,818.7,825.3,1887
2025-05-29 00:00:00+05:30,828.1,843.3,825.65,836.75,2823
2025-05-30 00:00:00+05:30,840.2,856.0,830.35,850.7,5356
2025-06-02 00:00:00+05:30,855.0,855.0,815.15,819.2,8490
2025-06-03 00:00:00+05:30,819.25,848.0,819.2,838.4,9821
2025-06-04 00:00:00+05:30,847.95,871.4,830.3,862.25,14075
2025-06-05 00:00:00+05:30,883.25,907.3,863.1,874.5,18878
2025-06-06 00:00:00+05:30,874.5,878.85,854.95,864.05,14407
2025-06-09 00:00:00+05:30,862.75,873.55,853.0,869.75,9163
2025-06-10 00:00:00+05:30,870.0,870.0,857.25,858.85,2075
2025-06-11 00:00:00+05:30,851.0,858.8,841.4,848.7,2044
2025-06-12 00:00:00+05:30,850.0,850.0,829.1,838.7,2815
2025-06-13 00:00:00+05:30,830.05,835.0,818.0,827.15,4863
2025-06-16 00:00:00+05:30,820.05,827.65,811.0,817.5,4595
2025-06-17 00:00:00+05:30,811.0,827.85,811.0,820.85,3245
2025-06-18 00:00:00+05:30,810.05,863.0,810.05,848.85,6003
2025-06-19 00:00:00+05:30,876.95,876.95,816.6,833.4,5248
2025-06-20 00:00:00+05:30,810.05,830.75,810.05,827.3,3996
2025-06-23 00:00:00+05:30,876.9,876.9,805.0,808.1,2247
2025-06-24 00:00:00+05:30,838.0,838.0,795.05,805.4,5829
2025-06-25 00:00:00+05:30,814.85,817.7,800.0,804.9,2690
2025-06-26 00:00:00+05:30,805.4,815.05,801.0,804.0,1360
2025-06-27 00:00:00+05:30,810.95,828.0,803.65,818.15,3697
2025-06-30 00:00:00+05:30,820.0,832.05,808.5,817.9,1612
2025-07-01 00:00:00+05:30,847.75,857.75,820.9,840.15,24999
2025-07-02 00:00:00+05:30,856.95,856.95,821.05,824.45,3483
2025-07-03 00:00:00+05:30,811.25,825.0,811.25,820.95,990
2025-07-04 00:00:00+05:30,816.85,839.05,815.0,829.85,1969
2025-07-07 00:00:00+05:30,829.85,835.85,815.95,818.9,4357
2025-07-08 00:00:00+05:30,817.05,828.0,814.7,824.0,1392
2025-07-09 00:00:00+05:30,826.85,827.9,817.0,826.65,1274
2025-07-10 00:00:00+05:30,827.75,844.0,827.75,840.85,4762
2025-07-11 00:00:00+05:30,842.0,889.0,839.55,881.55,14890
2025-07-14 00:00:00+05:30,881.6,897.75,862.4,868.1,17829
2025-07-15 00:00:00+05:30,865.95,877.0,862.2,871.6,9234
2025-07-16 00:00:00+05:30,875.7,879.3,864.0,866.85,4148
2025-07-17 00:00:00+05:30,871.15,883.25,868.05,879.85,3566
2025-07-18 00:00:00+05:30,887.25,887.25,866.55,870.3,3186
2025-07-21 00:00:00+05:30,870.25,871.2,851.25,868.4,3788
2025-07-22 00:00:00+05:30,855.05,874.5,855.05,867.05,2982
2025-07-23 00:00:00+05:30,857.05,888.0,857.05,884.3,6916
2025-07-24 00:00:00+05:30,890.0,899.95,876.65,878.45,7182
2025-07-25 00:00:00+05:30,871.05,878.0,842.0,853.15,10085
2025-07-28 00:00:00+05:30,830.05,892.3,830.05,859.85,11783
2025-07-29 00:00:00+05:30,843.05,863.0,843.05,854.8,5778
2025-07-30 00:00:00+05:30,852.15,860.45,852.15,853.65,1978
2025-07-31 00:00:00+05:30,840.5,851.3,833.9,840.2,2581
2025-08-01 00:00:00+05:30,849.95,850.45,835.7,841.7,4975
2025-08-04 00:00:00+05:30,822.2,843.4,820.55,828.65,4023
2025-08-05 00:00:00+05:30,826.0,846.1,824.0,839.8,1639
2025-08-06 00:00:00+05:30,843.65,843.65,828.75,830.55,1537
2025-08-07 00:00:00+05:30,814.3,832.95,814.3,831.8,1076
2025-08-08 00:00:00+05:30,830.9,840.45,810.55,814.55,6772
2025-08-11 00:00:00+05:30,800.0,800.55,770.0,796.65,4709
2025-08-12 00:00:00+05:30,795.3,798.65,785.55,791.1,2714
2025-08-13 00:00:00+05:30,790.0,800.0,778.5,794.55,4276
2025-08-14 00:00:00+05:30,792.0,805.2,783.05,801.4,1283
2025-08-18 00:00:00+05:30,805.0,827.0,790.65,817.0,5240
2025-08-19 00:00:00+05:30,814.9,815.0,800.0,808.85,3220
2025-08-20 00:00:00+05:30,808.85,808.85,799.25,800.7,2522
2025-08-21 00:00:00+05:30,801.05,806.2,791.55,796.65,2520
2025-08-22 00:00:00+05:30,797.0,815.2,790.85,806.6,2344
2025-08-25 00:00:00+05:30,805.0,817.35,798.05,804.95,1090
2025-08-26 00:00:00+05:30,801.05,917.9,790.95,840.75,560063
2025-08-28 00:00:00+05:30,830.55,839.5,809.05,814.7,51724
2025-08-29 00:00:00+05:30,816.0,833.25,792.75,825.4,10035
2025-09-01 00:00:00+05:30,825.4,831.95,817.4,820.0,4170
2025-09-02 00:00:00+05:30,817.75,837.45,810.3,830.85,5193
2025-09-03 00:00:00+05:30,810.1,851.0,810.1,842.4,4767
