date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,109.75,112.85,109.6,112.55,486934
2024-12-17 00:00:00+05:30,112.5,112.85,109.15,109.6,376532
2024-12-18 00:00:00+05:30,109.4,109.85,106.05,106.4,495422
2024-12-19 00:00:00+05:30,102.85,105.65,102.85,105.05,1321060
2024-12-20 00:00:00+05:30,105.45,106.3,103.35,103.85,784335
2024-12-23 00:00:00+05:30,104.45,105.55,103.85,104.2,261717
2024-12-24 00:00:00+05:30,104.65,105.4,103.75,104.8,165822
2024-12-26 00:00:00+05:30,105.65,105.65,103.65,104.15,357992
2024-12-27 00:00:00+05:30,104.65,107.2,104.35,104.75,254154
2024-12-30 00:00:00+05:30,104.65,104.9,102.05,102.75,863194
2024-12-31 00:00:00+05:30,101.85,104.45,101.65,104.1,470632
2025-01-01 00:00:00+05:30,104.05,104.1,102.65,103.5,527853
2025-01-02 00:00:00+05:30,103.3,107.3,103.05,106.55,485318
2025-01-03 00:00:00+05:30,107.45,107.85,106.05,106.7,628240
2025-01-06 00:00:00+05:30,106.05,107.15,102.25,102.8,780786
2025-01-07 00:00:00+05:30,103.35,104.3,102.05,102.15,208576
2025-01-08 00:00:00+05:30,102.65,102.75,100.2,100.9,432822
2025-01-09 00:00:00+05:30,101.35,101.85,99.0,99.15,217394
2025-01-10 00:00:00+05:30,99.3,99.55,96.05,96.6,342099
2025-01-13 00:00:00+05:30,94.85,96.05,92.05,93.1,828418
2025-01-14 00:00:00+05:30,93.15,97.9,93.15,97.15,354680
2025-01-15 00:00:00+05:30,97.5,99.95,97.45,99.6,528638
2025-01-16 00:00:00+05:30,100.25,100.8,99.15,99.35,425499
2025-01-17 00:00:00+05:30,97.4,101.1,97.4,100.75,412371
2025-01-20 00:00:00+05:30,100.7,101.1,99.65,100.25,277671
2025-01-21 00:00:00+05:30,100.2,100.95,96.9,97.25,511706
2025-01-22 00:00:00+05:30,97.9,97.9,93.7,95.2,216468
2025-01-23 00:00:00+05:30,95.35,97.0,95.0,96.6,334694
2025-01-24 00:00:00+05:30,97.1,97.35,94.9,95.35,169983
2025-01-27 00:00:00+05:30,94.2,94.4,90.9,91.55,787371
2025-01-28 00:00:00+05:30,91.85,95.1,90.7,92.25,294372
2025-01-29 00:00:00+05:30,92.65,94.65,92.1,94.15,572444
2025-01-30 00:00:00+05:30,94.35,94.4,91.25,92.55,576896
2025-01-31 00:00:00+05:30,93.25,94.65,92.3,94.1,656966
2025-02-01 00:00:00+05:30,94.55,95.55,93.15,95.05,737862
2025-02-03 00:00:00+05:30,94.25,94.25,86.35,87.15,15455050
2025-02-04 00:00:00+05:30,91.05,94.75,91.05,91.9,5501208
2025-02-05 00:00:00+05:30,92.35,92.65,90.45,91.25,686450
2025-02-06 00:00:00+05:30,91.8,92.45,90.7,91.1,542745
2025-02-07 00:00:00+05:30,92.0,92.85,90.55,92.1,363440
2025-02-10 00:00:00+05:30,92.25,92.25,89.95,90.35,385785
2025-02-11 00:00:00+05:30,90.1,90.45,85.5,85.75,828522
2025-02-12 00:00:00+05:30,86.0,86.35,80.65,85.85,1452036
2025-02-13 00:00:00+05:30,85.85,87.35,84.4,86.55,873530
2025-02-14 00:00:00+05:30,87.35,88.15,83.35,84.1,1568313
2025-02-17 00:00:00+05:30,84.65,84.65,80.9,83.3,823558
2025-02-18 00:00:00+05:30,83.35,85.9,82.35,85.55,1379714
2025-02-19 00:00:00+05:30,85.65,86.25,83.65,85.55,702579
2025-02-20 00:00:00+05:30,85.3,88.25,85.1,87.95,369402
