date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,99.99,102.0,99.69,100.99,557728
2024-12-17 00:00:00+05:30,101.33,102.58,100.06,100.53,258360
2024-12-18 00:00:00+05:30,100.0,100.28,98.25,98.76,197891
2024-12-19 00:00:00+05:30,94.67,97.88,94.67,97.11,812282
2024-12-20 00:00:00+05:30,97.1,97.98,93.6,94.44,856930
2024-12-23 00:00:00+05:30,95.11,95.57,92.4,92.68,724297
2024-12-24 00:00:00+05:30,93.46,93.95,92.17,93.19,619737
2024-12-26 00:00:00+05:30,93.3,93.91,91.74,92.08,210016
2024-12-27 00:00:00+05:30,92.97,93.99,92.1,93.4,713002
2024-12-30 00:00:00+05:30,93.26,93.83,87.75,88.33,1061502
2024-12-31 00:00:00+05:30,89.44,93.44,88.99,92.82,1602336
2025-01-01 00:00:00+05:30,92.99,94.4,92.06,92.94,247691
2025-01-02 00:00:00+05:30,93.15,94.5,92.3,93.33,260776
2025-01-03 00:00:00+05:30,93.5,94.55,92.39,92.55,215620
2025-01-06 00:00:00+05:30,92.56,93.2,87.55,87.84,1209333
2025-01-07 00:00:00+05:30,88.09,90.5,88.09,89.21,370637
2025-01-08 00:00:00+05:30,90.2,92.39,88.7,89.89,576290
2025-01-09 00:00:00+05:30,89.14,89.66,87.5,87.72,659034
2025-01-10 00:00:00+05:30,87.31,88.09,84.0,84.45,466715
2025-01-13 00:00:00+05:30,82.39,84.05,78.5,78.92,522910
2025-01-14 00:00:00+05:30,79.23,84.8,79.23,84.07,451897
2025-01-15 00:00:00+05:30,85.7,87.32,83.58,86.26,316819
2025-01-16 00:00:00+05:30,88.34,89.11,87.38,87.82,683464
2025-01-17 00:00:00+05:30,87.33,96.95,86.99,95.32,1962788
2025-01-20 00:00:00+05:30,97.1,99.2,95.65,98.6,2117681
2025-01-21 00:00:00+05:30,98.86,98.86,94.65,95.1,810603
2025-01-22 00:00:00+05:30,94.35,94.65,90.35,92.38,1179564
2025-01-23 00:00:00+05:30,91.6,94.42,91.0,92.12,1060783
2025-01-24 00:00:00+05:30,92.0,93.55,90.68,91.31,1421378
2025-01-27 00:00:00+05:30,89.94,89.94,86.5,89.02,574273
2025-01-28 00:00:00+05:30,88.24,90.1,84.97,87.04,461266
2025-01-29 00:00:00+05:30,87.07,93.0,87.07,91.91,1023859
2025-01-30 00:00:00+05:30,92.76,93.74,91.57,93.16,831411
2025-01-31 00:00:00+05:30,93.2,100.65,92.62,99.81,3006533
2025-02-01 00:00:00+05:30,100.67,104.09,93.98,95.37,2583412
2025-02-03 00:00:00+05:30,93.23,93.85,90.31,90.76,1399953
2025-02-04 00:00:00+05:30,91.2,93.88,91.2,93.06,1246234
2025-02-05 00:00:00+05:30,93.47,95.55,92.9,95.06,994800
2025-02-06 00:00:00+05:30,95.77,97.0,93.56,94.39,555558
2025-02-07 00:00:00+05:30,93.56,94.23,91.84,92.45,666934
2025-02-10 00:00:00+05:30,92.34,93.41,89.73,90.27,348095
2025-02-11 00:00:00+05:30,90.01,90.79,84.9,85.33,1300209
2025-02-12 00:00:00+05:30,87.04,87.04,82.88,85.9,1319085
2025-02-13 00:00:00+05:30,86.89,89.45,85.22,85.67,1046839
2025-02-14 00:00:00+05:30,86.98,86.98,81.15,82.11,1367227
2025-02-17 00:00:00+05:30,81.97,83.61,79.32,82.0,1160272
2025-02-18 00:00:00+05:30,82.05,82.38,77.12,77.73,875799
2025-02-19 00:00:00+05:30,77.55,81.71,76.75,80.72,404200
2025-02-20 00:00:00+05:30,80.67,83.2,79.45,82.69,1100444
2025-02-21 00:00:00+05:30,82.0,84.43,80.4,81.13,653734
2025-02-24 00:00:00+05:30,80.01,81.1,78.81,79.95,755325
2025-02-25 00:00:00+05:30,80.26,81.01,78.2,78.65,1015779
2025-02-27 00:00:00+05:30,79.86,79.86,75.38,75.73,629521
2025-02-28 00:00:00+05:30,75.33,75.33,72.5,72.88,561137
2025-03-03 00:00:00+05:30,72.92,74.5,70.82,73.64,1835857
2025-03-04 00:00:00+05:30,72.95,75.37,72.0,74.57,520060
2025-03-05 00:00:00+05:30,75.31,79.23,74.77,79.03,1556490
2025-03-06 00:00:00+05:30,82.39,82.39,79.27,80.08,1344492
2025-03-07 00:00:00+05:30,80.09,82.25,79.46,80.75,1037465
2025-03-10 00:00:00+05:30,81.91,82.09,77.8,78.57,398998
2025-03-11 00:00:00+05:30,77.09,79.5,76.68,78.88,448295
2025-03-12 00:00:00+05:30,79.51,80.29,77.51,79.13,572904
2025-03-13 00:00:00+05:30,79.53,79.81,77.67,77.85,499774
2025-03-17 00:00:00+05:30,78.21,79.34,77.4,77.89,366813
2025-03-18 00:00:00+05:30,78.9,79.9,78.75,79.77,400756
2025-03-19 00:00:00+05:30,80.0,83.88,80.0,83.31,1232494
2025-03-20 00:00:00+05:30,84.0,84.36,81.88,82.96,687131
2025-03-21 00:00:00+05:30,82.51,84.23,82.05,83.73,593952
2025-03-24 00:00:00+05:30,84.49,86.25,84.13,85.35,1322258
2025-03-25 00:00:00+05:30,85.99,85.99,82.04,83.18,655550
2025-03-26 00:00:00+05:30,83.76,84.45,80.9,81.06,1286794
2025-03-27 00:00:00+05:30,82.61,84.69,82.05,82.81,1780948
2025-03-28 00:00:00+05:30,83.01,84.78,81.01,81.89,1903031
2025-04-01 00:00:00+05:30,80.41,82.49,80.41,81.62,696165
2025-04-02 00:00:00+05:30,81.75,83.2,79.89,82.88,706561
2025-04-03 00:00:00+05:30,81.69,84.73,81.53,84.38,590679
2025-04-04 00:00:00+05:30,84.08,85.64,81.74,82.7,597193
2025-04-07 00:00:00+05:30,75.01,80.05,75.01,79.43,737345
2025-04-08 00:00:00+05:30,80.23,83.31,79.75,83.08,757672
2025-04-09 00:00:00+05:30,82.32,87.5,81.38,87.03,2786515
2025-04-11 00:00:00+05:30,89.0,90.0,86.09,89.15,2271466
2025-04-15 00:00:00+05:30,89.94,90.45,89.3,89.75,1165584
2025-04-16 00:00:00+05:30,90.41,96.45,89.8,95.82,3536403
2025-04-17 00:00:00+05:30,96.01,100.0,96.0,98.4,5034470
2025-04-21 00:00:00+05:30,98.41,100.5,96.66,99.97,1969052
2025-04-22 00:00:00+05:30,100.02,102.5,99.05,100.2,1103808
2025-04-23 00:00:00+05:30,100.63,101.6,97.59,100.8,1678835
2025-04-24 00:00:00+05:30,100.8,101.05,99.28,99.83,686408
2025-04-25 00:00:00+05:30,99.56,100.0,94.81,95.48,992519
2025-04-28 00:00:00+05:30,93.6,99.2,93.6,98.68,770599
2025-04-29 00:00:00+05:30,98.82,100.15,97.02,97.31,1091363
2025-04-30 00:00:00+05:30,97.5,98.2,94.56,95.13,1243752
2025-05-02 00:00:00+05:30,95.15,96.88,93.37,93.95,436608
2025-05-05 00:00:00+05:30,94.11,96.95,93.49,96.17,438589
