date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,304.1,309.45,300.2,308.8,161778
2024-12-17 00:00:00+05:30,309.0,315.25,307.2,312.75,280459
2024-12-18 00:00:00+05:30,313.05,313.4,298.85,301.5,102448
2024-12-19 00:00:00+05:30,299.65,300.85,295.1,300.15,52251
2024-12-20 00:00:00+05:30,298.55,301.0,286.35,287.25,189426
2024-12-23 00:00:00+05:30,292.7,292.7,282.0,283.8,123469
2024-12-24 00:00:00+05:30,284.05,287.0,281.65,283.2,113962
2024-12-26 00:00:00+05:30,284.95,285.75,281.0,284.55,111455
2024-12-27 00:00:00+05:30,286.8,287.5,278.7,279.2,139921
2024-12-30 00:00:00+05:30,278.65,279.5,268.25,269.9,222347
2024-12-31 00:00:00+05:30,270.85,274.6,267.75,273.95,86950
2025-01-01 00:00:00+05:30,276.45,280.6,274.35,277.45,161141
2025-01-02 00:00:00+05:30,280.85,280.85,274.05,278.4,76151
2025-01-03 00:00:00+05:30,280.55,280.9,276.0,276.7,60034
2025-01-06 00:00:00+05:30,277.05,277.1,258.75,259.8,203306
2025-01-07 00:00:00+05:30,260.65,274.95,260.65,272.4,138333
2025-01-08 00:00:00+05:30,273.85,275.0,260.1,265.35,56650
2025-01-09 00:00:00+05:30,264.95,265.75,257.3,258.6,128539
2025-01-10 00:00:00+05:30,258.0,258.0,250.0,251.1,232575
2025-01-13 00:00:00+05:30,245.15,250.45,235.1,238.0,349500
2025-01-14 00:00:00+05:30,238.55,247.8,238.55,246.55,171943
2025-01-15 00:00:00+05:30,248.35,248.7,239.2,242.65,140956
2025-01-16 00:00:00+05:30,245.55,249.95,244.2,247.75,67492
2025-01-17 00:00:00+05:30,246.15,254.5,245.25,253.05,217848
2025-01-20 00:00:00+05:30,253.2,254.35,248.95,250.05,140712
2025-01-21 00:00:00+05:30,251.75,252.0,241.35,242.4,93643
2025-01-22 00:00:00+05:30,242.0,244.55,236.7,243.15,62554
2025-01-23 00:00:00+05:30,244.0,247.8,240.15,246.9,111037
2025-01-24 00:00:00+05:30,248.05,248.05,235.05,236.15,81784
2025-01-27 00:00:00+05:30,235.75,235.75,225.7,229.05,245926
2025-01-28 00:00:00+05:30,232.0,234.6,217.55,225.2,193498
2025-01-29 00:00:00+05:30,226.1,240.55,226.1,236.9,234027
2025-01-30 00:00:00+05:30,237.0,246.0,234.0,242.1,111752
2025-01-31 00:00:00+05:30,242.45,252.9,240.15,252.3,265006
2025-02-01 00:00:00+05:30,254.25,261.85,230.5,231.45,372946
2025-02-03 00:00:00+05:30,232.65,232.65,211.3,217.1,404448
2025-02-04 00:00:00+05:30,220.05,235.05,220.05,233.1,405685
2025-02-05 00:00:00+05:30,232.95,247.55,232.9,240.0,374174
2025-02-06 00:00:00+05:30,241.8,241.8,233.55,237.5,236415
2025-02-07 00:00:00+05:30,221.55,221.55,202.85,207.5,1254836
2025-02-10 00:00:00+05:30,209.6,212.95,204.0,207.8,924900
2025-02-11 00:00:00+05:30,208.95,208.95,193.2,196.4,441087
2025-02-12 00:00:00+05:30,196.4,206.15,191.85,200.0,537450
2025-02-13 00:00:00+05:30,202.95,204.3,196.85,197.7,274815
2025-02-14 00:00:00+05:30,197.85,198.95,185.25,187.65,497076
2025-02-17 00:00:00+05:30,189.95,192.3,182.9,190.8,586396
2025-02-18 00:00:00+05:30,190.75,190.75,183.05,186.0,352990
2025-02-19 00:00:00+05:30,185.15,192.65,183.25,189.1,140449
2025-02-20 00:00:00+05:30,190.25,195.75,188.35,192.75,446174
2025-02-21 00:00:00+05:30,192.65,197.7,186.45,186.9,174085
2025-02-24 00:00:00+05:30,186.0,186.7,182.65,185.15,321469
2025-02-25 00:00:00+05:30,185.75,187.5,180.0,181.0,240707
2025-02-27 00:00:00+05:30,181.2,181.6,177.05,178.75,144433
2025-02-28 00:00:00+05:30,175.15,180.05,173.1,175.0,674214
2025-03-03 00:00:00+05:30,178.2,179.95,169.95,176.75,580652
2025-03-04 00:00:00+05:30,173.35,180.0,172.8,178.3,334848
2025-03-05 00:00:00+05:30,177.45,187.2,176.5,186.6,356233
2025-03-06 00:00:00+05:30,188.15,190.3,186.0,186.75,223275
2025-03-07 00:00:00+05:30,186.95,187.6,183.9,184.7,231064
2025-03-10 00:00:00+05:30,185.8,187.05,181.85,182.9,120356
2025-03-11 00:00:00+05:30,182.05,187.1,179.1,184.95,359732
2025-03-12 00:00:00+05:30,186.65,189.2,184.1,185.75,101412
2025-03-13 00:00:00+05:30,186.8,189.95,184.0,186.1,119161
2025-03-17 00:00:00+05:30,186.75,188.7,183.65,184.15,199443
2025-03-18 00:00:00+05:30,184.65,192.05,184.35,191.25,275062
2025-03-19 00:00:00+05:30,194.2,197.45,192.05,196.95,355689
2025-03-20 00:00:00+05:30,207.95,208.65,199.55,201.5,1233043
2025-03-21 00:00:00+05:30,202.25,207.25,199.1,206.05,666269
2025-03-24 00:00:00+05:30,211.95,215.95,207.95,209.15,781784
2025-03-25 00:00:00+05:30,212.3,212.3,203.0,204.45,259612
2025-03-26 00:00:00+05:30,215.2,218.3,207.25,208.4,1898823
2025-03-27 00:00:00+05:30,208.65,213.4,207.65,208.6,578486
2025-03-28 00:00:00+05:30,209.2,212.45,207.65,209.5,503880
2025-04-01 00:00:00+05:30,209.5,214.6,208.2,213.2,497025
2025-04-02 00:00:00+05:30,213.5,214.35,210.0,214.0,183604
2025-04-03 00:00:00+05:30,208.5,215.75,208.5,214.9,400538
2025-04-04 00:00:00+05:30,214.75,214.75,205.1,206.85,399224
2025-04-07 00:00:00+05:30,186.2,198.9,186.2,197.55,493283
2025-04-08 00:00:00+05:30,200.75,205.65,200.75,204.9,259078
2025-04-09 00:00:00+05:30,204.8,208.4,201.65,207.0,106393
2025-04-11 00:00:00+05:30,210.7,211.15,208.0,209.75,201044
2025-04-15 00:00:00+05:30,213.85,218.45,211.95,215.7,140227
2025-04-16 00:00:00+05:30,217.0,222.35,216.95,220.6,270376
2025-04-17 00:00:00+05:30,222.0,222.6,216.45,217.85,175997
2025-04-21 00:00:00+05:30,219.8,224.5,217.0,223.4,389803
2025-04-22 00:00:00+05:30,224.8,225.0,217.05,217.8,280069
2025-04-23 00:00:00+05:30,219.7,221.7,215.9,219.8,369175
2025-04-24 00:00:00+05:30,219.75,221.4,218.0,220.05,213249
2025-04-25 00:00:00+05:30,220.1,221.25,210.5,211.8,470016
2025-04-28 00:00:00+05:30,210.0,219.2,209.6,218.4,299642
2025-04-29 00:00:00+05:30,217.85,223.7,216.1,216.95,186521
2025-04-30 00:00:00+05:30,216.9,216.9,211.25,212.0,197020
2025-05-02 00:00:00+05:30,213.25,217.95,212.5,217.3,409516
2025-05-05 00:00:00+05:30,218.75,222.2,216.1,221.05,190544
2025-05-06 00:00:00+05:30,221.15,222.05,207.7,208.55,133752
2025-05-07 00:00:00+05:30,200.75,214.9,200.75,213.75,370166
2025-05-08 00:00:00+05:30,215.2,216.65,206.15,207.6,128524
2025-05-09 00:00:00+05:30,200.1,208.05,200.1,206.65,95396
2025-05-12 00:00:00+05:30,213.95,220.8,212.35,220.3,416947
2025-05-13 00:00:00+05:30,220.3,222.55,218.5,219.9,254379
2025-05-14 00:00:00+05:30,221.75,227.25,220.3,226.25,226623
2025-05-15 00:00:00+05:30,228.0,230.9,224.05,229.3,391001
2025-05-16 00:00:00+05:30,226.85,230.7,221.1,226.7,991202
2025-05-19 00:00:00+05:30,229.6,238.9,229.3,235.5,434825
2025-05-20 00:00:00+05:30,237.2,240.75,230.5,230.95,521368
2025-05-21 00:00:00+05:30,232.05,237.2,230.9,233.35,287514
2025-05-22 00:00:00+05:30,233.35,236.8,231.2,233.4,209837
2025-05-23 00:00:00+05:30,234.05,234.8,230.1,232.25,165021
2025-05-26 00:00:00+05:30,234.35,235.6,232.65,234.45,75589
2025-05-27 00:00:00+05:30,234.25,237.15,233.5,234.05,196681
2025-05-28 00:00:00+05:30,235.7,239.55,234.5,237.4,136701
2025-05-29 00:00:00+05:30,238.65,238.7,235.2,236.5,113338
2025-05-30 00:00:00+05:30,237.1,237.95,230.4,231.15,372970
2025-06-02 00:00:00+05:30,230.2,236.7,230.0,235.85,124892
2025-06-03 00:00:00+05:30,237.5,237.5,233.85,234.25,54117
2025-06-04 00:00:00+05:30,233.05,238.0,230.65,235.95,88492
2025-06-05 00:00:00+05:30,236.4,236.4,232.0,232.65,162167
2025-06-06 00:00:00+05:30,234.55,239.35,232.55,237.85,397777
2025-06-09 00:00:00+05:30,240.3,242.0,237.85,240.1,198296
2025-06-10 00:00:00+05:30,241.7,241.75,238.55,239.05,150601
2025-06-11 00:00:00+05:30,238.75,240.65,236.0,238.05,59012
2025-06-12 00:00:00+05:30,239.2,239.2,230.8,231.55,78919
2025-06-13 00:00:00+05:30,227.6,229.1,223.95,226.7,155211
2025-06-16 00:00:00+05:30,225.4,229.7,221.8,229.15,214505
2025-06-17 00:00:00+05:30,228.75,231.15,225.15,225.65,108413
2025-06-18 00:00:00+05:30,224.25,227.5,222.2,223.45,149779
2025-06-19 00:00:00+05:30,223.25,225.85,217.1,219.1,114360
2025-06-20 00:00:00+05:30,219.45,223.1,218.5,221.4,42176
2025-06-23 00:00:00+05:30,219.75,223.25,218.5,222.55,138438
2025-06-24 00:00:00+05:30,223.3,227.9,223.3,225.2,175509
2025-06-25 00:00:00+05:30,227.2,229.0,225.45,227.5,179549
2025-06-26 00:00:00+05:30,228.4,231.85,226.1,230.95,350085
2025-06-27 00:00:00+05:30,230.3,232.8,229.0,229.75,85331
2025-06-30 00:00:00+05:30,230.5,231.7,228.55,230.45,53215
2025-07-01 00:00:00+05:30,235.0,236.95,229.2,233.6,384680
2025-07-02 00:00:00+05:30,234.05,234.6,224.1,225.55,375255
2025-07-03 00:00:00+05:30,226.0,227.55,224.15,225.1,135651
2025-07-04 00:00:00+05:30,224.95,227.45,223.55,224.95,132337
2025-07-07 00:00:00+05:30,223.2,224.95,221.55,222.6,117985
2025-07-08 00:00:00+05:30,222.05,224.9,222.05,224.2,50580
2025-07-09 00:00:00+05:30,224.0,227.75,223.7,225.45,52215
2025-07-10 00:00:00+05:30,226.15,226.7,221.6,223.5,80491
2025-07-11 00:00:00+05:30,222.75,223.65,219.75,221.75,149691
2025-07-14 00:00:00+05:30,226.5,227.75,222.6,225.0,345169
2025-07-15 00:00:00+05:30,227.15,229.25,225.05,229.0,132134
2025-07-16 00:00:00+05:30,229.0,229.85,226.7,228.95,185687
2025-07-17 00:00:00+05:30,229.25,231.9,228.0,228.85,284744
2025-07-18 00:00:00+05:30,227.35,231.9,225.8,227.55,140799
2025-07-21 00:00:00+05:30,227.7,230.0,226.0,227.55,78540
2025-07-22 00:00:00+05:30,226.55,231.4,226.55,227.4,79800
2025-07-23 00:00:00+05:30,227.3,228.3,223.4,224.55,53351
2025-07-24 00:00:00+05:30,225.05,226.5,223.0,224.65,86442
2025-07-25 00:00:00+05:30,223.6,223.95,217.6,218.2,103131
2025-07-28 00:00:00+05:30,217.85,223.55,214.9,215.65,104203
2025-07-29 00:00:00+05:30,213.75,223.8,213.75,223.05,285585
2025-07-30 00:00:00+05:30,223.05,224.65,220.95,222.55,148676
2025-07-31 00:00:00+05:30,218.35,221.2,217.15,217.9,81355
2025-08-01 00:00:00+05:30,219.85,220.05,213.2,214.35,184091
2025-08-04 00:00:00+05:30,214.7,218.15,210.6,211.5,249652
2025-08-05 00:00:00+05:30,212.5,213.75,207.3,211.1,266265
2025-08-06 00:00:00+05:30,208.3,220.8,208.3,214.9,1495852
2025-08-07 00:00:00+05:30,214.05,225.3,212.3,222.05,254548
2025-08-08 00:00:00+05:30,222.55,225.9,221.1,222.2,183135
2025-08-11 00:00:00+05:30,221.1,225.4,220.35,223.75,165780
2025-08-12 00:00:00+05:30,224.35,224.35,221.45,222.85,64371
2025-08-13 00:00:00+05:30,221.2,225.0,221.2,222.55,142136
2025-08-14 00:00:00+05:30,221.3,222.35,218.0,218.35,56110
2025-08-18 00:00:00+05:30,220.0,223.05,218.05,219.0,93193
2025-08-19 00:00:00+05:30,219.05,222.5,218.2,222.1,130820
2025-08-20 00:00:00+05:30,221.15,222.35,219.7,220.9,62254
2025-08-21 00:00:00+05:30,221.0,222.25,218.35,218.85,87973
2025-08-22 00:00:00+05:30,218.25,219.95,216.6,216.95,104171
2025-08-25 00:00:00+05:30,217.25,220.9,216.0,218.65,65215
2025-08-26 00:00:00+05:30,215.65,218.6,211.55,211.9,48673
2025-08-28 00:00:00+05:30,211.9,212.0,207.3,207.85,78709
2025-08-29 00:00:00+05:30,207.85,209.65,203.75,204.6,82169
2025-09-01 00:00:00+05:30,208.05,212.8,207.35,211.1,293557
2025-09-02 00:00:00+05:30,211.2,213.65,210.2,211.15,140800
2025-09-03 00:00:00+05:30,211.95,213.6,210.95,212.9,117806
2025-09-04 00:00:00+05:30,215.15,215.15,206.55,207.35,142802
2025-09-05 00:00:00+05:30,207.05,209.05,205.0,206.5,182578
2025-09-08 00:00:00+05:30,207.85,209.75,206.2,207.5,59137
2025-09-09 00:00:00+05:30,207.75,208.8,205.3,205.75,128601
2025-09-10 00:00:00+05:30,206.95,208.8,206.25,207.15,304791
2025-09-11 00:00:00+05:30,207.05,210.25,207.05,208.1,89511
2025-09-12 00:00:00+05:30,211.25,211.25,208.0,208.7,68765
2025-09-15 00:00:00+05:30,209.35,212.75,208.15,212.1,114308
2025-09-16 00:00:00+05:30,222.1,222.5,214.75,216.05,1011211
2025-09-17 00:00:00+05:30,217.75,217.75,214.95,215.7,120275
2025-09-18 00:00:00+05:30,215.7,217.15,214.5,215.75,89022
2025-09-19 00:00:00+05:30,215.75,217.45,215.0,216.9,126189
2025-09-22 00:00:00+05:30,216.95,216.95,213.15,214.0,75239
2025-09-23 00:00:00+05:30,215.15,215.15,211.1,211.9,151034
2025-09-24 00:00:00+05:30,211.75,212.2,207.7,208.3,85807
2025-09-25 00:00:00+05:30,207.3,210.5,205.4,205.8,69538
2025-09-26 00:00:00+05:30,205.75,206.25,201.8,202.55,79009
2025-09-29 00:00:00+05:30,202.85,208.85,202.8,206.3,160326
2025-09-30 00:00:00+05:30,206.0,209.5,204.35,207.55,173882
2025-10-01 00:00:00+05:30,208.35,210.2,206.9,209.9,76261
2025-10-03 00:00:00+05:30,210.15,210.65,208.85,210.4,53746
2025-10-06 00:00:00+05:30,208.2,210.65,208.2,210.4,118678
2025-10-07 00:00:00+05:30,210.35,212.0,210.0,211.25,43562
2025-10-08 00:00:00+05:30,211.95,211.95,205.8,206.2,127454
2025-10-09 00:00:00+05:30,207.85,210.4,206.1,209.7,72426
2025-10-10 00:00:00+05:30,209.95,212.25,209.5,210.8,117789
2025-10-13 00:00:00+05:30,209.85,210.35,207.05,208.35,106461
2025-10-14 00:00:00+05:30,207.2,209.15,203.05,204.05,147329
2025-10-15 00:00:00+05:30,205.35,212.0,204.25,211.7,364812
2025-10-16 00:00:00+05:30,212.95,213.0,209.05,209.75,113038
2025-10-17 00:00:00+05:30,210.0,211.0,204.9,206.45,76620
2025-10-20 00:00:00+05:30,206.45,209.45,206.45,208.7,138374
2025-10-21 00:00:00+05:30,209.5,210.4,208.5,209.45,25948
2025-10-23 00:00:00+05:30,209.95,211.75,208.55,209.9,139491
