date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,104.8,105.9,104.65,105.05,794633
2024-12-17 00:00:00+05:30,104.95,105.25,102.75,103.0,501739
2024-12-18 00:00:00+05:30,103.0,103.0,99.8,100.15,1230813
2024-12-19 00:00:00+05:30,97.2,101.35,96.75,100.6,1208544
2024-12-20 00:00:00+05:30,100.45,100.95,97.65,97.85,1273470
2024-12-23 00:00:00+05:30,98.75,99.5,97.2,98.55,558531
2024-12-24 00:00:00+05:30,98.9,99.3,97.95,98.8,598396
2024-12-26 00:00:00+05:30,98.8,100.4,98.8,99.2,758292
2024-12-27 00:00:00+05:30,99.2,100.25,98.4,98.7,491867
2024-12-30 00:00:00+05:30,98.75,100.35,97.95,98.9,2282390
2024-12-31 00:00:00+05:30,98.2,100.05,98.2,99.85,1436514
2025-01-01 00:00:00+05:30,99.65,100.4,98.95,99.8,345702
2025-01-02 00:00:00+05:30,99.9,102.75,98.6,102.5,1833304
2025-01-03 00:00:00+05:30,102.75,104.2,102.5,103.45,1639172
2025-01-06 00:00:00+05:30,103.1,103.4,98.4,98.85,1871178
2025-01-07 00:00:00+05:30,99.0,101.65,99.0,100.15,544408
2025-01-08 00:00:00+05:30,100.3,100.55,98.25,99.1,573706
2025-01-09 00:00:00+05:30,99.2,100.1,97.95,99.35,1000549
2025-01-10 00:00:00+05:30,99.1,99.1,95.55,95.85,2152645
2025-01-13 00:00:00+05:30,95.55,95.7,92.0,92.7,3857716
2025-01-14 00:00:00+05:30,92.7,96.3,92.7,95.8,774292
2025-01-15 00:00:00+05:30,96.65,97.15,94.75,95.5,940856
2025-01-16 00:00:00+05:30,96.6,99.05,96.6,97.4,1431430
2025-01-17 00:00:00+05:30,97.6,97.85,96.55,97.35,555872
2025-01-20 00:00:00+05:30,97.75,99.85,96.7,98.2,1393591
2025-01-21 00:00:00+05:30,98.65,99.0,96.7,97.45,907429
2025-01-22 00:00:00+05:30,97.5,97.85,93.6,95.45,981642
2025-01-23 00:00:00+05:30,95.35,97.0,94.55,96.55,842009
2025-01-24 00:00:00+05:30,96.55,97.0,93.9,94.8,1190081
2025-01-27 00:00:00+05:30,94.4,94.45,92.05,92.85,664201
2025-01-28 00:00:00+05:30,93.9,97.35,93.05,97.0,2565515
2025-01-29 00:00:00+05:30,97.35,97.45,94.55,95.05,1388544
2025-01-30 00:00:00+05:30,95.45,95.7,93.3,93.85,1368825
2025-01-31 00:00:00+05:30,94.25,99.0,93.75,98.3,2993016
2025-02-01 00:00:00+05:30,99.15,99.2,95.1,96.55,750973
2025-02-03 00:00:00+05:30,95.6,96.55,94.65,95.55,2523584
2025-02-04 00:00:00+05:30,96.4,97.85,95.9,96.25,708091
