date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,334.55,336.2,331.2,334.8,304619
2024-12-17 00:00:00+05:30,332.85,335.5,328.2,330.0,152372
2024-12-18 00:00:00+05:30,325.25,329.3,320.75,321.55,225146
2024-12-19 00:00:00+05:30,315.65,323.75,315.65,321.85,191598
2024-12-20 00:00:00+05:30,321.05,325.5,313.7,315.75,383520
2024-12-23 00:00:00+05:30,318.35,318.35,311.6,315.25,128049
2024-12-24 00:00:00+05:30,314.95,316.7,308.95,310.15,249356
2024-12-26 00:00:00+05:30,310.35,313.2,308.75,310.35,144433
2024-12-27 00:00:00+05:30,310.55,312.45,308.85,309.55,197167
2024-12-30 00:00:00+05:30,308.6,311.8,306.4,308.35,161670
2024-12-31 00:00:00+05:30,308.3,309.85,305.1,308.6,183862
2025-01-01 00:00:00+05:30,308.7,311.25,306.0,310.5,89084
2025-01-02 00:00:00+05:30,310.75,317.1,308.7,315.4,451878
2025-01-03 00:00:00+05:30,316.95,317.95,313.7,316.15,307462
2025-01-06 00:00:00+05:30,314.2,316.25,304.75,306.05,249739
2025-01-07 00:00:00+05:30,305.95,310.75,303.0,305.2,622007
2025-01-08 00:00:00+05:30,305.35,307.75,303.0,306.5,213432
2025-01-09 00:00:00+05:30,307.75,307.75,303.9,305.3,247540
2025-01-10 00:00:00+05:30,303.3,305.0,298.45,299.8,541880
2025-01-13 00:00:00+05:30,294.1,298.35,287.0,287.55,796478
2025-01-14 00:00:00+05:30,286.5,293.0,286.5,290.0,405178
2025-01-15 00:00:00+05:30,295.0,302.5,291.6,298.65,183071
2025-01-16 00:00:00+05:30,301.35,301.55,296.65,297.65,329433
2025-01-17 00:00:00+05:30,297.4,305.0,295.7,302.55,140051
2025-01-20 00:00:00+05:30,303.6,308.6,302.0,306.45,263130
2025-01-21 00:00:00+05:30,306.65,309.8,301.55,302.3,1058994
2025-01-22 00:00:00+05:30,302.35,302.35,295.95,297.85,439258
2025-01-23 00:00:00+05:30,297.3,299.55,293.75,294.3,177858
2025-01-24 00:00:00+05:30,295.6,302.35,294.35,295.75,300605
2025-01-27 00:00:00+05:30,295.0,295.0,283.8,287.05,193013
2025-01-28 00:00:00+05:30,285.05,288.85,279.45,283.85,550949
2025-01-29 00:00:00+05:30,285.65,289.2,283.3,287.8,109028
2025-01-30 00:00:00+05:30,287.55,297.0,287.55,295.25,201065
2025-01-31 00:00:00+05:30,296.05,303.4,296.0,301.85,116192
2025-02-01 00:00:00+05:30,301.5,305.45,288.65,289.95,526793
2025-02-03 00:00:00+05:30,287.8,290.0,278.0,283.9,1015438
2025-02-04 00:00:00+05:30,279.15,286.35,272.3,285.75,634899
2025-02-05 00:00:00+05:30,286.85,290.7,284.35,285.15,273443
2025-02-06 00:00:00+05:30,285.3,290.8,279.8,281.25,346675
2025-02-07 00:00:00+05:30,277.0,281.9,270.05,278.3,373061
2025-02-10 00:00:00+05:30,275.95,275.95,268.1,268.7,309214
2025-02-11 00:00:00+05:30,268.5,268.85,260.0,261.5,498066
2025-02-12 00:00:00+05:30,261.45,262.1,254.0,257.3,910303
2025-02-13 00:00:00+05:30,256.65,261.3,256.1,259.1,389334
2025-02-14 00:00:00+05:30,260.1,261.3,254.7,257.35,178706
2025-02-17 00:00:00+05:30,255.55,263.7,252.1,263.15,258116
2025-02-18 00:00:00+05:30,264.0,267.85,260.3,266.75,166637
2025-02-19 00:00:00+05:30,265.1,268.5,262.4,263.15,214552
2025-02-20 00:00:00+05:30,262.35,266.5,261.5,265.8,168026
2025-02-21 00:00:00+05:30,265.65,265.65,259.45,261.75,2011132
2025-02-24 00:00:00+05:30,258.05,261.8,257.15,259.15,72662
2025-02-25 00:00:00+05:30,259.15,259.65,254.85,255.9,459377
2025-02-27 00:00:00+05:30,253.0,257.3,253.0,256.15,212921
2025-02-28 00:00:00+05:30,255.0,256.5,247.5,250.65,193046
2025-03-03 00:00:00+05:30,251.35,253.65,248.4,252.55,86184
2025-03-04 00:00:00+05:30,250.35,257.1,249.4,254.05,196413
2025-03-05 00:00:00+05:30,256.3,267.15,256.3,264.9,584379
2025-03-06 00:00:00+05:30,265.0,267.35,260.7,266.45,288577
2025-03-07 00:00:00+05:30,266.6,268.7,261.6,263.2,186171
2025-03-10 00:00:00+05:30,261.95,274.0,261.3,271.4,333451
2025-03-11 00:00:00+05:30,270.95,271.8,266.0,267.35,239262
2025-03-12 00:00:00+05:30,271.85,272.5,263.6,267.1,189105
2025-03-13 00:00:00+05:30,270.0,270.65,265.55,267.6,137442
2025-03-17 00:00:00+05:30,270.0,270.5,264.9,267.3,88753
2025-03-18 00:00:00+05:30,269.55,272.3,267.5,270.8,181587
2025-03-19 00:00:00+05:30,272.0,278.3,270.0,276.95,603834
2025-03-20 00:00:00+05:30,280.2,283.15,277.05,279.95,122052
2025-03-21 00:00:00+05:30,280.7,285.3,280.15,283.0,435426
2025-03-24 00:00:00+05:30,286.9,293.95,285.0,291.9,143476
2025-03-25 00:00:00+05:30,289.0,295.3,287.65,291.15,465907
2025-03-26 00:00:00+05:30,291.5,296.7,289.65,291.35,561809
2025-03-27 00:00:00+05:30,289.9,297.1,289.6,294.9,420329
2025-03-28 00:00:00+05:30,294.2,294.2,288.1,290.45,223033
2025-04-01 00:00:00+05:30,290.55,296.95,287.0,289.25,488351
2025-04-02 00:00:00+05:30,289.3,289.8,284.7,286.7,393822
2025-04-03 00:00:00+05:30,288.95,300.1,286.5,299.15,324642
2025-04-04 00:00:00+05:30,300.95,300.95,292.2,293.8,343282
2025-04-07 00:00:00+05:30,280.6,293.9,280.6,289.35,822899
2025-04-08 00:00:00+05:30,294.0,294.0,284.85,288.8,843946
2025-04-09 00:00:00+05:30,290.6,299.5,289.6,293.3,349569
2025-04-11 00:00:00+05:30,293.95,305.0,293.95,304.1,369398
2025-04-15 00:00:00+05:30,305.0,310.2,303.6,304.45,304148
2025-04-16 00:00:00+05:30,307.85,307.85,302.95,305.85,86032
2025-04-17 00:00:00+05:30,305.05,309.65,302.15,308.8,201591
2025-04-21 00:00:00+05:30,310.0,321.75,309.0,319.95,253681
2025-04-22 00:00:00+05:30,319.8,319.8,312.15,312.6,302805
2025-04-23 00:00:00+05:30,315.9,315.9,309.4,314.9,255885
2025-04-24 00:00:00+05:30,314.25,315.75,313.0,314.3,127328
2025-04-25 00:00:00+05:30,313.3,315.15,303.45,306.25,200793
2025-04-28 00:00:00+05:30,303.4,310.9,303.4,308.65,96270
2025-04-29 00:00:00+05:30,307.75,310.8,301.25,303.25,330492
2025-04-30 00:00:00+05:30,303.65,310.0,303.65,306.65,347597
2025-05-02 00:00:00+05:30,305.05,308.95,302.15,304.05,77565
2025-05-05 00:00:00+05:30,304.45,310.5,304.45,308.55,300339
2025-05-06 00:00:00+05:30,307.1,310.3,305.65,307.7,608695
2025-05-07 00:00:00+05:30,305.05,313.2,305.05,311.25,735819
2025-05-08 00:00:00+05:30,314.0,317.35,304.35,307.85,404161
2025-05-09 00:00:00+05:30,299.55,303.1,296.4,299.55,168051
2025-05-12 00:00:00+05:30,303.3,310.95,303.3,309.05,315950
2025-05-13 00:00:00+05:30,303.85,308.9,298.0,298.55,857021
2025-05-14 00:00:00+05:30,299.8,300.0,294.1,296.05,334608
2025-05-15 00:00:00+05:30,296.0,300.4,291.15,299.6,593763
2025-05-16 00:00:00+05:30,299.7,301.6,295.9,300.3,201773
2025-05-19 00:00:00+05:30,302.65,304.4,299.35,304.1,402840
2025-05-20 00:00:00+05:30,304.6,305.15,297.25,298.0,598149
2025-05-21 00:00:00+05:30,297.3,302.05,295.65,296.15,359314
2025-05-22 00:00:00+05:30,296.15,296.45,286.6,291.0,671540
