date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,1298.0,1380.0,1297.05,1373.05,507745
2024-12-17 00:00:00+05:30,1372.8,1387.1,1319.05,1323.45,94946
2024-12-18 00:00:00+05:30,1349.95,1349.95,1277.65,1290.5,77770
2024-12-19 00:00:00+05:30,1260.0,1316.7,1254.1,1294.75,173274
2024-12-20 00:00:00+05:30,1319.75,1354.9,1289.95,1297.45,113535
2024-12-23 00:00:00+05:30,1310.15,1338.95,1284.4,1321.2,129746
2024-12-24 00:00:00+05:30,1321.2,1338.0,1308.0,1319.2,53098
2024-12-26 00:00:00+05:30,1322.05,1336.0,1271.55,1283.35,68409
2024-12-27 00:00:00+05:30,1285.0,1324.75,1284.0,1309.8,56642
2024-12-30 00:00:00+05:30,1315.65,1364.0,1298.0,1335.7,79492
2024-12-31 00:00:00+05:30,1332.0,1360.0,1299.6,1352.55,158653
2025-01-01 00:00:00+05:30,1358.8,1384.0,1327.15,1332.45,68862
2025-01-02 00:00:00+05:30,1347.85,1347.85,1309.0,1327.0,47081
2025-01-03 00:00:00+05:30,1331.65,1378.15,1318.9,1324.95,85379
2025-01-06 00:00:00+05:30,1330.25,1339.35,1250.0,1273.85,151645
2025-01-07 00:00:00+05:30,1275.4,1310.4,1271.6,1303.35,54035
2025-01-08 00:00:00+05:30,1300.0,1302.55,1220.1,1253.9,72531
2025-01-09 00:00:00+05:30,1242.4,1253.35,1200.95,1210.95,38361
2025-01-10 00:00:00+05:30,1198.05,1208.2,1116.2,1127.2,80780
2025-01-13 00:00:00+05:30,1108.4,1169.95,1088.15,1096.35,180210
2025-01-14 00:00:00+05:30,1113.05,1135.35,1087.75,1115.4,138097
2025-01-15 00:00:00+05:30,1169.9,1179.2,1127.0,1146.2,117640
2025-01-16 00:00:00+05:30,1169.0,1183.5,1157.65,1170.6,38455
2025-01-17 00:00:00+05:30,1170.6,1170.6,1135.0,1141.45,81477
2025-01-20 00:00:00+05:30,1142.65,1198.5,1142.65,1194.35,103817
2025-01-21 00:00:00+05:30,1185.15,1211.9,1169.0,1176.0,72922
2025-01-22 00:00:00+05:30,1176.45,1177.75,1023.05,1039.1,153059
2025-01-23 00:00:00+05:30,1028.2,1056.85,1011.35,1037.1,172121
2025-01-24 00:00:00+05:30,1040.0,1062.65,973.0,999.8,213653
2025-01-27 00:00:00+05:30,979.35,991.0,925.0,932.35,222016
2025-01-28 00:00:00+05:30,932.35,944.5,818.2,879.7,187541
2025-01-29 00:00:00+05:30,892.75,945.75,881.2,940.2,124459
2025-01-30 00:00:00+05:30,947.95,967.0,918.5,949.6,121391
2025-01-31 00:00:00+05:30,995.05,1047.5,977.0,1031.45,404970
2025-02-01 00:00:00+05:30,1041.0,1118.0,1040.0,1094.45,199887
2025-02-03 00:00:00+05:30,1080.0,1080.95,1018.9,1067.75,190998
2025-02-04 00:00:00+05:30,1146.55,1177.6,998.2,1018.2,485973
2025-02-05 00:00:00+05:30,1031.05,1048.65,1014.35,1019.9,99912
2025-02-06 00:00:00+05:30,1028.0,1042.6,1016.5,1022.8,53124
2025-02-07 00:00:00+05:30,1022.8,1041.1,1011.2,1036.55,123541
2025-02-10 00:00:00+05:30,1034.95,1034.95,978.5,982.85,108254
2025-02-11 00:00:00+05:30,984.85,984.85,915.05,933.9,113231
2025-02-12 00:00:00+05:30,930.0,983.55,894.8,969.85,176164
2025-02-13 00:00:00+05:30,980.0,1020.0,965.0,1001.3,137992
2025-02-14 00:00:00+05:30,1018.0,1018.4,953.8,962.1,96027
2025-02-17 00:00:00+05:30,960.0,978.0,927.25,970.05,91618
