date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,174.05,176.4,171.35,172.1,343450
2024-12-17 00:00:00+05:30,172.75,172.95,166.0,166.9,235291
2024-12-18 00:00:00+05:30,166.05,172.45,164.95,165.85,425469
2024-12-19 00:00:00+05:30,163.2,165.3,162.5,164.3,177152
2024-12-20 00:00:00+05:30,164.35,164.5,151.35,152.75,983628
2024-12-23 00:00:00+05:30,153.4,156.5,152.8,154.9,295620
2024-12-24 00:00:00+05:30,156.0,163.9,154.75,163.15,519971
2024-12-26 00:00:00+05:30,164.6,168.8,161.35,162.5,420817
2024-12-27 00:00:00+05:30,164.2,164.2,157.05,160.2,731053
2024-12-30 00:00:00+05:30,160.45,161.85,155.9,156.85,390694
2024-12-31 00:00:00+05:30,156.0,158.45,155.25,158.0,256517
2025-01-01 00:00:00+05:30,158.0,159.2,156.55,157.8,229341
2025-01-02 00:00:00+05:30,158.05,160.15,153.75,159.15,795570
2025-01-03 00:00:00+05:30,160.3,164.0,158.5,162.55,619989
2025-01-06 00:00:00+05:30,164.75,169.6,162.2,166.85,751707
2025-01-07 00:00:00+05:30,167.3,169.2,164.4,166.05,397675
2025-01-08 00:00:00+05:30,166.2,166.2,159.8,161.85,398395
2025-01-09 00:00:00+05:30,162.1,164.0,157.55,158.6,243710
2025-01-10 00:00:00+05:30,158.45,158.9,152.9,154.35,380529
2025-01-13 00:00:00+05:30,153.7,153.7,147.45,149.5,473877
2025-01-14 00:00:00+05:30,149.55,156.05,149.55,154.35,344566
2025-01-15 00:00:00+05:30,154.55,158.7,154.5,157.15,344618
2025-01-16 00:00:00+05:30,159.2,160.65,157.1,158.55,280382
2025-01-17 00:00:00+05:30,159.7,159.7,154.7,155.1,292921
2025-01-20 00:00:00+05:30,146.0,159.45,146.0,158.5,1161720
2025-01-21 00:00:00+05:30,157.8,160.5,154.0,158.55,523146
2025-01-22 00:00:00+05:30,158.6,158.9,151.1,155.05,467620
2025-01-23 00:00:00+05:30,154.4,157.0,153.35,155.95,138863
2025-01-24 00:00:00+05:30,154.8,162.75,153.0,155.65,348063
2025-01-27 00:00:00+05:30,154.2,154.45,148.05,149.95,202539
2025-01-28 00:00:00+05:30,152.2,157.45,150.0,155.4,474883
2025-01-29 00:00:00+05:30,156.85,159.8,155.45,157.8,166571
2025-01-30 00:00:00+05:30,157.05,164.0,157.05,162.55,228772
2025-01-31 00:00:00+05:30,165.0,166.5,162.05,164.8,333906
2025-02-01 00:00:00+05:30,161.85,167.5,161.85,166.55,521096
2025-02-03 00:00:00+05:30,165.65,167.9,162.4,164.4,151847
2025-02-04 00:00:00+05:30,165.25,169.15,165.25,165.95,264503
2025-02-05 00:00:00+05:30,167.05,174.4,167.05,171.0,269495
2025-02-06 00:00:00+05:30,172.1,172.2,167.0,168.35,149481
2025-02-07 00:00:00+05:30,169.45,169.9,164.8,169.35,306743
2025-02-10 00:00:00+05:30,168.4,169.75,165.0,168.2,92990
2025-02-11 00:00:00+05:30,167.8,169.0,162.15,162.95,85335
2025-02-12 00:00:00+05:30,162.55,163.5,156.15,160.3,131749
2025-02-13 00:00:00+05:30,160.9,165.9,160.4,164.55,95467
2025-02-14 00:00:00+05:30,167.25,168.15,155.5,156.65,124016
2025-02-17 00:00:00+05:30,156.0,157.75,152.5,155.6,82060
2025-02-18 00:00:00+05:30,157.95,157.95,150.0,151.1,104549
2025-02-19 00:00:00+05:30,150.35,162.0,149.1,161.2,972649
2025-02-20 00:00:00+05:30,159.05,161.2,157.55,160.1,149786
2025-02-21 00:00:00+05:30,160.0,164.8,159.75,162.5,140424
2025-02-24 00:00:00+05:30,161.5,162.0,157.55,161.2,139619
2025-02-25 00:00:00+05:30,161.4,164.35,157.25,158.4,156674
2025-02-27 00:00:00+05:30,163.3,168.9,161.55,162.75,448859
2025-02-28 00:00:00+05:30,162.05,162.7,155.5,158.3,122164
2025-03-03 00:00:00+05:30,159.7,160.2,152.2,154.95,171023
2025-03-04 00:00:00+05:30,155.1,156.7,150.65,155.0,189448
2025-03-05 00:00:00+05:30,154.7,159.2,154.6,158.25,269378
2025-03-06 00:00:00+05:30,159.1,163.95,159.1,162.7,791811
