date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,295.9,300.0,285.3,289.85,69400
2024-12-17 00:00:00+05:30,290.2,295.0,285.0,286.6,35125
2024-12-18 00:00:00+05:30,291.0,291.0,277.0,279.9,32372
2024-12-19 00:00:00+05:30,271.5,293.85,271.5,293.85,263379
2024-12-20 00:00:00+05:30,296.7,304.0,282.25,287.25,226844
2024-12-23 00:00:00+05:30,289.4,298.0,284.0,289.25,52301
2024-12-24 00:00:00+05:30,289.0,303.7,285.1,302.5,240544
2024-12-26 00:00:00+05:30,302.3,308.0,300.0,303.0,122466
2024-12-27 00:00:00+05:30,309.8,310.0,297.8,299.9,116470
2024-12-30 00:00:00+05:30,299.0,302.0,290.1,295.95,89246
2024-12-31 00:00:00+05:30,293.95,306.95,292.0,304.0,161254
2025-01-01 00:00:00+05:30,304.05,319.2,303.25,319.2,1181185
2025-01-02 00:00:00+05:30,318.0,328.0,316.0,323.95,421015
2025-01-03 00:00:00+05:30,322.65,328.35,318.0,319.0,227653
2025-01-06 00:00:00+05:30,318.85,320.4,303.05,303.05,282144
2025-01-07 00:00:00+05:30,298.65,311.95,298.25,309.4,151172
2025-01-08 00:00:00+05:30,309.6,311.4,298.1,301.95,103315
2025-01-09 00:00:00+05:30,302.05,302.25,286.9,286.9,192739
2025-01-10 00:00:00+05:30,291.85,301.2,283.45,292.15,325026
2025-01-13 00:00:00+05:30,289.1,296.65,277.55,277.55,636237
2025-01-14 00:00:00+05:30,277.55,286.5,273.4,275.25,258776
2025-01-15 00:00:00+05:30,275.85,279.45,270.75,275.25,171963
2025-01-16 00:00:00+05:30,277.15,282.75,277.05,279.05,210453
2025-01-17 00:00:00+05:30,279.0,289.45,278.5,285.7,107393
2025-01-20 00:00:00+05:30,288.7,289.0,279.55,281.5,141086
2025-01-21 00:00:00+05:30,281.5,284.2,272.3,275.75,190981
2025-01-22 00:00:00+05:30,282.0,283.6,268.35,274.2,81724
2025-01-23 00:00:00+05:30,278.8,281.45,273.1,274.55,82558
2025-01-24 00:00:00+05:30,275.1,277.2,260.9,262.75,146523
2025-01-27 00:00:00+05:30,257.9,260.8,249.65,249.65,190417
2025-01-28 00:00:00+05:30,250.5,251.5,237.2,240.95,435408
2025-01-29 00:00:00+05:30,242.05,251.95,237.75,247.7,486282
2025-01-30 00:00:00+05:30,248.45,253.8,244.5,251.2,628111
2025-01-31 00:00:00+05:30,250.45,253.45,247.25,250.3,167462
2025-02-01 00:00:00+05:30,252.65,254.75,241.65,246.55,125951
2025-02-03 00:00:00+05:30,236.55,240.3,234.25,234.25,178597
2025-02-04 00:00:00+05:30,234.25,245.95,231.8,245.9,391399
2025-02-05 00:00:00+05:30,244.45,258.15,244.0,254.25,294154
2025-02-06 00:00:00+05:30,257.4,276.6,257.4,272.05,557313
2025-02-07 00:00:00+05:30,271.5,288.8,268.45,286.7,427527
2025-02-10 00:00:00+05:30,293.35,302.95,276.6,284.9,617024
2025-02-11 00:00:00+05:30,283.05,283.65,263.55,268.05,341058
2025-02-12 00:00:00+05:30,265.95,275.45,252.95,267.0,466159
2025-02-13 00:00:00+05:30,269.7,277.0,263.4,267.5,267254
2025-02-14 00:00:00+05:30,270.8,270.8,243.25,250.0,406774
2025-02-17 00:00:00+05:30,232.5,252.15,230.75,244.65,476370
2025-02-18 00:00:00+05:30,248.3,256.7,243.7,248.8,824067
2025-02-19 00:00:00+05:30,245.75,263.6,243.55,256.2,1269212
2025-02-20 00:00:00+05:30,255.0,263.25,254.0,258.55,114444
2025-02-21 00:00:00+05:30,258.45,263.8,250.15,252.0,181951
2025-02-24 00:00:00+05:30,250.75,250.75,240.1,241.15,131278
2025-02-25 00:00:00+05:30,241.15,245.55,236.5,239.4,183046
2025-02-27 00:00:00+05:30,239.85,241.3,220.45,222.35,384711
2025-02-28 00:00:00+05:30,220.15,222.55,210.75,212.3,456032
2025-03-03 00:00:00+05:30,214.05,217.75,198.3,206.7,504219
2025-03-04 00:00:00+05:30,202.05,214.7,202.05,206.05,363213
2025-03-05 00:00:00+05:30,207.8,221.4,207.65,219.7,416890
2025-03-06 00:00:00+05:30,223.1,248.4,221.3,235.65,858490
2025-03-07 00:00:00+05:30,235.3,247.4,231.3,239.45,491446
2025-03-10 00:00:00+05:30,240.7,243.75,227.5,229.85,391944
2025-03-11 00:00:00+05:30,227.0,231.3,222.5,226.05,373188
