date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,467.15,475.9,466.85,469.9,376447
2024-12-17 00:00:00+05:30,472.0,481.95,465.5,468.3,687284
2024-12-18 00:00:00+05:30,465.7,466.9,453.65,457.9,433930
2024-12-19 00:00:00+05:30,430.95,450.0,430.95,448.35,429426
2024-12-20 00:00:00+05:30,459.7,459.7,431.0,433.0,214171
2024-12-23 00:00:00+05:30,435.05,442.1,426.0,429.5,163340
2024-12-24 00:00:00+05:30,429.05,434.75,426.9,428.55,90279
2024-12-26 00:00:00+05:30,428.7,432.95,425.2,427.65,210229
2024-12-27 00:00:00+05:30,427.65,432.25,424.0,425.4,81672
2024-12-30 00:00:00+05:30,425.5,429.3,404.45,409.1,163346
2024-12-31 00:00:00+05:30,414.5,439.9,414.5,422.65,1009715
2025-01-01 00:00:00+05:30,426.0,432.3,421.25,427.8,509654
2025-01-02 00:00:00+05:30,430.95,432.5,424.25,429.55,110967
2025-01-03 00:00:00+05:30,430.25,439.35,430.25,431.95,357221
2025-01-06 00:00:00+05:30,432.6,436.35,408.0,410.2,304208
2025-01-07 00:00:00+05:30,410.25,418.95,410.25,416.45,120848
2025-01-08 00:00:00+05:30,420.05,423.75,412.6,417.5,431192
2025-01-09 00:00:00+05:30,416.0,418.6,409.05,410.6,314625
2025-01-10 00:00:00+05:30,405.0,407.8,390.85,393.3,808387
2025-01-13 00:00:00+05:30,381.25,384.0,355.85,358.15,1615371
2025-01-14 00:00:00+05:30,361.55,378.95,361.2,376.85,830552
2025-01-15 00:00:00+05:30,382.95,386.85,370.65,371.9,447225
2025-01-16 00:00:00+05:30,388.0,415.0,385.75,411.0,2051844
2025-01-17 00:00:00+05:30,411.4,437.9,406.95,426.5,1085478
2025-01-20 00:00:00+05:30,429.75,437.45,416.25,431.55,964834
2025-01-21 00:00:00+05:30,433.45,435.6,416.8,419.5,391417
2025-01-22 00:00:00+05:30,421.0,423.45,398.85,408.0,769262
2025-01-23 00:00:00+05:30,408.0,427.0,405.35,418.45,863499
2025-01-24 00:00:00+05:30,419.2,423.2,408.75,410.05,515263
2025-01-27 00:00:00+05:30,401.8,405.65,390.4,400.85,370876
2025-01-28 00:00:00+05:30,406.7,413.95,385.2,407.65,966835
2025-01-29 00:00:00+05:30,408.3,430.8,407.85,427.45,865867
2025-01-30 00:00:00+05:30,434.95,444.5,429.25,437.05,557603
2025-01-31 00:00:00+05:30,441.6,481.05,436.2,476.45,2673828
