date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,311.95,318.6,308.95,317.05,4089
2024-12-17 00:00:00+05:30,327.95,327.95,309.95,314.65,3688
2024-12-18 00:00:00+05:30,318.45,318.45,308.35,309.2,6165
2024-12-19 00:00:00+05:30,303.55,310.4,302.7,308.65,5786
2024-12-20 00:00:00+05:30,302.1,318.0,302.1,311.8,9161
2024-12-23 00:00:00+05:30,318.55,325.9,307.2,317.85,141339
2024-12-24 00:00:00+05:30,322.2,333.65,320.65,324.95,11385
2024-12-26 00:00:00+05:30,330.95,331.25,319.95,321.3,10434
2024-12-27 00:00:00+05:30,321.15,332.75,321.15,330.3,13916
2024-12-30 00:00:00+05:30,332.5,337.0,326.35,332.35,15129
2024-12-31 00:00:00+05:30,332.3,338.05,321.45,330.7,9650
2025-01-01 00:00:00+05:30,325.0,349.75,325.0,344.5,18736
2025-01-02 00:00:00+05:30,349.95,350.75,337.7,341.5,9746
2025-01-03 00:00:00+05:30,344.95,370.7,342.55,349.2,140197
2025-01-06 00:00:00+05:30,340.05,374.7,340.05,354.3,91461
2025-01-07 00:00:00+05:30,360.0,362.4,351.65,354.1,15301
2025-01-08 00:00:00+05:30,354.2,354.2,336.05,339.6,14063
2025-01-09 00:00:00+05:30,332.85,347.4,332.85,343.3,14750
2025-01-10 00:00:00+05:30,350.8,350.8,327.5,329.45,13901
2025-01-13 00:00:00+05:30,315.7,326.35,315.25,320.95,14606
2025-01-14 00:00:00+05:30,327.4,333.5,314.9,328.65,16471
2025-01-15 00:00:00+05:30,337.35,337.35,320.1,330.45,18054
2025-01-16 00:00:00+05:30,325.3,330.0,319.35,323.1,9934
2025-01-17 00:00:00+05:30,320.8,323.95,315.0,317.6,7363
2025-01-20 00:00:00+05:30,318.05,318.95,310.9,315.05,7120
2025-01-21 00:00:00+05:30,309.0,319.1,309.0,311.2,10771
2025-01-22 00:00:00+05:30,317.45,318.85,307.95,310.35,11654
2025-01-23 00:00:00+05:30,317.2,317.2,303.8,305.5,15746
2025-01-24 00:00:00+05:30,305.5,308.65,301.15,305.2,9393
2025-01-27 00:00:00+05:30,304.15,307.15,290.95,294.8,6713
2025-01-28 00:00:00+05:30,288.9,296.0,283.2,286.2,8194
2025-01-29 00:00:00+05:30,299.85,299.85,287.15,290.9,8178
2025-01-30 00:00:00+05:30,286.6,293.4,286.6,290.1,10543
2025-01-31 00:00:00+05:30,304.4,304.4,284.05,289.4,42792
2025-02-01 00:00:00+05:30,288.7,321.3,288.7,315.5,28835
2025-02-03 00:00:00+05:30,307.85,345.55,292.95,327.05,72756
2025-02-04 00:00:00+05:30,318.95,326.1,312.55,321.8,22740
2025-02-05 00:00:00+05:30,328.0,328.0,315.55,318.55,11123
2025-02-06 00:00:00+05:30,324.9,327.75,312.05,317.55,85174
2025-02-07 00:00:00+05:30,325.0,330.15,299.25,322.8,26685
2025-02-10 00:00:00+05:30,316.7,324.15,308.95,311.4,15316
2025-02-11 00:00:00+05:30,305.2,313.8,301.3,303.6,6477
2025-02-12 00:00:00+05:30,300.9,305.05,292.0,296.45,15432
2025-02-13 00:00:00+05:30,297.0,307.3,292.9,297.1,14156
2025-02-14 00:00:00+05:30,294.0,306.25,294.0,299.6,12626
2025-02-17 00:00:00+05:30,309.95,309.95,285.95,298.05,15328
2025-02-18 00:00:00+05:30,316.0,316.0,293.65,308.35,15626
2025-02-19 00:00:00+05:30,314.5,314.5,300.0,308.25,25555
2025-02-20 00:00:00+05:30,308.2,320.5,304.15,319.85,13966
2025-02-21 00:00:00+05:30,319.8,333.65,319.35,327.85,18343
2025-02-24 00:00:00+05:30,327.6,331.15,310.2,312.0,55702
2025-02-25 00:00:00+05:30,315.0,327.65,314.4,320.3,20413
2025-02-27 00:00:00+05:30,320.5,322.95,305.05,307.85,7786
2025-02-28 00:00:00+05:30,301.4,313.15,300.15,310.75,12617
2025-03-03 00:00:00+05:30,306.7,327.7,300.8,325.35,47088
2025-03-04 00:00:00+05:30,315.65,323.0,313.6,319.75,32906
2025-03-05 00:00:00+05:30,316.05,323.1,307.7,310.5,12038
2025-03-06 00:00:00+05:30,310.1,345.65,310.1,326.75,223901
2025-03-07 00:00:00+05:30,323.0,341.0,317.65,337.6,39846
2025-03-10 00:00:00+05:30,334.0,336.95,321.1,325.95,26090
2025-03-11 00:00:00+05:30,324.0,329.05,297.5,323.75,41387
2025-03-12 00:00:00+05:30,324.05,326.4,309.0,315.8,23321
2025-03-13 00:00:00+05:30,314.95,317.7,301.45,303.65,38586
2025-03-17 00:00:00+05:30,304.0,309.9,294.3,295.5,20670
2025-03-18 00:00:00+05:30,293.7,311.65,293.7,310.1,27654
2025-03-19 00:00:00+05:30,309.8,314.5,303.5,304.9,18326
2025-03-20 00:00:00+05:30,307.3,312.85,298.8,299.85,10735
2025-03-21 00:00:00+05:30,301.0,320.05,299.15,314.2,37945
2025-03-24 00:00:00+05:30,308.05,318.85,306.3,307.35,20099
2025-03-25 00:00:00+05:30,302.2,310.1,294.55,300.7,14021
2025-03-26 00:00:00+05:30,301.5,301.75,288.35,290.15,20857
2025-03-27 00:00:00+05:30,294.0,307.0,288.6,298.75,44894
2025-03-28 00:00:00+05:30,293.1,301.35,292.0,294.4,12342
2025-04-01 00:00:00+05:30,298.95,298.95,289.65,294.3,6823
2025-04-02 00:00:00+05:30,291.05,302.0,291.05,298.2,8162
2025-04-03 00:00:00+05:30,298.7,305.0,296.9,303.85,9522
2025-04-04 00:00:00+05:30,303.0,309.0,293.05,295.85,11249
2025-04-07 00:00:00+05:30,242.15,294.0,242.15,292.3,9501
2025-04-08 00:00:00+05:30,298.1,298.15,287.35,291.65,15137
2025-04-09 00:00:00+05:30,291.65,293.95,287.85,293.25,5766
2025-04-11 00:00:00+05:30,299.95,306.55,295.35,305.35,19511
2025-04-15 00:00:00+05:30,308.85,315.5,305.75,307.9,16752
2025-04-16 00:00:00+05:30,306.05,309.8,300.9,307.7,6756
2025-04-17 00:00:00+05:30,307.9,310.0,302.85,303.3,4996
2025-04-21 00:00:00+05:30,311.0,316.7,305.65,315.9,19117
2025-04-22 00:00:00+05:30,304.0,323.7,304.0,321.45,8766
2025-04-23 00:00:00+05:30,321.45,341.3,313.2,338.6,71345
2025-04-24 00:00:00+05:30,330.1,341.3,330.1,340.05,22834
2025-04-25 00:00:00+05:30,333.05,337.35,322.0,323.7,10182
2025-04-28 00:00:00+05:30,322.55,324.9,319.1,320.65,2722
2025-04-29 00:00:00+05:30,324.3,325.7,318.0,320.4,6474
2025-04-30 00:00:00+05:30,318.45,324.4,315.3,316.4,3367
2025-05-02 00:00:00+05:30,316.1,325.9,314.0,318.7,1889
2025-05-05 00:00:00+05:30,324.9,324.9,313.35,315.65,7135
2025-05-06 00:00:00+05:30,322.5,322.5,313.6,315.05,3333
2025-05-07 00:00:00+05:30,311.9,319.3,300.0,313.05,23346
2025-05-08 00:00:00+05:30,308.0,312.9,297.55,299.45,14657
2025-05-09 00:00:00+05:30,283.25,305.2,283.25,300.15,38630
2025-05-12 00:00:00+05:30,309.15,313.3,304.3,307.3,7437
2025-05-13 00:00:00+05:30,313.45,313.45,301.05,304.4,5316
2025-05-14 00:00:00+05:30,306.9,309.8,304.2,306.85,6556
2025-05-15 00:00:00+05:30,306.8,310.65,305.0,307.4,8312
2025-05-16 00:00:00+05:30,314.0,333.55,308.55,331.4,50222
2025-05-19 00:00:00+05:30,329.95,338.0,324.85,326.85,24944
2025-05-20 00:00:00+05:30,333.4,339.4,328.3,329.2,8737
2025-05-21 00:00:00+05:30,330.4,331.6,319.1,321.25,7435
2025-05-22 00:00:00+05:30,320.25,324.2,313.55,315.95,4625
2025-05-23 00:00:00+05:30,318.15,323.15,315.8,318.6,1485
2025-05-26 00:00:00+05:30,312.95,336.3,312.95,323.8,7120
2025-05-27 00:00:00+05:30,324.05,327.0,315.05,316.8,9526
2025-05-28 00:00:00+05:30,316.85,316.85,310.45,312.15,7078
2025-05-29 00:00:00+05:30,312.2,318.95,310.25,317.7,9983
2025-05-30 00:00:00+05:30,312.0,320.0,312.0,318.35,6880
2025-06-02 00:00:00+05:30,316.4,321.85,315.2,317.35,8945
2025-06-03 00:00:00+05:30,321.5,322.3,309.85,311.25,2146
2025-06-04 00:00:00+05:30,311.25,320.35,311.25,316.55,6694
2025-06-05 00:00:00+05:30,321.65,329.45,320.2,325.65,8565
