date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,495.25,501.45,493.05,495.15,13818
2024-12-17 00:00:00+05:30,495.45,509.15,495.0,497.45,15823
2024-12-18 00:00:00+05:30,522.9,522.9,492.8,500.55,18581
2024-12-19 00:00:00+05:30,500.55,500.7,491.1,498.1,15642
2024-12-20 00:00:00+05:30,498.05,500.95,490.0,497.65,17740
2024-12-23 00:00:00+05:30,495.0,496.65,471.0,474.95,34169
2024-12-24 00:00:00+05:30,484.95,484.95,472.45,475.7,9423
2024-12-26 00:00:00+05:30,475.05,477.55,462.6,465.6,9244
2024-12-27 00:00:00+05:30,470.0,478.2,465.5,467.7,18520
2024-12-30 00:00:00+05:30,469.95,475.0,460.0,461.55,20782
2024-12-31 00:00:00+05:30,460.0,466.9,450.7,462.7,17188
2025-01-01 00:00:00+05:30,462.7,485.95,459.55,479.85,25897
2025-01-02 00:00:00+05:30,489.45,489.45,471.25,478.25,15289
2025-01-03 00:00:00+05:30,480.85,562.4,479.1,551.5,442498
2025-01-06 00:00:00+05:30,537.95,593.0,532.6,572.3,469814
2025-01-07 00:00:00+05:30,570.3,595.0,556.0,575.1,105726
2025-01-08 00:00:00+05:30,580.0,580.0,544.0,548.85,63322
2025-01-09 00:00:00+05:30,549.35,603.95,543.2,552.1,277579
2025-01-10 00:00:00+05:30,558.8,563.0,525.0,529.55,43198
2025-01-13 00:00:00+05:30,520.3,550.0,513.15,521.5,51434
2025-01-14 00:00:00+05:30,515.45,549.0,502.55,540.15,37964
2025-01-15 00:00:00+05:30,540.25,555.9,525.65,531.75,29429
2025-01-16 00:00:00+05:30,541.35,541.35,512.3,515.35,39743
2025-01-17 00:00:00+05:30,524.95,528.45,506.8,522.05,16167
2025-01-20 00:00:00+05:30,525.25,555.15,525.05,549.65,52152
2025-01-21 00:00:00+05:30,546.35,548.2,531.1,537.75,11004
2025-01-22 00:00:00+05:30,535.0,538.0,516.1,529.65,49019
2025-01-23 00:00:00+05:30,510.1,528.9,510.1,522.9,10987
