date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,842.4,874.6,836.0,858.15,49992
2024-12-17 00:00:00+05:30,872.6,879.95,833.1,837.65,18743
2024-12-18 00:00:00+05:30,840.0,848.3,823.25,828.0,11567
2024-12-19 00:00:00+05:30,813.7,831.35,802.85,817.2,23153
2024-12-20 00:00:00+05:30,816.2,822.5,782.5,789.45,32066
2024-12-23 00:00:00+05:30,804.4,804.4,778.35,779.2,10299
2024-12-24 00:00:00+05:30,794.75,794.75,777.75,781.7,6673
2024-12-26 00:00:00+05:30,781.05,793.5,775.4,778.35,7998
2024-12-27 00:00:00+05:30,772.5,785.9,772.5,775.8,6407
2024-12-30 00:00:00+05:30,770.0,780.65,756.0,771.9,8096
2024-12-31 00:00:00+05:30,771.5,781.25,758.2,765.7,12534
2025-01-01 00:00:00+05:30,756.0,798.75,756.0,789.7,14272
2025-01-02 00:00:00+05:30,789.75,812.4,782.5,802.05,11431
2025-01-03 00:00:00+05:30,800.45,811.45,783.65,787.0,7121
2025-01-06 00:00:00+05:30,799.95,799.95,742.95,746.35,28181
2025-01-07 00:00:00+05:30,748.4,765.0,743.8,762.7,24262
2025-01-08 00:00:00+05:30,765.0,773.95,750.9,760.2,36891
2025-01-09 00:00:00+05:30,775.25,775.25,740.05,743.25,10155
2025-01-10 00:00:00+05:30,733.3,751.0,718.8,720.1,10872
2025-01-13 00:00:00+05:30,719.6,719.6,681.5,705.5,29187
2025-01-14 00:00:00+05:30,705.0,730.0,695.5,723.6,17677
2025-01-15 00:00:00+05:30,739.0,739.0,710.05,715.35,7404
2025-01-16 00:00:00+05:30,729.4,757.55,721.0,739.25,22091
2025-01-17 00:00:00+05:30,753.05,753.05,720.15,723.9,22210
2025-01-20 00:00:00+05:30,725.95,756.0,719.3,753.0,30945
2025-01-21 00:00:00+05:30,752.5,768.3,726.0,727.8,8554
2025-01-22 00:00:00+05:30,742.4,742.4,691.0,711.65,29192
2025-01-23 00:00:00+05:30,718.75,732.55,706.4,716.45,10662
2025-01-24 00:00:00+05:30,716.5,720.4,692.0,695.3,16628
2025-01-27 00:00:00+05:30,695.35,695.35,661.0,665.45,36771
2025-01-28 00:00:00+05:30,652.2,675.2,588.8,634.05,39660
2025-01-29 00:00:00+05:30,620.95,708.25,613.95,659.5,100866
