date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,632.65,639.0,625.5,627.0,57930
2024-12-17 00:00:00+05:30,630.9,630.9,593.55,595.1,187975
2024-12-18 00:00:00+05:30,596.0,606.85,582.0,586.05,114605
2024-12-19 00:00:00+05:30,579.95,590.8,570.8,589.25,108920
2024-12-20 00:00:00+05:30,591.95,592.45,572.1,574.35,129325
2024-12-23 00:00:00+05:30,585.8,590.8,575.05,576.55,69080
2024-12-24 00:00:00+05:30,576.6,580.1,571.4,576.15,29285
2024-12-26 00:00:00+05:30,580.7,587.15,574.65,585.95,80390
2024-12-27 00:00:00+05:30,588.0,588.15,578.35,579.35,53305
2024-12-30 00:00:00+05:30,587.45,593.7,579.6,583.45,34545
2024-12-31 00:00:00+05:30,581.3,583.1,576.35,578.3,15520
2025-01-01 00:00:00+05:30,586.6,586.6,576.65,583.35,35655
2025-01-02 00:00:00+05:30,585.6,613.5,585.6,612.1,160895
2025-01-03 00:00:00+05:30,612.0,619.3,606.95,609.5,111700
2025-01-06 00:00:00+05:30,609.5,616.15,591.05,592.55,61500
2025-01-07 00:00:00+05:30,594.1,604.6,590.35,591.7,25395
2025-01-08 00:00:00+05:30,593.95,593.95,568.6,579.65,105025
2025-01-09 00:00:00+05:30,581.95,584.3,560.4,562.55,52145
2025-01-10 00:00:00+05:30,569.95,569.95,528.7,531.9,159504
2025-01-13 00:00:00+05:30,531.75,540.7,518.95,520.8,85204
2025-01-14 00:00:00+05:30,529.95,547.45,519.0,544.85,27273
2025-01-15 00:00:00+05:30,548.95,548.95,529.25,533.35,70714
2025-01-16 00:00:00+05:30,539.9,553.65,535.65,546.8,83976
2025-01-17 00:00:00+05:30,544.95,547.45,524.0,526.1,69442
2025-01-20 00:00:00+05:30,510.0,521.0,493.6,517.1,105651
2025-01-21 00:00:00+05:30,518.0,530.5,513.55,520.75,68546
2025-01-22 00:00:00+05:30,521.6,528.0,513.05,519.0,87536
2025-01-23 00:00:00+05:30,523.8,533.65,512.0,530.15,92354
2025-01-24 00:00:00+05:30,532.0,541.75,509.2,527.35,223722
2025-01-27 00:00:00+05:30,527.3,530.4,509.0,511.65,114323
2025-01-28 00:00:00+05:30,523.4,542.0,508.95,529.75,239517
2025-01-29 00:00:00+05:30,530.2,555.7,530.2,553.45,127350
2025-01-30 00:00:00+05:30,559.95,559.95,536.6,538.4,101745
2025-01-31 00:00:00+05:30,539.2,550.6,536.2,543.8,106251
2025-02-01 00:00:00+05:30,549.75,549.75,518.0,531.4,166307
2025-02-03 00:00:00+05:30,529.7,552.0,516.6,546.05,129421
2025-02-04 00:00:00+05:30,556.05,579.85,545.45,576.75,154690
2025-02-05 00:00:00+05:30,579.45,590.85,569.4,570.95,205122
2025-02-06 00:00:00+05:30,571.3,571.3,554.7,566.4,69170
2025-02-07 00:00:00+05:30,566.6,579.15,554.85,559.3,199955
2025-02-10 00:00:00+05:30,560.05,565.8,546.85,560.5,66149
2025-02-11 00:00:00+05:30,566.05,566.5,533.8,538.15,74784
2025-02-12 00:00:00+05:30,536.05,550.95,527.45,548.0,74993
2025-02-13 00:00:00+05:30,557.95,560.0,538.05,548.25,105397
2025-02-14 00:00:00+05:30,549.55,555.2,527.0,539.05,204045
2025-02-17 00:00:00+05:30,539.95,552.0,526.0,550.6,79394
2025-02-18 00:00:00+05:30,550.05,554.55,539.25,553.15,95983
2025-02-19 00:00:00+05:30,550.1,559.95,548.05,557.2,44823
2025-02-20 00:00:00+05:30,551.75,582.5,551.75,581.05,78088
2025-02-21 00:00:00+05:30,581.45,594.55,577.25,585.35,186559
2025-02-24 00:00:00+05:30,580.45,581.7,568.9,577.2,86722
2025-02-25 00:00:00+05:30,580.05,586.05,572.45,574.15,119176
2025-02-27 00:00:00+05:30,583.15,609.4,581.8,607.0,195938
2025-02-28 00:00:00+05:30,607.05,620.0,602.35,617.55,702318
2025-03-03 00:00:00+05:30,629.5,629.95,614.55,621.4,205667
2025-03-04 00:00:00+05:30,617.0,635.45,611.0,632.75,190171
2025-03-05 00:00:00+05:30,631.05,637.05,622.0,631.45,291569
2025-03-06 00:00:00+05:30,641.9,650.7,636.85,644.3,205351
2025-03-07 00:00:00+05:30,645.0,647.4,627.45,631.0,71037
2025-03-10 00:00:00+05:30,635.0,641.6,622.8,625.8,90835
2025-03-11 00:00:00+05:30,622.05,640.35,615.35,638.55,191618
2025-03-12 00:00:00+05:30,639.7,647.25,628.95,636.75,121348
2025-03-13 00:00:00+05:30,641.95,642.95,617.6,619.6,62906
2025-03-17 00:00:00+05:30,616.35,629.65,615.0,623.1,70181
2025-03-18 00:00:00+05:30,634.0,645.6,627.0,643.25,87800
2025-03-19 00:00:00+05:30,645.8,677.5,638.0,669.15,486469
2025-03-20 00:00:00+05:30,683.05,693.55,664.8,667.9,218113
