date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,428.3,430.45,424.5,425.4,189176
2024-12-17 00:00:00+05:30,425.0,428.1,419.5,420.6,193926
2024-12-18 00:00:00+05:30,421.3,421.3,413.2,415.05,185498
2024-12-19 00:00:00+05:30,410.0,413.85,406.4,412.6,534719
2024-12-20 00:00:00+05:30,411.0,415.5,400.1,401.25,428743
2024-12-23 00:00:00+05:30,403.45,406.35,396.85,399.85,1541331
2024-12-24 00:00:00+05:30,400.9,405.35,398.4,399.4,252541
2024-12-26 00:00:00+05:30,401.65,407.95,397.8,403.8,277793
2024-12-27 00:00:00+05:30,406.0,408.2,398.25,399.1,537484
2024-12-30 00:00:00+05:30,399.15,400.4,387.3,390.3,990052
2024-12-31 00:00:00+05:30,389.15,395.0,385.45,392.4,782500
2025-01-01 00:00:00+05:30,393.0,394.55,389.35,392.4,461683
2025-01-02 00:00:00+05:30,393.0,396.9,387.5,395.55,618699
2025-01-03 00:00:00+05:30,396.0,402.9,395.0,396.65,1564367
2025-01-06 00:00:00+05:30,396.65,397.0,377.15,378.8,593147
2025-01-07 00:00:00+05:30,379.6,384.5,377.5,378.9,682914
2025-01-08 00:00:00+05:30,379.15,380.3,372.05,373.95,852696
2025-01-09 00:00:00+05:30,374.05,376.0,366.15,367.1,301144
2025-01-10 00:00:00+05:30,367.1,367.7,355.1,356.3,438198
2025-01-13 00:00:00+05:30,352.6,354.9,338.5,340.1,483665
2025-01-14 00:00:00+05:30,340.9,358.3,340.9,357.15,955194
2025-01-15 00:00:00+05:30,360.7,371.5,355.85,365.5,996448
2025-01-16 00:00:00+05:30,372.25,373.8,368.15,368.95,542209
2025-01-17 00:00:00+05:30,368.85,375.45,365.05,373.65,570677
2025-01-20 00:00:00+05:30,374.45,376.15,371.0,374.45,414419
2025-01-21 00:00:00+05:30,374.9,376.2,365.35,365.95,205312
2025-01-22 00:00:00+05:30,368.4,368.4,352.2,358.75,785600
2025-01-23 00:00:00+05:30,357.7,365.85,355.55,362.8,172325
2025-01-24 00:00:00+05:30,362.3,370.75,362.3,363.35,731511
2025-01-27 00:00:00+05:30,361.4,361.4,350.2,351.85,446025
2025-01-28 00:00:00+05:30,355.1,356.3,343.35,346.3,318781
2025-01-29 00:00:00+05:30,346.3,352.4,345.0,351.05,659727
