date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,1333.9,1342.0,1305.0,1307.1,27117
2024-12-17 00:00:00+05:30,1307.0,1307.0,1289.0,1291.15,17727
2024-12-18 00:00:00+05:30,1270.05,1300.6,1252.25,1255.45,83933
2024-12-19 00:00:00+05:30,1238.95,1267.75,1233.45,1254.3,27854
2024-12-20 00:00:00+05:30,1260.0,1265.0,1212.1,1217.4,17575
2024-12-23 00:00:00+05:30,1230.0,1238.0,1185.15,1188.2,33223
2024-12-24 00:00:00+05:30,1202.75,1258.25,1194.0,1224.75,111223
2024-12-26 00:00:00+05:30,1237.35,1237.35,1196.8,1201.7,15278
2024-12-27 00:00:00+05:30,1211.7,1223.5,1191.45,1199.4,45540
2024-12-30 00:00:00+05:30,1188.75,1200.0,1171.35,1174.8,19793
2024-12-31 00:00:00+05:30,1172.35,1194.7,1155.05,1184.2,21116
2025-01-01 00:00:00+05:30,1171.0,1190.15,1169.7,1180.5,21184
2025-01-02 00:00:00+05:30,1189.0,1218.95,1181.2,1212.3,30213
2025-01-03 00:00:00+05:30,1210.6,1220.0,1193.0,1196.0,15000
2025-01-06 00:00:00+05:30,1200.1,1200.1,1122.1,1133.4,99853
2025-01-07 00:00:00+05:30,1134.45,1175.0,1134.45,1168.45,27264
2025-01-08 00:00:00+05:30,1164.05,1175.0,1135.5,1146.95,40531
2025-01-09 00:00:00+05:30,1135.0,1135.0,1101.0,1105.05,30662
2025-01-10 00:00:00+05:30,1100.1,1109.35,1056.9,1062.4,92338
2025-01-13 00:00:00+05:30,1038.95,1055.0,975.0,987.65,151358
2025-01-14 00:00:00+05:30,992.05,1066.0,992.05,1056.75,46057
2025-01-15 00:00:00+05:30,1072.95,1072.95,1037.65,1046.7,31809
2025-01-16 00:00:00+05:30,1070.0,1096.0,1045.8,1050.35,77283
2025-01-17 00:00:00+05:30,1055.2,1066.3,1038.5,1059.8,29837
2025-01-20 00:00:00+05:30,1069.0,1150.0,1055.0,1132.1,148996
2025-01-21 00:00:00+05:30,1135.3,1135.3,1061.5,1072.6,45863
2025-01-22 00:00:00+05:30,1079.05,1114.45,1048.0,1096.8,106895
2025-01-23 00:00:00+05:30,1091.05,1125.0,1082.0,1096.75,63018
2025-01-24 00:00:00+05:30,1046.4,1048.0,985.3,993.45,310362
2025-01-27 00:00:00+05:30,973.45,973.9,861.45,894.9,287471
2025-01-28 00:00:00+05:30,894.9,894.9,822.7,856.75,111494
2025-01-29 00:00:00+05:30,860.3,893.95,860.0,886.75,117338
2025-01-30 00:00:00+05:30,891.0,924.5,857.5,868.4,138144
2025-01-31 00:00:00+05:30,873.2,921.9,860.05,916.4,133536
2025-02-01 00:00:00+05:30,927.8,948.05,882.8,887.0,134882
2025-02-03 00:00:00+05:30,869.05,886.2,845.5,851.75,97236
2025-02-04 00:00:00+05:30,857.9,894.6,855.0,879.75,150379
2025-02-05 00:00:00+05:30,880.15,909.0,880.15,890.5,38182
2025-02-06 00:00:00+05:30,890.95,890.95,864.55,871.85,33181
2025-02-07 00:00:00+05:30,867.85,887.5,860.2,869.7,41008
2025-02-10 00:00:00+05:30,875.0,882.3,846.45,857.3,71607
2025-02-11 00:00:00+05:30,856.85,856.9,815.0,825.5,50199
2025-02-12 00:00:00+05:30,825.0,834.95,782.15,821.75,133291
2025-02-13 00:00:00+05:30,815.0,848.0,815.0,828.4,86283
2025-02-14 00:00:00+05:30,828.4,832.4,775.4,780.95,145404
2025-02-17 00:00:00+05:30,782.95,791.7,748.0,778.95,137626
2025-02-18 00:00:00+05:30,780.2,785.55,750.1,769.65,70566
