date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,36.73,37.33,36.39,36.78,1951309
2024-12-17 00:00:00+05:30,37.28,37.28,35.81,36.1,1045754
2024-12-18 00:00:00+05:30,35.94,35.94,35.0,35.13,1842113
2024-12-19 00:00:00+05:30,34.42,35.12,34.2,34.83,1130984
2024-12-20 00:00:00+05:30,34.86,35.48,34.03,34.24,1145389
2024-12-23 00:00:00+05:30,34.27,34.83,33.46,33.54,582897
2024-12-24 00:00:00+05:30,33.51,34.06,33.28,33.41,552825
2024-12-26 00:00:00+05:30,33.45,33.71,33.22,33.34,281265
2024-12-27 00:00:00+05:30,33.17,33.55,33.09,33.18,888301
2024-12-30 00:00:00+05:30,33.22,33.46,32.65,32.92,1242265
2024-12-31 00:00:00+05:30,32.7,33.55,32.47,33.44,844074
2025-01-01 00:00:00+05:30,33.41,34.03,33.35,33.9,942599
2025-01-02 00:00:00+05:30,34.04,34.27,33.65,34.04,798434
2025-01-03 00:00:00+05:30,34.39,34.85,33.95,34.11,1047286
2025-01-06 00:00:00+05:30,34.11,34.29,32.42,32.59,1366381
2025-01-07 00:00:00+05:30,32.4,33.08,32.17,32.97,1359151
2025-01-08 00:00:00+05:30,32.96,33.09,32.3,32.55,608042
2025-01-09 00:00:00+05:30,32.43,32.75,32.06,32.17,795171
2025-01-10 00:00:00+05:30,32.15,32.3,31.15,31.44,502214
2025-01-13 00:00:00+05:30,31.12,31.25,29.6,29.77,1696627
2025-01-14 00:00:00+05:30,30.33,31.46,29.97,31.19,1162328
2025-01-15 00:00:00+05:30,31.33,32.18,31.31,31.63,1109879
2025-01-16 00:00:00+05:30,31.96,32.06,31.77,31.95,594771
2025-01-17 00:00:00+05:30,31.95,32.25,31.45,32.13,579957
2025-01-20 00:00:00+05:30,32.56,32.8,32.18,32.39,559094
2025-01-21 00:00:00+05:30,32.4,32.68,31.82,32.0,683374
2025-01-22 00:00:00+05:30,32.0,32.0,31.0,31.5,398819
2025-01-23 00:00:00+05:30,31.25,31.7,31.08,31.29,551919
2025-01-24 00:00:00+05:30,31.47,31.69,31.0,31.07,766348
2025-01-27 00:00:00+05:30,28.31,30.0,28.31,29.39,3748053
2025-01-28 00:00:00+05:30,30.02,30.3,28.52,28.93,1436308
2025-01-29 00:00:00+05:30,28.14,30.55,28.14,30.26,1119021
2025-01-30 00:00:00+05:30,30.34,31.0,29.94,30.7,1015292
2025-01-31 00:00:00+05:30,30.6,31.2,30.35,31.09,733309
2025-02-01 00:00:00+05:30,31.68,32.44,30.59,30.8,506011
2025-02-03 00:00:00+05:30,30.47,31.44,30.26,30.81,1221484
2025-02-04 00:00:00+05:30,31.0,31.53,31.0,31.25,387183
2025-02-05 00:00:00+05:30,31.44,31.49,31.01,31.12,553139
2025-02-06 00:00:00+05:30,31.25,31.35,30.88,31.03,488796
2025-02-07 00:00:00+05:30,31.1,31.27,30.21,30.38,260092
2025-02-10 00:00:00+05:30,30.48,30.67,29.56,29.67,544342
2025-02-11 00:00:00+05:30,29.85,30.04,28.82,28.96,415864
2025-02-12 00:00:00+05:30,28.81,29.09,27.68,28.58,728248
2025-02-13 00:00:00+05:30,28.61,29.31,28.25,28.5,785787
2025-02-14 00:00:00+05:30,28.61,28.72,27.66,27.84,1020611
2025-02-17 00:00:00+05:30,27.93,28.1,27.0,27.83,1506025
2025-02-18 00:00:00+05:30,28.02,28.23,27.11,27.39,431109
2025-02-19 00:00:00+05:30,27.09,28.24,27.04,28.03,901257
2025-02-20 00:00:00+05:30,27.96,28.4,27.73,28.21,306046
2025-02-21 00:00:00+05:30,28.32,28.91,27.7,27.84,882239
2025-02-24 00:00:00+05:30,27.82,27.82,27.33,27.41,444931
2025-02-25 00:00:00+05:30,27.46,27.69,27.08,27.16,595941
2025-02-27 00:00:00+05:30,27.16,27.31,26.51,26.63,602245
2025-02-28 00:00:00+05:30,26.5,26.62,25.5,25.78,1169822
2025-03-03 00:00:00+05:30,25.79,26.33,24.6,25.29,536916
2025-03-04 00:00:00+05:30,25.09,25.93,24.81,25.63,787527
2025-03-05 00:00:00+05:30,25.87,26.32,25.51,25.6,1422141
2025-03-06 00:00:00+05:30,25.88,26.3,25.6,25.79,1072530
2025-03-07 00:00:00+05:30,25.75,26.2,25.25,25.4,1306049
2025-03-10 00:00:00+05:30,25.48,25.83,25.0,25.17,1370156
2025-03-11 00:00:00+05:30,25.0,25.08,24.4,24.86,1030337
2025-03-12 00:00:00+05:30,25.0,25.24,24.64,24.7,787870
2025-03-13 00:00:00+05:30,24.69,24.82,24.25,24.41,377086
2025-03-17 00:00:00+05:30,24.49,24.66,23.91,24.03,973700
2025-03-18 00:00:00+05:30,24.03,24.59,23.98,24.51,1071602
2025-03-19 00:00:00+05:30,24.51,26.17,24.51,25.91,3444639
2025-03-20 00:00:00+05:30,26.69,26.69,25.37,25.47,639264
2025-03-21 00:00:00+05:30,25.5,25.92,25.35,25.61,981219
2025-03-24 00:00:00+05:30,25.62,26.5,25.57,25.64,1416698
2025-03-25 00:00:00+05:30,26.0,26.2,24.94,25.12,742666
2025-03-26 00:00:00+05:30,25.3,25.82,24.52,24.63,1764937
2025-03-27 00:00:00+05:30,24.6,25.2,24.39,24.94,881490
2025-03-28 00:00:00+05:30,25.19,25.4,24.12,24.27,1910532
2025-04-01 00:00:00+05:30,24.5,25.49,24.3,25.32,1203496
2025-04-02 00:00:00+05:30,25.5,25.5,24.71,25.29,619439
2025-04-03 00:00:00+05:30,25.02,27.79,25.02,27.19,9569353
2025-04-04 00:00:00+05:30,27.73,27.73,26.1,26.57,3602340
2025-04-07 00:00:00+05:30,23.21,26.04,23.2,25.41,3504575
2025-04-08 00:00:00+05:30,25.44,26.57,25.44,25.72,730058
2025-04-09 00:00:00+05:30,25.45,25.76,25.23,25.44,745321
2025-04-11 00:00:00+05:30,26.44,26.44,25.66,26.08,1253018
2025-04-15 00:00:00+05:30,26.95,26.95,26.25,26.53,1110263
2025-04-16 00:00:00+05:30,26.69,27.25,26.42,27.05,1274617
2025-04-17 00:00:00+05:30,27.11,27.38,26.67,27.24,1241928
2025-04-21 00:00:00+05:30,27.29,27.54,27.1,27.41,488387
2025-04-22 00:00:00+05:30,27.45,29.72,27.39,29.28,5736108
2025-04-23 00:00:00+05:30,29.44,29.75,28.44,29.41,2976010
2025-04-24 00:00:00+05:30,29.25,29.38,28.86,29.19,469303
2025-04-25 00:00:00+05:30,28.92,29.15,27.6,27.86,696656
2025-04-28 00:00:00+05:30,27.94,28.3,27.5,28.13,471204
2025-04-29 00:00:00+05:30,28.17,28.66,27.4,27.6,1093551
2025-04-30 00:00:00+05:30,27.58,27.94,26.38,26.5,994204
2025-05-02 00:00:00+05:30,26.98,27.09,26.45,26.63,884938
2025-05-05 00:00:00+05:30,26.67,27.49,26.3,27.38,957557
2025-05-06 00:00:00+05:30,27.62,27.63,26.52,27.0,1037206
2025-05-07 00:00:00+05:30,26.02,27.8,26.02,27.51,843022
2025-05-08 00:00:00+05:30,27.67,28.54,27.39,27.78,2067392
2025-05-09 00:00:00+05:30,26.11,27.27,26.11,26.77,1097159
2025-05-12 00:00:00+05:30,27.83,28.49,27.72,28.41,1834538
2025-05-13 00:00:00+05:30,28.32,28.7,28.05,28.36,917533
2025-05-14 00:00:00+05:30,28.4,28.85,28.4,28.53,832945
2025-05-15 00:00:00+05:30,28.7,29.0,28.56,28.93,937690
2025-05-16 00:00:00+05:30,29.25,29.49,28.77,29.38,1247315
2025-05-19 00:00:00+05:30,29.51,30.38,29.51,29.83,2002951
2025-05-20 00:00:00+05:30,30.34,30.34,29.19,29.44,1109737
2025-05-21 00:00:00+05:30,29.54,34.6,28.9,33.48,3108033
2025-05-22 00:00:00+05:30,33.48,33.48,32.3,32.87,3424088
2025-05-23 00:00:00+05:30,32.79,32.79,32.05,32.29,1973015
2025-05-26 00:00:00+05:30,32.31,34.12,32.31,33.13,3774892
2025-05-27 00:00:00+05:30,32.95,32.96,32.46,32.72,1230729
2025-05-28 00:00:00+05:30,32.72,33.37,32.33,32.53,1450368
2025-05-29 00:00:00+05:30,32.89,32.89,31.8,32.09,501135
2025-05-30 00:00:00+05:30,32.1,32.3,31.5,31.79,1074889
2025-06-02 00:00:00+05:30,31.96,31.96,30.7,30.83,2265231
2025-06-03 00:00:00+05:30,31.21,33.09,30.44,30.81,6499416
2025-06-04 00:00:00+05:30,31.38,31.38,30.44,31.04,704103
2025-06-05 00:00:00+05:30,31.07,31.43,30.85,31.02,1185094
2025-06-06 00:00:00+05:30,30.91,31.2,30.77,30.86,353798
2025-06-09 00:00:00+05:30,30.92,31.32,30.81,30.9,436645
2025-06-10 00:00:00+05:30,30.98,31.74,30.95,31.38,975189
2025-06-11 00:00:00+05:30,31.6,33.13,31.47,32.0,5589408
2025-06-12 00:00:00+05:30,32.2,32.2,31.02,31.4,1481953
2025-06-13 00:00:00+05:30,31.01,31.02,30.35,30.69,2116861
2025-06-16 00:00:00+05:30,30.52,30.9,30.01,30.43,623844
2025-06-17 00:00:00+05:30,30.47,31.17,30.41,30.56,1231451
2025-06-18 00:00:00+05:30,30.8,30.8,29.9,30.02,487481
2025-06-19 00:00:00+05:30,30.03,30.26,29.08,29.23,646601
2025-06-20 00:00:00+05:30,29.22,29.7,28.93,29.58,790481
2025-06-23 00:00:00+05:30,29.12,29.97,29.04,29.83,412621
2025-06-24 00:00:00+05:30,30.65,30.65,30.04,30.17,450917
2025-06-25 00:00:00+05:30,30.26,30.85,30.21,30.59,834193
2025-06-26 00:00:00+05:30,31.01,32.15,31.01,31.62,3085910
2025-06-27 00:00:00+05:30,31.62,31.92,31.39,31.53,1186168
2025-06-30 00:00:00+05:30,31.56,31.89,31.23,31.31,391564
2025-07-01 00:00:00+05:30,31.44,31.62,31.02,31.12,268511
2025-07-02 00:00:00+05:30,30.96,31.12,30.6,30.74,1012951
2025-07-03 00:00:00+05:30,30.89,30.93,30.56,30.82,677074
2025-07-04 00:00:00+05:30,30.85,31.46,30.75,31.25,706425
2025-07-07 00:00:00+05:30,31.3,31.66,31.07,31.13,795744
2025-07-08 00:00:00+05:30,31.29,33.1,31.29,32.29,8720030
2025-07-09 00:00:00+05:30,32.38,32.55,31.94,32.31,1516464
2025-07-10 00:00:00+05:30,32.4,32.47,31.95,32.08,937380
2025-07-11 00:00:00+05:30,31.96,32.19,31.53,31.67,278879
2025-07-14 00:00:00+05:30,31.77,31.77,31.12,31.19,438851
2025-07-15 00:00:00+05:30,31.23,31.66,31.23,31.36,854396
2025-07-16 00:00:00+05:30,31.39,31.81,31.3,31.39,667426
2025-07-17 00:00:00+05:30,31.43,32.21,31.42,31.86,1863286
2025-07-18 00:00:00+05:30,32.08,32.11,31.41,31.51,1081119
2025-07-21 00:00:00+05:30,31.55,31.83,31.42,31.58,961684
2025-07-22 00:00:00+05:30,31.73,31.76,29.75,30.38,1886009
2025-07-23 00:00:00+05:30,30.47,31.13,30.43,31.0,1401763
2025-07-24 00:00:00+05:30,31.23,31.9,31.02,31.52,1648465
2025-07-25 00:00:00+05:30,32.72,33.7,31.04,31.56,9822880
2025-07-28 00:00:00+05:30,31.61,31.9,30.53,30.74,2987868
2025-07-29 00:00:00+05:30,30.74,31.21,30.15,31.02,1663726
2025-07-30 00:00:00+05:30,31.09,31.16,30.6,30.7,1164626
2025-07-31 00:00:00+05:30,29.76,30.48,29.25,30.0,1769305
2025-08-01 00:00:00+05:30,30.0,30.1,28.68,28.95,1550425
2025-08-04 00:00:00+05:30,29.05,29.23,28.38,28.67,1706297
2025-08-05 00:00:00+05:30,28.73,29.09,28.4,28.49,947956
2025-08-06 00:00:00+05:30,28.5,28.83,28.02,28.09,1065857
2025-08-07 00:00:00+05:30,27.85,28.28,27.46,28.07,1368599
2025-08-08 00:00:00+05:30,28.22,28.32,27.57,27.7,603700
2025-08-11 00:00:00+05:30,27.74,27.85,27.25,27.6,962001
2025-08-12 00:00:00+05:30,27.55,28.03,27.55,27.89,731731
2025-08-13 00:00:00+05:30,27.94,28.2,27.82,28.11,322016
2025-08-14 00:00:00+05:30,28.25,28.3,27.83,27.95,530841
2025-08-18 00:00:00+05:30,28.04,28.47,28.03,28.1,267306
2025-08-19 00:00:00+05:30,28.24,28.86,28.05,28.75,1182454
2025-08-20 00:00:00+05:30,28.75,29.14,28.51,28.93,763684
2025-08-21 00:00:00+05:30,28.91,29.1,28.55,28.64,726964
2025-08-22 00:00:00+05:30,28.52,28.75,28.29,28.51,597755
2025-08-25 00:00:00+05:30,28.29,28.7,28.15,28.25,746623
2025-08-26 00:00:00+05:30,28.24,28.24,27.58,27.75,865794
2025-08-28 00:00:00+05:30,27.22,27.68,27.15,27.47,811119
2025-08-29 00:00:00+05:30,27.46,27.8,27.21,27.4,234470
2025-09-01 00:00:00+05:30,27.35,27.75,27.3,27.63,744737
2025-09-02 00:00:00+05:30,27.65,28.82,27.57,28.43,1247666
2025-09-03 00:00:00+05:30,28.29,28.68,28.24,28.42,678835
2025-09-04 00:00:00+05:30,28.86,29.02,28.2,28.35,985830
2025-09-05 00:00:00+05:30,28.36,28.5,28.08,28.26,449767
2025-09-08 00:00:00+05:30,28.28,28.59,28.09,28.25,656058
2025-09-09 00:00:00+05:30,28.28,28.49,28.04,28.12,657516
2025-09-10 00:00:00+05:30,28.49,30.0,28.48,29.19,3794434
2025-09-11 00:00:00+05:30,29.16,29.25,28.8,29.08,767766
2025-09-12 00:00:00+05:30,29.35,29.38,28.79,28.87,424583
2025-09-15 00:00:00+05:30,29.11,29.21,28.83,29.01,433744
2025-09-16 00:00:00+05:30,29.13,30.36,29.05,29.77,1828231
2025-09-17 00:00:00+05:30,29.81,30.24,29.7,29.96,992425
2025-09-18 00:00:00+05:30,29.98,30.27,29.71,29.84,705248
2025-09-19 00:00:00+05:30,29.94,30.25,29.75,30.12,352904
2025-09-22 00:00:00+05:30,29.19,30.64,29.19,30.35,1161173
2025-09-23 00:00:00+05:30,30.16,30.49,29.72,29.89,815839
2025-09-24 00:00:00+05:30,29.77,29.95,29.5,29.56,660953
2025-09-25 00:00:00+05:30,29.56,29.69,29.01,29.09,549376
2025-09-26 00:00:00+05:30,29.02,29.02,28.4,28.68,621420
2025-09-29 00:00:00+05:30,28.57,28.76,28.05,28.17,283309
2025-09-30 00:00:00+05:30,28.16,28.6,28.0,28.16,403671
2025-10-01 00:00:00+05:30,28.16,28.49,28.02,28.33,197906
2025-10-03 00:00:00+05:30,28.18,28.65,28.18,28.59,631197
2025-10-06 00:00:00+05:30,28.65,28.81,28.3,28.42,261157
2025-10-07 00:00:00+05:30,28.14,28.59,28.14,28.32,524845
2025-10-08 00:00:00+05:30,28.33,28.5,28.14,28.29,223188
2025-10-09 00:00:00+05:30,28.15,28.37,28.01,28.1,200079
2025-10-10 00:00:00+05:30,28.1,28.56,28.1,28.35,258144
2025-10-13 00:00:00+05:30,28.2,28.36,28.08,28.18,497489
2025-10-14 00:00:00+05:30,28.13,28.3,27.8,27.85,554929
2025-10-15 00:00:00+05:30,27.8,27.99,27.75,27.82,582375
2025-10-16 00:00:00+05:30,27.85,28.45,27.85,28.08,205356
2025-10-17 00:00:00+05:30,27.96,28.13,27.81,27.92,532868
2025-10-20 00:00:00+05:30,27.86,28.07,27.62,27.93,492564
2025-10-21 00:00:00+05:30,27.76,28.3,27.76,28.2,341220
2025-10-23 00:00:00+05:30,28.87,29.58,28.56,28.73,2465644
2025-10-24 00:00:00+05:30,28.7,28.93,28.4,28.59,553020
2025-10-27 00:00:00+05:30,28.65,28.7,28.52,28.61,589919
2025-10-28 00:00:00+05:30,28.78,28.78,28.4,28.48,196870
2025-10-29 00:00:00+05:30,28.47,29.24,28.47,29.0,402449
2025-10-30 00:00:00+05:30,29.0,29.06,28.7,28.81,441414
2025-10-31 00:00:00+05:30,28.67,28.95,28.53,28.64,431941
2025-11-03 00:00:00+05:30,28.6,29.14,28.59,28.9,648686
2025-11-04 00:00:00+05:30,29.09,29.09,28.54,28.64,192466
2025-11-06 00:00:00+05:30,28.6,28.64,28.0,28.07,654293
2025-11-07 00:00:00+05:30,28.01,28.3,27.7,28.07,667234
2025-11-10 00:00:00+05:30,28.05,28.14,27.9,27.94,400759
2025-11-11 00:00:00+05:30,28.13,28.31,27.81,28.11,486597
2025-11-12 00:00:00+05:30,28.62,28.99,28.26,28.92,499644
2025-11-13 00:00:00+05:30,29.1,29.1,28.4,28.79,777430
2025-11-14 00:00:00+05:30,28.68,28.68,28.03,28.22,708361
2025-11-17 00:00:00+05:30,28.28,28.95,28.28,28.47,739523
2025-11-18 00:00:00+05:30,28.44,28.58,28.22,28.37,551268
2025-11-19 00:00:00+05:30,28.34,28.68,28.34,28.57,299860
2025-11-20 00:00:00+05:30,28.6,28.79,28.47,28.58,535562
2025-11-21 00:00:00+05:30,28.54,28.68,28.31,28.38,218682
2025-11-24 00:00:00+05:30,28.4,28.5,27.94,28.06,502229
2025-11-25 00:00:00+05:30,28.16,28.23,27.75,27.81,466116
2025-11-26 00:00:00+05:30,27.78,28.46,27.72,28.33,305646
2025-11-27 00:00:00+05:30,28.33,28.54,28.05,28.2,182377
2025-11-28 00:00:00+05:30,28.14,28.4,27.96,28.22,386683
2025-12-01 00:00:00+05:30,28.31,28.49,27.89,28.04,198240
2025-12-02 00:00:00+05:30,27.86,28.02,27.69,27.92,110230
2025-12-03 00:00:00+05:30,27.88,28.15,27.7,28.11,445759
2025-12-04 00:00:00+05:30,27.99,28.23,27.91,27.99,182526
2025-12-05 00:00:00+05:30,27.8,27.99,27.77,27.85,432430
2025-12-08 00:00:00+05:30,27.78,27.92,27.0,27.07,709899
2025-12-09 00:00:00+05:30,26.91,27.87,26.63,27.57,220813
2025-12-10 00:00:00+05:30,27.62,28.0,27.55,27.65,133058
2025-12-11 00:00:00+05:30,27.5,27.93,27.5,27.7,131785
2025-12-12 00:00:00+05:30,27.71,27.92,27.54,27.65,352362
