date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,548.0,563.65,542.25,557.95,23315
2024-12-17 00:00:00+05:30,562.6,562.6,547.7,555.4,21493
2024-12-18 00:00:00+05:30,561.95,561.95,540.0,544.95,10056
2024-12-19 00:00:00+05:30,525.05,550.0,525.0,543.6,8155
2024-12-20 00:00:00+05:30,548.35,549.3,522.3,524.95,16104
2024-12-23 00:00:00+05:30,525.9,530.6,518.05,524.7,6973
2024-12-24 00:00:00+05:30,525.3,534.9,524.05,530.2,5053
2024-12-26 00:00:00+05:30,526.05,533.0,510.05,512.25,8312
2024-12-27 00:00:00+05:30,515.8,516.5,506.2,513.0,10475
2024-12-30 00:00:00+05:30,515.95,523.0,504.4,505.55,4628
2024-12-31 00:00:00+05:30,508.0,512.7,503.55,506.45,3531
2025-01-01 00:00:00+05:30,507.6,510.15,503.3,505.2,3564
2025-01-02 00:00:00+05:30,505.1,514.9,496.0,513.65,5906
2025-01-03 00:00:00+05:30,512.8,522.0,506.8,509.2,5259
2025-01-06 00:00:00+05:30,504.55,511.3,485.6,487.0,7548
2025-01-07 00:00:00+05:30,486.0,511.75,486.0,509.95,10542
2025-01-08 00:00:00+05:30,519.65,519.65,492.0,493.6,5445
2025-01-09 00:00:00+05:30,492.0,495.9,479.95,481.65,6141
2025-01-10 00:00:00+05:30,476.0,481.8,464.55,473.9,7724
2025-01-13 00:00:00+05:30,469.8,469.8,442.05,449.55,13095
2025-01-14 00:00:00+05:30,442.55,462.8,442.55,460.65,4208
2025-01-15 00:00:00+05:30,467.0,512.1,467.0,474.8,131361
2025-01-16 00:00:00+05:30,477.95,490.0,475.2,486.5,15608
2025-01-17 00:00:00+05:30,486.0,498.1,480.35,494.75,20121
2025-01-20 00:00:00+05:30,497.0,503.75,493.05,495.2,22458
2025-01-21 00:00:00+05:30,495.05,502.95,473.25,477.8,8738
2025-01-22 00:00:00+05:30,475.7,496.75,467.05,480.5,28260
2025-01-23 00:00:00+05:30,481.0,481.0,455.0,457.05,27980
2025-01-24 00:00:00+05:30,451.0,455.0,435.75,440.05,24052
2025-01-27 00:00:00+05:30,446.45,446.45,423.05,439.45,7674
2025-01-28 00:00:00+05:30,437.05,445.6,424.0,442.15,3475
2025-01-29 00:00:00+05:30,445.0,459.0,444.1,457.5,5935
2025-01-30 00:00:00+05:30,455.0,461.95,452.9,460.2,6830
2025-01-31 00:00:00+05:30,453.05,461.0,451.0,456.65,10362
2025-02-01 00:00:00+05:30,462.9,473.65,451.0,453.4,8987
2025-02-03 00:00:00+05:30,453.0,454.4,437.95,442.4,4041
2025-02-04 00:00:00+05:30,443.05,449.7,441.35,444.85,4608
2025-02-05 00:00:00+05:30,448.0,448.95,438.65,440.85,2496
2025-02-06 00:00:00+05:30,443.0,453.05,440.0,449.95,6730
2025-02-07 00:00:00+05:30,454.8,454.8,440.0,450.9,4362
2025-02-10 00:00:00+05:30,452.2,452.2,439.6,441.85,7260
2025-02-11 00:00:00+05:30,445.0,445.0,427.55,428.15,5593
2025-02-12 00:00:00+05:30,426.7,438.95,414.65,437.5,10341
2025-02-13 00:00:00+05:30,430.05,440.0,430.0,438.3,6008
2025-02-14 00:00:00+05:30,431.1,442.0,429.8,433.3,5786
2025-02-17 00:00:00+05:30,426.9,435.25,420.7,430.65,7731
2025-02-18 00:00:00+05:30,431.7,431.7,421.5,422.55,5930
2025-02-19 00:00:00+05:30,422.0,429.7,422.0,428.55,2296
2025-02-20 00:00:00+05:30,423.0,429.95,423.0,427.05,2959
2025-02-21 00:00:00+05:30,430.95,431.0,415.5,421.05,8468
2025-02-24 00:00:00+05:30,421.0,421.0,406.15,407.25,6059
2025-02-25 00:00:00+05:30,410.95,410.95,403.9,407.8,3082
2025-02-27 00:00:00+05:30,414.95,414.95,389.6,396.05,6004
2025-02-28 00:00:00+05:30,392.05,396.0,378.95,380.2,7444
2025-03-03 00:00:00+05:30,386.05,386.05,368.85,374.5,7479
2025-03-04 00:00:00+05:30,377.4,389.1,362.6,385.8,12987
2025-03-05 00:00:00+05:30,387.95,401.3,384.05,398.15,35023
2025-03-06 00:00:00+05:30,398.1,405.0,394.75,397.25,4430
2025-03-07 00:00:00+05:30,404.0,408.8,396.95,402.4,8370
2025-03-10 00:00:00+05:30,400.0,402.35,385.0,387.3,8426
2025-03-11 00:00:00+05:30,384.05,392.0,377.0,381.8,3016
2025-03-12 00:00:00+05:30,380.05,387.95,377.25,380.25,3718
