date,open,high,low,close,volume
2024-12-16 00:00:00+05:30,304.05,305.4,301.15,303.1,474395
2024-12-17 00:00:00+05:30,305.85,305.85,301.4,302.8,268343
2024-12-18 00:00:00+05:30,302.8,307.15,302.75,306.55,305575
2024-12-19 00:00:00+05:30,300.05,306.9,295.2,306.6,799968
2024-12-20 00:00:00+05:30,309.4,313.7,298.55,299.2,565306
2024-12-23 00:00:00+05:30,300.3,304.55,299.1,301.9,236866
2024-12-24 00:00:00+05:30,301.85,303.25,296.8,299.3,1346568
2024-12-26 00:00:00+05:30,300.2,300.85,298.0,298.55,1106979
2024-12-27 00:00:00+05:30,300.0,304.75,298.95,303.1,224891
2024-12-30 00:00:00+05:30,303.6,303.6,296.9,297.75,926444
2024-12-31 00:00:00+05:30,295.8,297.05,289.55,296.1,224844
2025-01-01 00:00:00+05:30,295.1,297.5,293.25,294.45,320998
2025-01-02 00:00:00+05:30,294.15,298.45,291.4,297.75,1048253
2025-01-03 00:00:00+05:30,297.6,297.7,288.25,288.7,658543
2025-01-06 00:00:00+05:30,288.9,291.75,284.75,288.45,901570
2025-01-07 00:00:00+05:30,288.45,291.65,285.7,288.05,225960
2025-01-08 00:00:00+05:30,288.05,292.55,283.65,291.7,276519
2025-01-09 00:00:00+05:30,291.6,291.7,285.75,286.45,726091
2025-01-10 00:00:00+05:30,286.85,297.35,286.85,294.75,654213
2025-01-13 00:00:00+05:30,292.25,293.25,284.55,286.15,897803
2025-01-14 00:00:00+05:30,284.4,288.75,280.9,287.2,409120
2025-01-15 00:00:00+05:30,287.2,288.95,284.1,286.85,277695
2025-01-16 00:00:00+05:30,290.25,290.5,281.15,282.45,308828
2025-01-17 00:00:00+05:30,282.45,282.45,275.3,276.35,533275
2025-01-20 00:00:00+05:30,294.15,299.4,291.05,294.3,2440371
2025-01-21 00:00:00+05:30,298.75,299.8,292.05,292.5,465487
2025-01-22 00:00:00+05:30,292.9,303.95,292.9,303.05,1224543
2025-01-23 00:00:00+05:30,305.4,318.25,304.45,311.45,1777423
2025-01-24 00:00:00+05:30,313.25,316.3,310.55,313.8,454892
2025-01-27 00:00:00+05:30,312.05,312.9,300.95,302.05,1012091
2025-01-28 00:00:00+05:30,302.1,307.7,301.5,303.55,580386
2025-01-29 00:00:00+05:30,305.0,314.6,305.0,312.3,450611
2025-01-30 00:00:00+05:30,311.95,313.7,306.15,309.3,734154
2025-01-31 00:00:00+05:30,312.0,315.75,309.4,312.0,999856
2025-02-01 00:00:00+05:30,314.4,314.4,303.25,304.95,480148
2025-02-03 00:00:00+05:30,303.75,313.9,300.5,313.5,641088
2025-02-04 00:00:00+05:30,317.1,319.15,313.3,316.25,557143
2025-02-05 00:00:00+05:30,318.0,321.5,314.7,317.1,500620
2025-02-06 00:00:00+05:30,319.0,323.5,314.55,317.9,924583
2025-02-07 00:00:00+05:30,318.05,318.95,314.0,318.05,144439
2025-02-10 00:00:00+05:30,318.55,320.95,315.65,318.9,609736
2025-02-11 00:00:00+05:30,320.95,320.95,311.65,312.9,183659
2025-02-12 00:00:00+05:30,312.95,315.85,309.3,310.2,165540
2025-02-13 00:00:00+05:30,305.15,313.65,305.15,308.5,778546
2025-02-14 00:00:00+05:30,310.0,312.3,304.4,308.1,472433
2025-02-17 00:00:00+05:30,306.1,310.5,301.95,305.45,711143
2025-02-18 00:00:00+05:30,304.55,312.75,304.55,312.1,636917
2025-02-19 00:00:00+05:30,311.35,316.5,308.45,314.05,244016
2025-02-20 00:00:00+05:30,310.75,314.3,310.4,313.15,257273
2025-02-21 00:00:00+05:30,313.15,313.15,305.0,306.25,943723
2025-02-24 00:00:00+05:30,303.45,303.45,293.4,295.0,282460
2025-02-25 00:00:00+05:30,294.95,296.3,290.15,291.3,223500
2025-02-27 00:00:00+05:30,294.75,295.8,291.35,294.65,361007
2025-02-28 00:00:00+05:30,292.4,293.3,277.0,277.65,881029
2025-03-03 00:00:00+05:30,278.3,286.3,278.3,283.6,792910
2025-03-04 00:00:00+05:30,279.9,283.0,276.3,279.85,301599
2025-03-05 00:00:00+05:30,281.1,286.9,279.0,285.0,242195
2025-03-06 00:00:00+05:30,290.8,290.8,283.5,285.75,257649
2025-03-07 00:00:00+05:30,287.05,287.85,282.95,284.75,99191
2025-03-10 00:00:00+05:30,285.5,285.55,278.2,280.9,124215
2025-03-11 00:00:00+05:30,275.95,278.95,273.1,277.95,408898
2025-03-12 00:00:00+05:30,277.95,277.95,262.2,268.4,905657
2025-03-13 00:00:00+05:30,268.6,271.0,263.3,263.95,258726
2025-03-17 00:00:00+05:30,264.2,265.2,258.95,259.8,202632
2025-03-18 00:00:00+05:30,261.45,262.85,259.45,261.4,177332
2025-03-19 00:00:00+05:30,262.45,266.35,256.35,265.75,598548
2025-03-20 00:00:00+05:30,269.9,274.0,267.45,267.95,805326
2025-03-21 00:00:00+05:30,264.95,269.5,260.3,264.35,428108
2025-03-24 00:00:00+05:30,267.95,271.5,265.45,269.4,539299
2025-03-25 00:00:00+05:30,271.4,274.6,269.45,271.1,595181
2025-03-26 00:00:00+05:30,272.0,272.25,266.65,267.25,322194
